ano,sentenca,cluster
1465,dize pulga de judeu que lhe dezias tu er entao,1
1465,calte almario de judeu,1
1465,passageiros fidalgo onzeneiro joane sapateiro frade florença alcouviteira judeu corregedor procurador enforcado quatro cavaleiros,1
1465,vem um judeu com um bode as costas e diz ao diabo que vai la ou marinheiro,1
1465,character judeu,0
1465,character judeu,0
1465,character judeu,0
1465,character judeu,0
1465,pois eu nam passo cabroes character judeu,1
1465,character judeu,0
1465,por que nam ira o judeu onde vai brisida vaz,1
1465,character judeu,0
1465,judeu la te levarao porque hao d ir descarregados,1
1465,ora sus demos a vela vos judeu ireis a toa que sois mui roim pessoa levai o cabrao na trela,1
1465,e merqueilhe dum judeu duns torroes brancos que i ha nam sei que nome e o seu alvaiade creo eu que o ele chamam ca,1
1481,character vilhalpando i judeu cabrao que fala as portas fechadas eu o acolherei,1
1481,character calidio judeu ouveras de dizer que nao sesudo,1
1481,character guiscarda se fores nesse conhecimento character cesariao do que me queres vender como a mouro ou a judeu ou de que,1
1510,no cabo dos tres meses prove a nosso senhor que receoso ele que por ser insofrivel perdesse o que dera por mim como alguns seus vizinhos lhe tinham ja dito me vendeu a troco de tamaras por preço de doze mil reis a um judeu por nome abrao muça natural da cidade do toro duas leguas e meia do monte sinai o qual em uma cafila de mercadores que partiu de babilonia para cayxem me levou a ormuz e me apresentou a dom fernando de lima que entao ai estava por capitao da fortaleza e ao doutor pero fernandes ouvidor geral da índia que de poucos dias ai era,1
1510,idade de dezessete anos e muito bem disposto acompanhado de trinta de mulas e ele somente vinha em um cavalo ajaezado a portuguesa com um arreio de veludo roxo franjado de ouro que da índia lhe mandara o governador nuno da cunha havia dois anos por um lopo chanoca que depois foi cativo no cairo ao qual este principe mandava resgatar por um mercador judeu natural de azebibe porem quando este la chegou o achou ja morto de que dizem que mostrou muito sentimento e nos afirmou o vasco martins que ali naquele mosteiro de sao miguel lhe mandara fazer o mais honrado saimento que ele nunca vira em sua vida no qual se ajuntaram quatro mil sacerdotes a fora outra mor copia de noviços a que eles chamam,1
1517,e nao cuide o judeu e o infiel que nos em honrar a santa pintura em os nossos altares como toda a cristiandade faz que ao modo dos gentios idolatramos porque o tal e falso e sentido mui inorantemente por haver tanta deferença ate nisto de nos aos idolatras quanto ha das trevas ao lume porque elles adoravao as mesmas obras de suas mesmas maos por si mesmas sem,1
1520,character negra a mi catiba ro judeu nam quere qu a mim raza,1
1569,era joseph como aponta philo judeu o refere josepho tao gentil homem de rosto proporcionado nas feiçoes lineamentos do corpo que a molher de putiphar vencida de sua graça o começou de amar tao cordialmente que a força do muyto que lhe queira fez sahir seu desejo dos limites da honra o cometteo com tao manifestas palavras como poem a escriptura divina mas o santo moço em quem a fermosura,1
1569,mais outro composto pelo judeu çacuto em portuguez antigo do clima de portugal com elle hum tratado feito por mendo gomes de cousas antigas deste reyno,1
1569,e o que de mim posso affirmar he que na cidade de valença me deu hum judeu tratante natural de damasco duas contas destas com encarecimentos grandissimos como se nellas me dera algum tisouro,1
1600,a esa caza e se morer ja fiquo desemcaregada sobre a com siencia deste comfesor rv pera verem os senhores inquisidores eu sou uma mulher casada neste lugar de semide com um homem sapateiro que se chama andre marques e ha dous ou tres meses que temos em casa uma minha irmao com seu marido o qual nao sabemos donde e nem se e judeu nem se e turco porque diz que os turcos que dizem que a senhora que nao pariu sem varao e e o arrenegado que tal diz deve saber muito bem dela este homem chamamlhe o arrenegado no fundao onde esteve casado com outra mulher cristanova e gabase que fez la feitos que o nao queimaremlhe roubaram a justiça e anda por ca excomungado disto,1
