ano,sentenca,cluster
1380,onde ſabey que neſta ſezaoque o me ſtre mandou laurar ſua moeda ſentindo por ſeu ſeruiço pro ueito deu licença ao concelho de lisboa que lauraſſe hũa ſo ma de prata pera ajuda de ſopor tar ſeus encarregosaſſi de gente darmas que a cidade hauia de pagar como doutras couſas cellarias a ſua defenſaoque lhe por iſſo recreciao,1
1380,v istas as informaçoens podeſe imprimir a primeira parte da chronica derey dom ioam o pri meiro de glorioſa memoria autor fernao lopez deſ pois de impreſſa tornara ao concelho para ſe conferir com o original ſe dar licença para correr ſem ella nao correra,2
1380,n am achey neſta chronica delrey dom ioam o primeiro de glorioſa memoria couſa por onde ſe poſſa negar a licença que pedem para ſe imprimir,2
1435,v iſta a informaçao podeſe imprimir a chronica de que ſe trata e deſpois de impreſſa tornara para ſe conferir e dar licença que corra ſem a qual nao correra,2
1435,v iſtas as informaçoes podeſe imprimir menos o riſcado a chro nica do senhor rey d affonſo henriques que compoz duarte galvao e depois de impreſſa tornara para ſe conferir e dar licença para correr ſem a qual nao correra,2
1435,era este conde dom anrique muito nobre e esforçado cavaleiro muito amador da justiça e ao temor de deus muito chegado e ele com grande devoçao fez a se de coimbra e de bragua e do porto e de vizeu e lameguo e pos em elas bispos que as houvessem de reger por mandado e licença do santo padre,2
1440,q ue poſa imprimir viſtas as licenças do santo officio e ordina rio e depois de impreſo tornara a meza para ſe conferir e taxar e dar licença que corra ſem a qual nao correra,2
1465,aguardai digo agora que casei sem licença de meu pai e d enha mae,2
1465,soma que casei embora sem licença de meu pai e diz que a nam quer por nora,1
1465,dame licença te peço que va ver minha molher,2
1481,mandoume convidar mon seor pera o jantar logo houve licença do meu vilhalpando o outro passea em santo augustinho com penacho branco,1
1481,comment com licença impressa,2
1481,character aurelia tinhamos necessidade desta licença assi viste quao levemente nola deu,2
1481,character milvo vai e descansa mas dasme licença que tome o treslado,2
1496,character pai sim por que a licença que horacio em a sua arte poetica da aos latinos pera comporem vocabulos novos contanto que saiam da fonte grega essa poderemos tomar se os derivarmos da latina,2
1496,character filho poderao todos os que sabem latim tomar esta licença pera derivar vocabulos dele a nos,2
1502,puderdes se fizerdes nenhuma detença em nenhum cabo ate chegardes a a corte delrei de frança e no mesmo dia que chegardes mandareis dizer a elrei pelo adaiao da rainha minha senhora madre ou por outro por o que melhor vos parecer como sois chegado e que vindo pelas postas mandado por mim a ele que lhe pedis por merce que vos queira dar licença para lhe ides beijar a mao e vos queira logo ouvir por que e o negocio de qualidade que requer muita presteza e eu por este respeito vos mandei com aquela diligencia e assim vos mandei que lhe o pedisses,1
1502,item vos me escrevestes que o almirante vos dissera que em quanto ele fosse almirante de frança nao iria ninguem de frança ao brasil nem a malagueta a tratar sem minha licença,0
1502,e a carta sua que me enviastes em que nisso fala diz que quanto as viagens da malagueta que esta em minha obediencia e outras terras que tenho e possuo que nao iriam a elas alguns navios de frança para ir tresfegar nem negociar sem minha licença estas palavras vem tao limitadas e sao tanto mais curtas do que vos disse a primeira vez que quando por elas o apertassem poderia dizer que as tais terras nao estao em minha obediencia ou que as nao possuo alem de se poder com esta cautela desobrigar se viria a tratar da mesma materia de posse e propriedade de minhas navegaçoes que e tao,0
