ano,sentenca,cluster
1380,p or mandado do concelho geral do s offi cio vi eſta priemira parte da chronica del rey dom ioam o primeiro de glorio ſa memoria copoſta por fernao lopez eſcri uao da puridade do infante d fernando nao tẽ couſa qencotre noſſa s fe ou bons coſtumes antes ſera muy poueitoſa para a nimar os portugueſes deſte noſſo tẽpo a q co maior feruor defendao o feu reyno imitado tao glorioſos ante paſſados,1
1380,v i por ordem dos senhores do concelho geral do sancto officio eſta primeira parte da chro nica delrey dom ioam o primeiro de glorioſa memoria compoſta por fernam lopez eſcriuao da puridade do infante dom fernando filho do meſmo rey dom io am nao achey nella couſa algũa contra noſſa sancta fe ou bons coſtumes antes em toda eſta hiſtoria ſe moſtra com ſingello nao afectado eſtylo o zelo da honra de deos amor da patria que nos portugueſes da quelle tempo ardia para louuor dos quaes tam merecido,1
1380,v istas as informaçoens podeſe imprimir a primeira parte da chronica derey dom ioam o pri meiro de glorioſa memoria autor fernao lopez deſ pois de impreſſa tornara ao concelho para ſe conferir com o original ſe dar licença para correr ſem ella nao correra,1
1380,n am achey neſta chronica delrey dom ioam o primeiro de glorioſa memoria couſa por onde ſe poſſa negar a licença que pedem para ſe imprimir,1
1380,n senhor de miraculosa memoria,1
1380,taixao eſtes tres liuros da chronica delrey d ioao o primeiro de boa memoria em dous mil reis em papel,1
1380,de boa memoria e dos reys de portugal o decimo,1
1380,end prologue title aqvui começa a coronica delrey dom ioham de boa memoria o primeiro deſte nome dos reys de portugal o decimo,1
1435,e segundo memoria dos edificadores de aquele lugar o senhor de aqueles que a povoaram havia nome rolim nao que por isso fosse childe rolim o que em cima dissemos ser um dos grandes senhores que em aquela frota vinha o qual nao e de cuidar que ficasse em portugual para povoar terra de novo havendo tantas vilas e lugares povoados de que mais com razao se,2
1435,os mouros tinham recebido de elrei dom affonso anriques e do infante dom sancho seu filho e como de toda a terra se lhe mandavam de isso cada vez mais agravar foi movido a fazer guerra a portugal e juntou muitas gentes de infieis daquem e dalem mar e segundo diz uma cronica que foi achada em santa cruz de coimbra nao era em memoria ate aquele tempo que tanta gente de mouros fosse junta para entrar em portugal,0
