ano,sentenca,cluster
1380,senhor diſſerao elles eſtes tredores deſtes iudeos dom iudas dom dauid negro que ſao da parte da rainha tem grandes theſouros eſcondidos queremo los tomar dalos a vos que que remos por noſſo senhor,0
1380,co tando cada hum o que lhe pare cia de taes deitos naceo antre el le hum nouo acordo dizendo que era bem de roubar algũs iu deus riquos da iudaria aſſi como dom iudas que fora theſourei ro mor delrey dom fernando dom dauid negro que era grande ſeu priuado outros que deytes poderia o meſtre auer muy grande riqueza pera ſopor tamento de ſua honra,0
1465,porque vaiseme as figueiras e come verde e maduro e quantas uvas penduro jeita nas gorgomeleiras parece negro munturo,0
1465,e assi me escusarei deste negro casamento e depois andando o tempo outra visao acharei que case a contentamento,0
1465,e por ma hora dizer ai dezialhe guai e por dizer minha senhora chamavalhe minha sinoga este e o negro de seu pai,0
1465,damiao dias ou alguem lhe houv ele o negro alvala cristovao esteves tambem ou quiçais sabe deus quem andre pires nam sera nem o conde do vimioso fernao dálvares seria ou o conde de penela que e muito dadivoso ja sei quem lho haveria o dom rui lobo em palmela ou o lourenço de sousa ou nam sei se o veador se o mesmo pero carvalho se foi bispo se doutor que nos,0
1481,andava o triste pera perder o siso co negro casamento agora que fara com tal ajuda,0
1481,finalmente morre d amores por um rufianaz espanhol negro crespo narigao que um destes dias andou as cutiladas diante da sua porta com outros tais em que feriu e foi ferido,0
1481,character mario preza sobretudo tua saude nao te mates por ninguem que ao do negro e ao choro dos herdeiros chamam os antigos riso e prazer conhecido em trajo de lagrimas,0
1496,antifrase quer dizer fala contraria quando per um nome entendemos outro contrario a ele como ao negro chamamos joao branco,0
1510,a eles dois lagartos muito grandes e em muito pequeno espaço fizeram a cada um deles em quatro pedaços ficando toda a agua cheia de sangue e assim os levaram ao fundo da qual vista fiquei eu tao assombrado que nem gritar pude nem sei quem me tirou fora nem como escapei porque neste tempo estava metido na agua ate os peitos com outro negro que me tinha pela mao o qual estava tao cheio de medo que nao sabia parte de si,0
1520,character brasia foi passear ao terreiro que ja e negro escudeiro,0
1520,character comadre isso vos vou e ouvi vime tam atangatada daqueste negro quebranto que faço,0
1520,eu noite e dia cansando e renegando por lhe ganhar um real e o negro enxoval anda por i passeando,0
1520,character comadre venho a saber desta festa do negro vosso marido que pera nada nam presta,0
1520,negro,1
1520,a presunçao nam vos dane porem vos sois inorante e podemvos chamar joane olhaime o negro capelao olhaime o padre de semente,0
1520,character velha e como ora isso tem negro serviço e o teu,0
1520,character comadre que casamento ali esta tam negro tao espezinhado,0
1520,torna a entrar o moço com o negro e diz o moço character faria,0
1520,character negro doso galia uo capao a mim traze turo junto o coeio co treze pombio,0
1520,character negro,1
1520,ja vos negro hoje bebestes metervosei noutra afronta daime logo aqui conta de tudo o que despendestes casa cousa o que se monta,0
1520,character negro esse conta demo e mi nao da boso otoro dia papel qu o socrenco faria boso tem mao boso mece,0
1520,character negro,1
1520,nam vos falo em confissao vos negro nam me leveis pagaime o que me deveis e nam me deis mais rezao,0
1520,character velha o coitado anda a pescar posto ao perigos do mar vestido em um chapeirao e o negro escudeirao sovalhe no alguidar,0
1528,character bromia coitada de tua mae que tantas lagrimas lhe tem as tuas custadas que sempre refusou este negro casamento,0
1528,character janoto a que hospede negro vinhamos e que negro hospede lhe vinha bom acerto foi o do nosso encontro pareceme que foreis a estalagem,0
1540,e assim tambem machos como femeas costumam tingirse algumas vezes com o sumo de um certo pomo que se chama jenipapo que e verde quando se pisa e depois que o poem no corpo e se enxuga fica muito negro e por muito que se lave nao se tira senao aos nove dias,0
1556,pera mais segredo e ser menos a escritura aos nomes dos culpados ajuntava umas cifras por onde se entendia na caridade das culpas de cada umaos clerigos que achava de boa vida e boa fama despois de apontar o nome e lugar em que moravam sinalavaos com um circulo de campo branco e nos que havia infamia provada eclipsava o circulo fazendolhe o campo negro se a infamia era com defeito de prova eclipsava o campo so pola metade e se as testemunhas depunham ao costume alguma materia de sospeiçao sobre o circulo meado de branco e preto lançava um s correndo o tempo foi fazendo outro livro maior em que tinha repartido o arcebispado em comarcas pola ordem do alfabeto e nele reduzidas a breve leitura grandes e,0
1579,armas do preste joao da índia um crucifixo negro com dois azorragues em campo de ouro,0
1584,a os furtados tem por armas o escudo franjado de verde e ouro sobre o verde uma banda roxa perfilada com ouro e sobre o ouro um s negro e por timbre uma asa de aguia de ouro estendida com o s das armas nela,0
1597,impossivel e pintar com perfeiçao sem varias cores e por as primeiras pinturas so constarem de negro foram perdendo nome tanto que se começou a achar o verde o vermelho e o amarelo etc nao e possivel poetar bem sem variedade de locuçao e por isso os primeiros poemas como foi a maior parte antes de homero foram deslustrosos e mal afamados e assim como cinon cleonense refereo eliano livro de varia historia aperfeiçoou a pintura que ate seu tempo se,0
1600,dromia com ceu cenhor a estas palauras lhe chamou o capi tam comitigo ao negro e a min me dice o negro q dromira o cinhor e o cinhor a ele eu nam lho qeria cre ele iurou por i esus cristo esta fama he prubricqa e a min me come teu por tres uezes me dice e q me deitace com ele na cama e q meconmendace ao diabo eram des oras da noite e isto ouuiu ioam,0
1600,domingos francisqo lhe dice q o auia de fazer qeimar porguntando porqe respondeu o negro bastiam de nome q por qe,0
1600,enqizidores caberam vocas cenhorias q eu ciruo de car gento do capitam manoel mendes froles na fortaleza de noca cenhora da lus de cascais e antrando nesta fortaleza achi fama q este capitam era comitigo couza q eu nam podia crer perguntei con qem me diceram q com d mingos francis qo artelheiro e un dia demandando heo ceu negro ciuemes velte,0
1600,sua mai irma consuantes nestas couzas que todas tres trato nestas couza chamase a irma estasia da siliua tena comsiguo sua esta na crauoera chamas luiza da silua rv esta mulher a conheço vai por quatro anos dandose por casamenteira declarouse por feiticeira que tinha comido muito remedio nesta terra pelo o que sabia de feitiçarias aonde me disse que tomava cabeça de bode negro pera fazer fervedouros com muitas cousas diabolicas pera fazer vir pessoas de muito longes terras toma a terra debaixo dos pes e esta com os olhos postos em mudandose a pessoa vai tomala pera fazer feitiços isto me disse ela toma medidas das escadas e das portas por nastros da cabeça e falos em bocadinhos pera feitiços isto me disse ela que fazia tira,0
1600,r esta molher a çonheso uai por quatro annos dandose por çasamentera deçalrose por feitiseira que tinha çomido muito rem dio nesta tera pelo o que sabia de feitisarias aonde me dise que tomaua çabesa de bode negro pa fazer friui douros com muitas çouzas diabliquas pa fazer uir pesoas de muito lonig toma a tera debaçho dos peis i esta com os olhos postos en m muidandose a pesoa ua tomala pera lhe fazer fitisos isto me dise ella toma mididas das escaidas i das porta por nastros da cabesa i fallos en boquadinhos pera feitisos isto me dise ella que,0
1600,vos conto os muitos trabalhoes que passei com o desembargador que estive arriscada a estar na cadeia antao falei a dous homes que falasse o desembargador antao dei testemunhos como vos estavas ausente havia tres meses meia vila esta presa com esta alçada ficou culpado na morte do filho de matias de faria davinde miranda prenderam a mae dos feijoeiros pedro da costa o negro e muitas forças fizeram por vos que se souberam aonde vos estavas la houveram dir buscarvos eu nao quis dizer porque houve medo que nao tornou a jurar so a vos procuraram ainda alçada aqui esta isto acabado nao sei em que hade vir a parar que tao embrulhada esta a vila a que deus guarde como desjo nao haja falta que me nao,0
1600,da costa o negro e mtas,1
