ano,sentenca,cluster
1435,ele por onde os filhos devem muito fazer por acatar sempre seus pais e maes segundo por deus lhe e distintamente mandada escusar de os provocar a semelhantes maldiçoes antes recear as muito e temer as por injustas que sejam como se diz das excomunhoes que desprezando as haverao por ventura lugar de obrar como justas e ajuntadas com outros males de que mal pecado andamos acompanhados de escote e ante deus desmerecemos porque tanto quis deus que se guarde e acate a ordem que em este mundo ordenou que ele mesmo sendo sem pecado justo julgador sofreu ser injustamente julgado por injustos e perversos julgadores por terem na terra o cargo e presidencias por ele ordenadas o que tanto mais devem os filhos acatar e sofrer a seus,2
1435,as fez a quem se ainda mais em isso erra ha com eles paciencia e assi escusaram os filhos a culpa tao crime como e desobediencia aos pais de conhecimento tamanho para deus como e aos filhos que lhe deu por bençao fazerem filhos de maldiçao a qual por isto so tambem por injusta que fosse abastaria pela ventura para fazerem por pena e pecado do pai penar o filho inocente em este mundo em que bem podemos padecer por culpas e pecados alheios assi como filhos por pais e servos por senhores ainda que no outro nao possamos se nao pelos proprios nossos e da verdade de este caso provera a deus que tiveramos em outra parte a prova e exemplo mais longe e estrangeiro e nao de,2
1435,com sua mae a qual casou com dom vermuy paes de travae depois dom fernando conde de trastamara seu irmao de ele lhe a tomou e casou com ele e dom vermuy paes casou depois com uma filha de esta rainha dona tareja e do conde dom anrique ja finado que ele tinha em sua casa que chamavam dona tareja anriques e por este pecado foi feito em gualiza um mosteiro chamado de sobrado,1
1435,quando o principe dom affonso anriques viu que nao tinha onde se acolher e que sua mae tao pouco de ele curava segundo mal pecado muitas vezes vemos as maes com novos esposos se tornarem madrastas trabalhou de lhe furtar dois castelos um de eles foi neyva e o outro o castelo da feyra terra de santa maria e de estes dois castelos fazia muita guerra a seu padrasto tanto que vieram ambos a fala com a rainha dona tareja de presente e disse o conde dom fernando principe,1
1465,bofa senhor mal pecado sempre e morto quem do arado ha de viver,1
1465,e pois que lhe fiz a ela pera dizer que e pecado,2
1465,ó fi de puta cabrao quisera eu e ela nao porque a tredora fogiu e se isto assi foi ladrao que pecado se seguiu pois nam houve concrusao,2
1465,da morte venh eu cansado e cheo de refregereo e nam posso mal pecado,0
1465,oh fernando de meu tio que eu vi polo meu pecado,1
1465,minha senhora me disse que me quer falar um dia agora por meu pecado disseme que nam podia oh que mal tao alongado,1
1465,minha senhora me disse que me quer falar agora por meu pecado nam me quer ver nem olhar oh que mal tao alongado,1
1465,agora por meu pecado disseme que nam podia irmei triste polo mundo onde me levar a dita oh que mal tao alongado,1
1465,devete la d ir co ela como m a mi vai mal pecado com felipa,1
1481,character calidio mal pecado,0
1481,nao sejas aqui hoje o meu pecado,1
1496,e quem algum nome destes levar ao plurar que a orelha possa sofrer nao encorrera em pecado mortal dado que em rigor de boa linguagem sao mais proprios do singular que do plurar,2
1496,character filho das setenta e duas linguagens em que dizem toda aquela gente se repartir polo pecado daquele edificio a que povo ficou a que adao falava,0
1496,por que cousa razoada e de crer e que como todos eram filhos de adao segundo a carne que assi herdassem a linguagem mas foi desta maneira herdaram as vozes e o seu pecado lhe trocou os significados,1
1496,as que regem ablativo sao as dos seguintes exemplos com deus no ceu sem pecado etc,2
1496,e assi outros verbos ao exemplo destes hei piedade de ti tenho vergonha da mentira e tristeza do pecado etc,2
1510,assim despido na area me perguntou se era portugues e que lhe nao negasse a verdade a que eu respondi que sim e de parentes muito ricos e que por mim lhe poderiam dar quanto pedisse se me levasse a malaca porque era sobrinho do capitao da fortaleza filho de uma sua irma a que ele respondeu pois se es esse que dizes que pecado foi o teu por onde vieste a tao triste estado como esse em que te vejo,1
1510,penedos atados nos pes e nos pescoços para que se fossem ao fundo porque na cidade nolos nao quiseram deixar enterrar conquanto tome lobo lhe dava por isso quarenta cruzados dando por razao que ficaria a terra maldita e incapaz de poder criar coisa alguma porquanto aqueles defuntos nao iam lavados do muito porco que tinham comido que era o mais grave e enorme pecado que quantos na vida se podiam imaginar aos outros destes perdidos que ficaram vivos agasalhou o tome lobo e os proveu a todos muito abastadamente de tudo o que lhes foi necessario ate convalescerem e se irem para malaca,1
1517,e se um principe nao e papa podermeha elle perdoar esse pecado,2
1517,gregos nao chegarao e todauia quanto a nos roma mais asinha teria por patria da pintura que sycione tanto por que a ella de todas as prouincias do mundo que tinha debaxo de seu imperio se trasiao as famosas tauoas quadros que se sabiao como por as grandes reliquias que em seus edeficios termas inda hoje vemos onde neste caso sinto que polo grao pecado que roma ja fez em roubar as boas cousas de todo o outro mundo assi o mundo a tem roubado a ella de sua fermosura e ornamento cada dia a mais roubamos principalmente nesta arte,1
1520,character brasia mal pecado ou sempre sou a culpada sem razao,0
1520,porque este mundo coitado e tal por nosso pecado que quem do leme descuda e necessario qu acuda assi que vai afogado,1
1520,character comadre como e delgado nam faço eu este fiado mal pecado ja vou per outro caminho ja os meus nembros sam mancos vivo assi por maravilha,0
1520,character paiva nam pode ser mor mofina que ser cego no pecado corpo de deos consagrado s a mim o tempo m ensina porque vou ser enganado,0
1520,character comadre preguelhe la a ira ma ha de pagar seu pecado,0
1520,character gama falais o mero aviso acho que pera prudencia e pera ser descançado viver homem sem pecado e ter boa consciencia este e o verdadeiro estado,0
1520,ja me quebraste ũa talha quatro potes um asado tudo me tens ja quebrado ja nao tenho nemigalha e sofrerte e meu pecado,0
1520,mestres mestras meu pecado boticas e cristaleiras olhai vos como isso rima e muito forte elemento todo seu curar e vento qu a mezinha vem de cima,1
1528,character pindaro assi o podes jurar sem pecado,0
1528,a boa filha que estima a honra e a virtude ha de quebrar os pes e os olhos hase de prezar mais de sua honestidade que de peças nem tisouros e mais quem os nam tem mal pecado,2
1528,fica tam doudo que hei medo que perca o siso inda que ele pouco tem que perder mal pecado,1
1528,nam ha pecado tam novo que se nam fizesse ja mas por isso nam deixa de ser mais grave,1
1528,character lionardo quanto a mim pera te dizer a verdade nom me parece ora o pecado tao feo,0
1528,que cousa e o pecado tam pesado e desgostoso,1
1528,temiame dos homens das molheres dos ventos e das sombras e nao me temia de mi mesmo e do meu pecado de que mais devera,1
