ano,sentenca,cluster
1435,possamos se nao pelos proprios nossos e da verdade de este caso provera a deus que tiveramos em outra parte a prova e exemplo mais longe e estrangeiro e nao de elrei dom affonso que sendo tao virtuoso e todos seus feitos sempre com virtuosa tençao e de serviço de deus nao deixou maldiçao de mae mais madrasta que empecer a este rei na pessoa na fazenda e na honra a filho tao virtuoso,0
1435,estando assi elrei dom affonso em seu reino andando em colos de homens e outras horas em carros como ja em cima dissemos veio se para santarem e correndo novas pela terra do desastre do britamento da perna e da preitesia e homenagem que ficara com elrei dom fernando de liao por cuja causa nao cavalgava em cavalo nem era de sua pessoa poderoso para fazer guerra como dantes nem suas costumadas cavalarias tomaram os mouros ousadia e esperança grande de se vingarem e fazer grande dano a portugal pelo qual albojame rei de sevilha ajuntou grande multidao de mouros de toda andaluzia e de outras partes e atravessando todo entre tejo e odiana matando e estragando tudo por onde vinham vieram cercar santarem onde elrei dom,0
1435,amigos nao cumpre agora ver se sairemos ou nao mas e tempo de tomardes tal esforço para pelejar que eu possa perante todos louvar os que o bem fizerem e eu mesmo em pessoa vos ajudarei a isso contra os inimigos quanto em mim for como sempre fiz e se pela ventura alguns tiverem receio o que nao cuido fiquem na vila e nao vao la que eu nao poderei sofrer ja mais tanta vergonha,4
1435,vos a nenhuma pessoa nao perdoeis nem a mulher moço nem velho de qualquer idade e qualidade todos andem a espada e isto fazei com grande e trigoso esforço que deus sera ai em nossa ajuda para cada um de nos matar cento de eles e hoje e amanha fazem por nos oraçao geral o prior e todos os conegos do mosteiro de santa cruz a que eu,0
1435,senhor vossa pessoa nao ira conosco que se formos vencidos nossos inimigos nao haverao tanto louvor nem que morramos de eles ou todos nao e muito de curar salva vossa pessoa e tirada de semelhante risco cuja perda que deus defenda seria perder se portugal e deixando vos nos entrar em tamanho perigo seria nossa linhagem sempre desdita e pasmada como filhos de tredores que tendo tal,0
1435,estarao quedos e guerrearao esses lugares que de eles ganhei em alentejo de onde recebem e esperam de receber muito dano e ja me foi falado e requerido que entendesse na defensao de elas pelo qual eu cuidando como se isto melhor podia fazer de quantas coisas me vieram por sentido me pareceu e parece melhor que tudo que eu te mande la em pessoa e isto por duas razao a primeira porque sabes que esta meu caso de nao poder cavalgar em besta por nao ir as cortes de elrei dom fernando o que eu nao fora por coisa que no mundo houvesse que fazendo traria a te e a mim grande perda e a todos os do reino de portugal a segunda porque prazendo ao senhor deus,0
1435,antes nem depois de ele mais temido dos mouros cujos muito notaveis feitos nao e duvida acharem se muito menos postos em escrito do que foram por obra ora fosse por culpa dos tempos ora por mingua dos escritores segundo em alguns passos de esta sua estoria se pode assaz compreender porque em ela se nao faz mençao de muitas coisas assinadas de sua pessoa nem dos seus assi como de dom gualdim paes que foi mestre do templo de cristo em portugual e fez o castelo de thomar e outras fortalezas e serviu grandemente em seu tempo,2
1435,houve e venceu em pessoa muito grandes batalhas e afrontas de pelejas segundo se achou com muito poucos contra muitos desbaratou em pessoa dois imperadores um cristao e outro mouro e vinte reis mouros com grandes poderes e gentes sendo ele muito menos,0
1435,avisado e de grande engenho e esforço que era e da tornada falou com elrei em segredo fazendo lhe o caso possivel prometendo lhe que ele seria o que fosse diante e dos primeiros que no lugar entrassem e poria a sua bandeira sobre o muro e quebraria as fechaduras das portas e assi o fez depois porque era tao bom cavaleiro de sua pessoa e para tanto que para servir elrei e cumprir sua cavalaria toda as coisas lhe pareciam muito ligeiras e seguras de perigo,0
1435,convem a todos muito mais cabe em os principes e reis fazer o cuja maior excelencia de seu nome traz logo maior obrigaçao de seu carrego que e serem reis postos por deus para regedores principais na terra sobre os outros homens para execuçao e exemplo de toda perfeita virtude mas pois que toda disposiçao para obrar virtudes por muito que nasça com a pessoa nao pode ser cumprida nem haver perfeiçao se nao por ajuda e graça divinal,0
1435,grandese perpetuos louvores devem ser dados a nosso senhor por todos os naturais do reino de portugal por tanto participar de sua graça com os reis vossos antecessores e com vossa real pessoa com tao clara mostrança de os querer honrar e escolher para seu santo serviço exalçamento da sua santa fe de maneira que para se mais mostrar que vinha dele e por ele segundo em seus grandes misterios sempre em este mundo ate em si mesmo escolheu o menos para fazer ou desfazer o mais e o baixo para se fazer conhecer por mais alto,0
1435,senhor estando vos em guimaraes sobre o principe vosso primo meu senhor eu vos fiz a homenagem que sabeis a qual eu fiz por ver que sua pessoa e honra aquele tempo corria grande risco de se perder porna vila nao haver mantimentos nem percebimento algum para defensao se lhe vos tivesseis o cerco e eu porque o criei de seu nascimento quando o vi em tamanho trabalho e perigo tomei de mim aquele conselho de me ir a vos e fazer isso que fiz,0
1465,de ser tao roim pessoa,4
1465,sabei que fui da pessoa,4
1465,ora sus demos a vela vos judeu ireis a toa que sois mui roim pessoa levai o cabrao na trela,2
1465,catalina e muito boa fermosa quanto lh abasta querte bem e de boa casta e bem sesuda pessoa toma tu o que te dao em pago do que desejas,4
1465,eu sam fino da pessoa e por se nam duvidar fiz ũa cousa mui boa leixei crescer a coroa sem nunca a mandar rapar,1
1465,por que a pessoa agravada nam lhe rege a devaçao,4
