ano,sentenca,cluster
1380,a rainha chegou a aluerqua com trigoſo andar dally partio foy dor mira a alanquer quando entrou pella porta da villa diſſe gonçalo mendez,1
1380,em ſaindo elles pel la porta da camara oulhou ella vio ainda jazer o conde io ham fernandez morto ally on de ficara ally onde o meſtre oma tou diſſe contra elles,4
1380,rainha eſtaua em ſua camara donas algumas aſ ſentadas no eſtrado o con de de barcellos ſeu irmam o conde dom aluoro perez fernam affonſo de camora vaſco perez outros eſta uam em hum banco o conde ioham fernandez que dante eſtaua a cabeceira delles eſtaua eſtonce de giolhos ante el la começaua de lhe falar paſſamente em lhe ſendo aſſi falando bateram a porta o porteiro como entrou o meſtre quiz cerrar a porta por nao entrarem nenhum dos ſeus diſſe que o pergunta ria a raynha nao por delles auer nenhuma ſoſpeita mas porque a raynha eſtaua com do ſemelhante tempo a eſte por reſpeito deuido a ſua peſſoa real eſtado nao era coſtu me de nenhum entrar ſaluo eſ ſes ſenhores ſem lhe primeiro fazer ſaber,7
1380,entendia q fizera grao deſprazer a raynha em matar o conde em ſeus pa ços que lhe parecia que era be de lhe hir pedir perdao ſe o elles por bem ouueſſem acordado por todos que era bem caualga ram atarde pella villa foraoſe ao paço da rainha ella eſtaua em ſua camara cuberta de doo ſegundo auia em coſtume en trando elles pella porta fizerao lhe ſua reuerencia ella alçou ſe a elles os do meſtre como os conde entraram aſſi forao el les todos dentro de volta arma dos como andauam,7
1380,a ſeca ſanha que em taes feitos nenhũa rezao eſ guarda começou tanto de dar nos entendimendos do pouo q a porta principal da igreja eſtaua fazendo que nao deitauao o biſ po a fundo,1
1380,o pagem do me ſtre q eſtaua a porta como lhe diſſerao q foſſe pella villa ſe gundo ja era percebido come çou de ir rijamente ao galope encima do caualo em que eſtaua dizendo a altas vozes bradando pella rua,1
1380,a rainha dona brea tizantes que chegaſſe as vinhas de sanctarem deteueſe alli hum pouco para ſe ornar como lhe compria porque trazia ſeus concertos de caminho man dou elrey pero fernandez de vaſcogoncellos pero sarmen toque ſe foſſem diante que o aguardaſſem ao chao de figueira q he ante a porta do caſtello el lesfizeraono aſſi gonçalo vaſ quez ioao gonçalues tornarao ſe para a rainha,1
1380,mas logo a tarde vierao muitos deſcaual gou elle ſua molher em hum grande chao que ſe faz ante a porta do caſtello todos os fi dalgosdonas donzellas que em ſua companhia vinhao eſta do aſſi a pe ate que o forao dizer a rainhaentao ſahio ella de ma mente cuberta de hũ grande ma to pretoque nao parecia o roſto trazendoa de braço vaſco mar tins de camoẽs poucos com ella,7
1380,ca hum autor que da teſtimunho que eſteue prezen te dizque ſo ella eſtaua na ponte a porta do caſtello,2
1380,e quado entraram pela porta da se fizerao todolos portuguezes grao doe a rainha co as molheresq de portugal fo rao depois q acabarao das beſ poras era ja tarde foraoſe pera ſeus paços q era dentro na cida deonde a rainha tinha a fala acamara toda armada de panos tintos em preto,4
