ano,sentenca,cluster
1435,isso mesmo no dia que elrei mandou notificar aos mouros o britamento das treguoas que acima dissemos aos da vila apareceu outro sinal muito espantoso prognostico de sua mortandade que foi na terceira noite seguinte viram no ceu a horas do meio dia semelhança de um touro ir por meio do ceu levando chamas de fogo acesas desde cabo ate a cabeça,7
1435,era este conde dom anrique muito discreto e esforçado cavaleiro e nao menos de todas outras bondades comprido trazia em seu escudo de armas campo branco sem outro nenhum sinal e andando sempre depois na guerra dos mouros com elrei dom affonso fez muitas e assinadas cavalarias por onde de elrei e de todos os da terra era muito estimado e querido e assi o conde de tolosa seu tio e o conde de sao gil de proença e tendo elrei assi de eles contentamento querendo honrar os e remunerar seus nobres feitos e,0
1465,e farao a entrada boa do bailo co sinal da cruz,2
1465,nao senhor que este fretastes e ja quando espirastes me tinheis dado sinal,5
1465,que sinal foi esse tal,7
1465,sinal e de boa feira virem a ela as donas tais e pois vos sois a primeira queremos ver que feirais segundo vossa maneira,1
1465,eles sao os presidentes e os mesmos requerentes e se lhes dizeis que e mal tornam a culpa ao sinal e eles fazemse inacentes,4
1481,quero eu ver quem e o vilhalpando que por i parece com outro tal sinal pera que nos conheçamos,7
1481,a desnarigada bom sinal tem por onde a conhecerei,6
1481,e por sinal que da parte de dentro ha de ter ũas letras mudadas,2
1481,ela entao chamoume a de parte e mandoume a ti com este anel por sinal que lhe mandes dez ou doze escudos com que cace,4
1481,character ruberte os messageiros nao podem fazer mais do que lhes mandam ela nao no deu senao por sinal,0
1481,character devorante aqui pousa e por sinal que tem um aio que se chama cassiano e um servidor por nome calidio,0
1481,character calidio mostrame ora em ti algum sinal dos meus açoutes por este corpo,0
1481,character milvo nao tangera nem cantara tao alto que possa ser sinal aos de fora character vilhalpando quantas vezes me ja isso aconteceu com as amigas alheas,7
1481,bem empregado seja em mi que ja este nao foi o primeiro sinal se eu ver e entender quisera,1
1481,olhai as suas desculpas olhai se ao menos se lhe fez algũa torvaçao ou sinal de vergonha do erro tamanho que tinha cometido contra mim,4
1496,os nobres buscaram um termo que fosse sinal de nobreza que os apartasse dos plebeus como acerca de nos dom que vem deste nome dominus que quer dizer senhor,9
1496,e o sinal onde se isto mais claro ve e na musica que naturalmente acerca de cada naçao segue o modo da fala linguagem grave musica grave e sentida,2
1496,e o sinal desta verdade e que nao somente temos vitoria destas partes mas ainda tomamos muitos vocabulos como podemos ver em todos los que começam em al e em xa e os que acabam em z os quais sao mouriscos,2
1496,e o mais certo sinal que o romano pode dar ser espanha sudita ao seu imperio nao serao suas cronicas e escrituras ca estas muitas vezes sao favoraveis ao senhor de quem falam mas a sua linguagem que nos ficou em testemunho de sua vitoria,2
1496,exemplo temos em toda las monarquias ca se perderam com a variedade do tempo e fortuna das cousas humanas pero leixou a lingua latina este sinal de seu imperio que durara eternamente,7
1496,character filho nao sei logo qual sera o portugues de tao errado juizo pois e certo que mais pode durar um bom costume e vocabulo que um padrao por que se nao preza mais leixar na índia este nome mercadoria que trazer de la veniaga ca e sinal de ser vencedor e nao vencido,0
1496,estes dous pontos assi escritos onde a pergunta acaba podemos chamar interrogativos por serem sinal que interrogamos e perguntamos algũa cousa,4
1502,e assim porque nas ditas cartas vao algumas coisas que ainda servem e se hao de fazer assim como pelas ditas cartas veres e levam as tais na margem uma cruz e vao atadas as regras com um risco do que se ha de fazer fareis o que nelas se contem a saber aquelas que levam o dito sinal,2
1510,e despedindoo logo sem lhe querer tomar o presente em sinal de desprezo lhe respondeu por estas palavras,2
1510,a honrada dona batendo entao nos peitos por sinal de grande espanto disse que me matem se assim nao e porque esse mouro que vos outros dizeis se gabava publicamente a quem o queria ouvir que da geraçao destes homens de malaca tinha mortos por algumas vezes uma grande soma e que lhe queria tamanho mal que tinha prometido ao seu mafamede de matar ainda outros tantos,6
1510,os inimigos entendendo o dano que nos tinham feito deram uma grande grita em sinal de vitoria chamando por mafamede porem o nosso capitaomor vendo por quem eles chamavam esforçando os seus lhes disse ah senhores e cristaos ja que estes caes chamam pelo diabo que seja com eles chamemos nos por jesus cristo que seja conosco e arremetendo com estas palavras outra vez a tranqueira os inimigos voltaram logo as costas e fugiram manhosamente para onde estava a,9
1510,o bendara de malaca que e o supremo no mando na honra e na justiça dos mouros por mandado de pero de faria lhe deu um grande banquete ao seu modo festejado com charamelas trombetas e atabales e com musicas de boas falas a portuguesa com harpas e doçainas e violas darco que lhe fez meter o dedo na boca que entre eles e sinal de grandissimo espanto,9
1517,e calandose micael angelo prosegui eu é tambem cousa grande que um valente mestre inda que queira e trabalhe muito por isso nao pode mudar tanto a mao nem danala que faça alguma cousa que pareça da mao dum apprendiz porque quem com cuidado na tal cousa atentar ha lhe de achar algum sinal por onde conheça ser feita por mao de quem sabia,2
1517,e polo contrario quando quiser pintar a perfida e avaricia de judas nao faça a imagem severa de um costante sao paulo e por herodes nao faça o rosto de sao joam e aquele do santo nao de ao tyrano e assi mais quando pintar o enfermo e propinquo a morte nao lhe de a cor e olhos de sao ou outro sinal de convalescente,2
1517,mas quando elle tever igoalado a bondade de sua fantesia e imaginaçao com a das suas maos entao lhe devem de por uma capella de loureiro na cabeça em sinal de vencimento e gloria e se lhe agradecerem tamanha cousa entao lhe nao deve de pesar com a morte pois se satisfez em cousa mui grave e dificultosa,7
