ano,sentenca,cluster
1435,approvaçao do reverendiſſimo p meſtre d jose barboſa clerigo re gular da divina providencia chroniſta da sereniſſima caſa de bragança e academico do numero da real academia da hiſtoria portugueza etc,1
1435,r f e r n a õ t e l l e s d a s y l v a marques de alegrette dos conselhos de estado e guerra delrey noſſo senhor gentilhomem de ſua camaravedor de ſua fazenda embayxador extraordinario a corte de vienna ao sereniſſimo emperador joſeph e condutor da sereniſſima rainha noſſa se nhora a eſtes reynos academico e cenſor da academia real da hiſtoria portugueſa c d epois de ter reſoluto dedicar eſta chronica delrey d affonſo henriques a elrey noſſo senhor nao podia ter du vida em que foſſe voſſa excellencia quem lha offereceſſe em meu nome,1
1440,deputado da junta dos tres eſtados perpetuo senhor da villa da ericeyra e senhor da de anciao oytavo senhor da caza do louriçal comendador das com mendas de santa chriſtina de sarzedello de s cipriano de anguey ra s martinho de frazao s payo de fragoas de s pedro de elvas e de s bertholameu de covilha todas na ordem de chriſto academico da academia real da hiſtoria portugueza e hum dos cinco cenſores della tc,1
1556,e pera começarem logo a passo igual liçao e edificio consignoulhes em suas rendas duzentos mil reis em cada um ano certos e seguros e anexou demais ao futuro colegio certas igrejas de bom rendimento com que no mesmo ano de quinhentos e sessenta e um se abriu a nova academia bracarense e começou a dar flores e fruito com grande espanto dos que enganados de zelo piadoso pretendiam abater os fervores santos do arcebispo,1
1569,nem eu lhe nego esta divida pois em sua academia alcancei a humanidade theologia que sey nella escrevi tambem o mais desta monarchia,1
1579,disse feliciano que eu sei de homens que entre os outros podiam falar sem medo teremno muito grande a estes primeiros encontros que certo me parece mais respeito que se deve a formosura que falta que se possa dar em culpa ao entendimento pois o verdadeiro e que amor o apura e engrandece e por este respeito os atenienses lhe levantaram uma estatua na academia de palas como a sabio e lhe dedicaram uma escola os samios significando que so na de amor se alcança com perfeiçao tudo o que pelas do mundo variamente se aprende e com muito discurso de anos se alcança o aviso no falar a discriçao no escrever a brandura no conversar a policia no vestir a graça no parecer a cortesania no tratar a,1
1608,puzeram alguns teologos em questao qual dos criados se mostrara mais industrioso se o que com dois talentos grangeara dois ou o que com cinco grangeara cinco e como entre elles se nao decidisse a questao devolveuse a uma academia de mercadores os quaes todos resolveram que mais industrioso fora o que com dois negociara dois que o que com cinco grangeara cinco porque mais difficultoso e ganhar pouco com pouco que muito com muito,1
1608,confesso nos opusemos a esse seu parecer como a outros que depois com maior autoridade era tomada do tempo que a razao estampou contra a proeminencia das armas contudo em parte o confessamos mestre por ouvirmos dele na academia que chamaram augusta a explicaçao do sepetriacio tertuliano livro alto que ele bem penetrava,1
1651,na arte das afliçoes e na academia dos males,1
1651,bom sera tambem que vossa senhoria acorde a sua protecçao ao grande dicionario do padre bluteau que esta nas ultimas letras porque a lingua portuguesa necessita bem deste testemunho para se desenganarem que nao e um puro jargon vendo que a sua explicaçao ocupa tres grandes tomos de folha e ja esta noticia tem prevenido em seu favor a academia francesa,1
