ano,sentenca,cluster
1502,de joao francisco ou de quaisquer outros mercadores que vos parecer que o melhor possam fazer hajais letras de credito para serem dados na corte do papa ao dito dom martinho os ditos quinze mil cruzados ou a parte que ele deles houver mister e do que la tomar com seus conhecimentos se pagarem ca ou tomarem em conta do que deverem com o cambio que custarem,0
1579,e na nossa lingua a que chamam limitada nao faltou nenhuma destas diferenças antes houve maior perfeiçao porque a umas chamaram cartas mandadeiras as que tinham menos de papel escritos e as cartas de italia letras que sao as de roma e as de cambio porque deviam ter o mesmo principio porque logo nos de portugal mandavam os reis dele por letras copiosas doaçoes a se apostolica do que conquistavam,1
1601,fez o sindicante seu officio rectissimamente chamou os homens de negocio mais ricos da cidade para os obrigar a que dessem a quantia necessaria para a alçada e que tomassem as fazendas para se pagarem com ellas logo ou com seus frutos nos annos que bastassem descontando tambem a razao de cambio os lucros cessantes do seu dinheiro,1
1601,de que havia de fazer os cincoenta mil reis revendendoa ajuntou o mercador para que vossa merce se nao canse com hir mais longe eu lhe comprarei esse panno pelo preço que o costumo comprar em londres e contarlhehey logo o dinheiro que he outro beneficio estimavel e abateolhe em cada covado mais do que lhe tinha levantado na venda e pagouse logo do cambio que havia de vencer naquelle anno o seu emprestimo para ficar livre daquelle cuidado e assegurou o capital com boa fiança e ficarao custando ao passageiro os cincoenta mil reis mais de cento e o mercador interessando na correspondencia e revenda do açucar com que do brasil lhe pagou mais de duzentos e a isto chamo eu malicia refinada mais que açucar em ponto,0
1608,pedindo a vossa merce me enriqueça de cartas suas passa tambem a pedir com todo o afecto queira vossa merce repartirnos desses excelentissimos partos dos engenhos de italia que em roma se forem publicando porque em seu cambio serei fidelissimo comissario retornando tudo o que por aqui se descobrir digno de que vossa merce veja e la se publique,0
1608,vossa excelencia diz dos dois usos respondo pardonnemoi monseigneur sic e para que vossa excelencia veja que devia ser equivocaçao de quem copiou a carta mando aqui o capitulo dela que diz assim faça vossa paternidade diligencia por achar ai quem lhe de duas mil libras passando sobre mim uma letra a um uso a qual aceitarei e pagarei a seu tempo com o cambio conforme correr na praça,0
1608,e sem fretes e eu estava resoluto a tomar na praça ate trinta mil cruzados que mandar empregados nestes generos em que a fazenda de sua majestade havia de interessar o dobro mas nao ha quem queira passar um vintem a portugal com estas prisoes dos homens de negocio e no dia em que chegou a nova da de duarte da silva subiu o cambio a por cento,1
1672,as dividas sao proprias de vossa alteza porque para tirar aos meus criados de cativos e para os gastos que fiz no cerco e depois dele tomei dinheiro a cambio a luis de crasto e lhe paguei oito mil cruzados do dote de minha mulher as outras dividas sao tantas que por nao cuidarem os credores que lhes fujo por estas partes estou resoluto dandome vossa alteza licença de me ir meter no castelo dessa cidade ate vossa alteza as mandar pagar e se ao vosso conselho parecer que nao tenho nisto razao tomarei,0
1695,escrevilhe remetendo uma letra de cambio para pagamento desta e de outras miudezas e ainda ignoro se lhe foi entregue porem mais que tudo me tarda a sua resposta sobre o seminario ou colegio de que lhe pedi informaçao para mandar um moço do meu conhecimento a criarse nessa corte e como esta proxima a primavera em que deve partir e seu pai que e meu amigo me persegue continuamente,0
1695,o dito monsieur dupont entregara a vossa merce os reis que lhe prometi remeter para a compra dos espelhos e mesas ou para melhor dizer peças de em especie para que logremos nelas a ventagem do cambio,0
1724,introduziuse com o luxo o cambio de alheias manufacturas e em pouco tempo chegou a parecer tributo a extracçao dos nossos generos,1
