ano,sentenca,cluster
1380,e ante algũs dias que chegaſſe a sa tarem chegou ao meſtre recado como ſe vinha pera alli direita mente que trazia ſuas gentes eſpalhadas nao muito acompa nhado,0
1380,elreydos veſtidos panos pretos q leuaua e veytio hũ coprido mantao de pa no douro forrado de arminhos a berto por a parte direita chama dolhe eſtonce lobardos,0
1380,o primeiro de quem voſſa mageſtade glo rioſamente deſcende nao ſo por ſer pay do senhor dom affonſo primeiro duque da sereniſſima caſa de bragança que caſou com a excellentiſsima se nhora dona briatiz filha vnica do grande condeſta ble do nuno aluarez pereira progenitores de voſ ſa mageſtade mas ainda pela deſcendencia delrey dom duarte de quem voſſa mageſtade traz a ſuc ceſſao direita da caſa real herança deſtes rey nos de ſuas conquiſtas eſtados senhorios,0
1380,aſſi que a terra em que os homens por lon go coſtume tempo forao cria dos gera hũa tal conformidade antre o entendimento ella qauendo de julgar algũa ſua cou ſa aſſi em louuor como por co trairo nunca por elles he direita mente recontada porque louua doa dizem ſempre mais daquel lo ſe doutro modo nao eſcre uerem ſuas perdas tao mingua damente como acontecerem ou tra couſa gera ainda eſta confor midade natural inclinaçao ſe gundo ſentença de alguns que o pregoeiro da vida he a fame rece bendo refeiçao para o corpo o ſangue eſpiritos gerados de ta tas ciandas tẽ hũa tal ſemelhan,0
1435,obedeci e poſtrado em ter ra com muita reverencia venerey o embaixador e quem o mandava e como poſto em oraçao aguardaſſe o ſom na ſegunda vela da noite ou vi a campainha e armado com eſpada e rodela ſahi fora dos reays e ſubitamente vi a parte direita contra o nacente hum rayo reſplande cente e indoſe pouco e pouco clarificando cada hora ſe fazia mayor e pondo de propoſito os olhos para aquella parte vi de repente no proprio rayo o ſinal da cruz mais reſplandecente que o sol e jesv chriſto cru cificado nella e de huma e de outra parte hũa copia grande de mance bos reſplandecentes os quais,0
1435,eram ai com ele dom joao arcedispo de bragua e o conde dom guonçalo e dom pero paes alferes que entao em aquela ida serviu o infante de seu oficio e dom mem moniz a outra batalha segunda foi encomendada a dom guonçalo de souza com outros seiscentos de cavalo a terceira que era retaguarda com outros seiscentos a dom lourenço vieguas a az direita levava dom pedro das esturias com duzentos e cinquenta de cavalo e a esquerda o conde dom ramyro com outros tantos e os mais dos corredores com homens de pe puseram atras a carruagem que a houvessem de guardar se alguns mouros quisessem dar em ela e da gente de pe nao lemos conto nem repartiçao acabada mais que de quatro mil de que,0
1435,e mil de cavalo na primeira az ia o principe com muito bons cavaleiros ia com ele dom pero paes alferes que levava sua bandeira e dom dioguo guonçalves que era grande rico homem a retaguarda foi encomendada a dom lourenço vieguas e a dom guonçalo de souza e a az esquerda a mem moniz filho de dom eguas moniz ja finado e a direita a seu irmao martim moniz,0
1435,se nao deu de tao poucos e tantos em batalha campal aprazados foi assi vencido elrei ismar e os quatros reis mouros que vinham com ele e mortos na peleja muito grande conto de mouros e muitas das mulheres pelejadoras que acima dissemos nem da parte dos cristaos foi a vitoria sem perda grande morreram muitos entre os quais martim moniz capitao da az direita e dom dioguo guonçalves homens muito principais,0
1510,onde pousava o tome lobo e abalroando as casas por seis ou sete partes nelas entraram por força por mais que as nos defendemos e na defesa delas foram mortas da nossa parte onze pessoas entre as quais foram os tres portugueses que eu trouxera comigo de malaca e o tome lobo escapou com seis cutiladas de uma das quais lhe derrubaram a face direita ate o pescoço de que esteve a morte pelo que a ambos nos foi forçado largarmoslhe a pousada com toda a fazenda que nela havia e recolhermonos a lanchara na qual prouve a deus que escapamos com mais cinco moços e oito marinheiros porem da fazenda nao escapou nada a qual so em ouro e pedraria passava de cinquenta mil cruzados,0
1520,character lopo nam faleis em despachar com quaisquer oficiais quanto mais importunais e lançar agua no mar salvante se vos peitais por que a justiça nam e senam balança direita se num cabo pondes peita no outro nam s acha pe todo o direito s enjeita,0
