ano,sentenca,cluster
1435,elrei dom affonso posto que lhe estas novas chegassem nao se quis levantar do cerco que tinha sobre beja antes a combateu entao fortemente com engenhos e artilharias ate que a tomou por força e pelo despeito que tinha do mal que os mouros fizeram em tranquozo todos os mouros de beja andaram a espada ficando muito poucos vivos,0
1435,feito isto mandou elrei logo chamar mossem guilhem de longa espada childe rolim e dom liberche e dom ligell e outros capitaes grandes que eram na companhia dos estrangeiros e disse lhes,0
1435,vos a nenhuma pessoa nao perdoeis nem a mulher moço nem velho de qualquer idade e qualidade todos andem a espada e isto fazei com grande e trigoso esforço que deus sera ai em nossa ajuda para cada um de nos matar cento de eles e hoje e amanha fazem por nos oraçao geral o prior e todos os conegos do mosteiro de santa cruz a que eu ante que partisse notifiquei o que vinhamos fazer e assi tambem a clerezia com todo o povo,0
1435,matai os andem a espada todos que nao fique nenhum e os que subiram apartaram se logo pelo muro em duas partes peleijando cada uma com os mouros que vinham,0
1435,os mouros acudiram todos ali peleijando muito rijamente e vendo ja dentro consigo tanta gente desesperando de se poder ali ter acolheram se os mais de eles a alfam mas pelo despercebimento em que se acharam foram logo entrados e muito muitos de eles homens e mulheres e moços trazidos a espada de que foi o sangue tanto pelas ruas que parecia serem ali mortos grande multidao de gados,0
1435,nesta vinham muitos condes e outros grandes senhores mas a escritura nao fala de seus nomes mais que de quatro um por nome mossem guilhem de longa espada conde de lincoll de que se diz ser em seu tempo avido pelo melhor cavaleiro que sabiam em toda inglaterra nem frança ao outro chamavam childe rolim ao outro dom liberche ao outro dom ligel,0
1435,em isto vendo dom pero paes alferes os mouros assi todos juntos com o pendao de sevilha dando vozes a dom mem moniz e a outros senhores remeteu ao alferes que o tinha e deu lhe tais duas feridas de espada que o desatinou e deixando cair sua espada dependurada por uma cadeia para isso segundo parece costumada travou no alferes e como era forçoso deu com ele e com o pendao em terra,0
1435,era para louvar a deus e folgar de ver o esforçado pelejar dos nossos que por força fizeram juntar se onde estava o pendao de sevilha e do infante se acha escrito que bem mostrava ser filho de seu pai em ferir assi de lança como de espada pelejando muito esforçadamente onde quer que se acertava,0
1435,todos o faziam muito bem mas em especial elrei da vantagem que era muito grande de corpo e de muito afinada valentia de força grande e coraçao muito maior e grande cortador de espada e por tanto seu pelejar onde se topava entre todos era avantajado,0
1465,esta espada e roloa e este broquel rolao,1
1465,alevantai a espada metei o diabo na cruz como o eu agora pus sai co a espada rasgada e que fique anteparada talho largo um reves e logo colher os pes que todo o al nam e nada,0
1465,saio com mea espada oula guardar as queixadas,1
1465,olhai senhora isabel inda que tragam charrua eu so lhes terei a rua com ũa espada de papel,0
1465,entra logo frei paço com seu habito e capelo e gorra de veludo e luvas e espada dourada fazendo meneios de muito doce cortesao e diz quem me vir entrar assi com estes jeitos que faço cuidara que endoudeci ate que saiba de mi que sam o padre frei paço,0
1465,deo gracias nam me pertence nem pera sempre nem nada senao espada dourada porque muito bem parece ao paço trazer espada,0
1465,é mais agudo qu a espada nam ha i cabra na manada que nam tenha na moleira,1
1481,character vilhalpando i mas seja assi partamos logo esta diferença a espada,1
1481,character briobis e senao nunca mais cingiria espada,1
1481,character devorante estava recolhendo novas pera o meu soldado agora elas todas entornadas que deixara logo o doutor e ha de querer por toda valença a espada,0
1481,character milvo diz que nunca viu homem a que tam bem estivesse espada na cinta,1
1496,metonimia quer dizer transnominaçao e cometese quando pomos o instrumento pola cousa que com ele se faz ou a materia pelo que se faz dela como diz bem per pena por escreve bem cesar morreu a ferro por punhal ou espada com que o mataram,1
1510,ao outro dia pela manha que foi um sabado partimos da barra de bardees e a segundafeira seguinte surgimos no porto de onor com grande estrondo de artilharia e as vergas ao modo de guerra em torno de espada e grande vozaria de pifaros e tambores para que a gente da terra nestas mostras exteriores lhe parecesse que nao tinhamos nos os turcos em conta,0
1510,que se sintia favorecido da fortuna e que em nenhuma coisa queria perder a ocasiao tentou cometer uma força que com doze peças grossas varejava a entrada do rio que se chamava penacao e assaltandoa a escala vista com obra de setenta ou oitenta escadas a entrou sem perder dos seus mais que so trinta e sete e todos quantos achou dentro meteu a espada sem a nenhum querer dar a vida que seriam ate setecentas pessoas,0
1517,o que pellejava na guerra ou combatia a este faziao variado de muitas maneiras e o braço deste sempre andava ou muito alto ou muito atras com a espada ou lança porque ambos sao effeitos de grande força e o escudo andava diante porem a cabeça stava dereita com os olhos vivos e a barba erguida e as pernas abertas treçadamente de maneira que no meo dellas vibrava e se afirmava o corpo,0
1517,todavia lançavao o manto ao redor da fegura de arte que nao lhe escondia nenhuma parte da fermosura do corpo antes lha acrescentava e o balteo com a espada ao lado e alguns tinhao adagas com saias de malha e a espada curta e da banda dereita,0
1520,andais agora galante capinha chapeu e espada,0
1520,character comadre e falaisme nessa raça e que peça e que siso e que cabeça comadre na minha rua mora ũa espada nua que fere des que começa,1
1520,character cavaleiro ora embora levantaias a primeira d espada no mais,1
1528,vejo vir montalvao com a espada nua todo enfiado,1
1528,character montalvao a verdade e nam ter homem comprimentos com ninguem arrancar da espada meterlha pela barriga,1
1528,character montalvao e creo inda que te faltava a espada,1
1528,se nam pegaramos dele saia ja como um doudo com a espada nua pera matar quantos achasse per essas ruas sem lhe lembrar vida nem honra,0
1528,character cornelia vinha de ca de cima um soldado doudo muito recachado toparamse ambos nam sei que houveram que lhe lançou lionardo ũa mao ao pescoço e outra a espada,0
1540,entao se levantou ele muito depressa e lançou mao a uma espada que tinha junto de si com a qual botou somente em camisa pela porta fora tendo para si quando muito que seria algum tigre ou outro animal da terra conhecido com a vista do qual se desenganasse do que a índia lhe queria persuadir,0
1540,e assim sai desta maneira com um índio que lhe traz a espada sobre um alguidar a qual e de um pau muito duro e pesado feita a maneira de uma maça ainda que na ponta tem alguma semelhança de pa,0
1540,ditas estas e outras palavras semelhantes que eles costumam arrezoar nos tais tempos remete o matador a ele com a espada levantada nas maos em postura de o matar e com ela o ameaça muitas vezes fingindo que lhe quer dar,0
1540,o miseravel padecente que sobre si ve a cruel espada entregue naquelas violentas e rigorosas maos do capital inimigo com os olhos e sentidos prontos nela em vao se defende quanto pode,0
1540,e andando assim nestes cometimentos acontece algumas vezes virem a braços e o padecente tratar mal ao matador com a mesma espada,0
1542,disto se deo rebate a dom chistovao que vendose perdido quis antes morrer as maos de inimigos que ficar cativo e assim voltou pera aquela parte com um furor tao grande que lhes fez esquecer as feridas que tinha e tomando a espada com a mao esquerda disse aos seus que quem o quizesse seguir o fizesse porque ele ia morrer no meio dos inimigos,0
1542,tanto que bem se pudera fazer dele so um grande tratado andando acezo na batalha pelejando por seu braço e derribando muitos dos inimigos invejosa a fortuna da gloria de seu valor e esforço ordenou que lhe dessem outra espingardada pelo braço direito que este dia tinha ganhado tanta honra e obrado tao grandes maravilhas que lho quebrou de todo ficandolhe inhabilitado pera a espada,0
1542,primeiro que entregasse a india a dom joao de castro mandou por o seu retrato na casa onde estavam os dos outros governadores e ainda esta hoje pelo natural do seu tamanho com o trajo ao antigo roupa aberta de mangas de roca com golpes e botoes jubao de petrina baixa e sobre ele couraças postas sobre veludo cravadas musgos dos antigos espada a teta e barrete redondo com golpes e pontas de ouro,0
1542,o que visto pelo grao capitao entendendo que aquilo era opiniao lhe disse ora senhor bem vos entendo deveis de querer armas e tirando a espada que levava na cinta lha deo e ele a tomou com grande acatamento estimandoa muito e assim a trouxe sempre comsigo e nos dias de mores festas a trazia na cinta,0
1542,e vestindose um dia de festa muito louçao tendo uma espada na cinta que lhe tinha dado o grao capitao gonçalo fernandes sendo moço saindo pera a casa onde os fidalgos o estavam esperando antre quem estavam os parentes de dom manoel de lima que diziam que o havia de desafiar e olhando o governador pera os fidalgos lhes perguntou se estava gentilhomem e gabandoo todos poz a mao na espada dizendo pois sabei que,0
1556,e como a palavra divina seja espada de fogo e poderosissima pera estes efeitos se nao bota os fios na boca do pregador o que acontece quando ele se busca a si mais que a deus pretendendo fazer alardo de letras e engenho mais que converter almas determinou trazer sempre diante dos olhos um espertador desta verdade o qual achou nas duas palavras ardere et lucere em que cristo nosso redentor,0
1556,era general da armada guilhelmo principe frances da casa de anju bem celebrado nas historias daquele tempo por sobrenome longa espada,1
1556,era mestre na materia de espirito que a aprendera desde minino e sabia bem quanto se aventaja com prevenir culpas antes que se cometam sabia que a melhor prevençao de todas pera ter mao nos homens que nao caiam em grandes vicios e a palavra de deus palavra viva e eficaz que corta polas entranhas e pola alma como espada afiada e cortadora que das maos a boca faz trocar o sabor das cousas desafeiçoa vontades e ate nos entendimentos faz força,0
1556,nao havia escudeiros nem pagens nem homens de capa e espada oficiais de camara e mesa a uso de casas de grandes como ele era que sao camareiro mordomos estribeiro trinchante eram pera o arcebispo materia de riso,0
1556,porque castigar sem amor estava perto de crueldade de algoz ja usar da espada da justiça com paixao era tirania e vingança que ao juiz justo e recto nunca a clemencia e brandura natural lhe tolheu a execuçao da justiça somente temperava o rigor da pena,0
1569,permanecia inda o summo sacerdocio em melchisedech dos patriarchas florecia abraham muyto mimoso de deos aos dezoito annos do imperio de brigo succedeo aquella celebrada historia da immolaçao sacrificio em que deos quis accrecentar os merecimentos de abraham chegandoo a ponto de levantar a espada sobre a cabeça de hum so filho que tinha avido no fim de sua idade,0
1569,e a isto alludia o propheta hieremias quando avisava os judeos lhes profetizava a vinda dos assyrios dizendo fugi apartaivos da espada alfange da pomba quasi dizendolhes goardaivos judeos das armas delrey dos assyrios que traz a pomba por divisa em suas bandeiras,0
1579,dizemos dos nomes folha de espada lume de espelho veia de agua braço de mar lingua de fogo lanço de muro faixa de ferro e outras semelhantes e nos verbos lançar o cavalo fazer a capa quebrar a palavra cuspir o pelouro arrepiar a carreira e outras muitas e alem destas tao usadas e naturais que servem de propriedade a lingua portuguesa ha outras nascidas de proverbios ou adajos que,0
1579,mas os notadores de espada solta esgrimem ja agora sem estes bordoes maravilhosamente,0
1579,e nao estima um autor matar mais dois mil homens com a pena para fazer valente o seu cavaleiro com a espada sem estar receando os ditos das testemunhas que ficaram da batalha que por iguais respeitos pende cada uma para seu cabo,0
1579,veio ocasiao de um assalto em que o bom soldado invejoso e animado do que ouvia ler lhe pareceu ensejo de mostrar seu valor e fazer uma cavalaria de que ficasse memoria e assim se meteu entre os contrarios com tanta furia e os começou a ferir tao rijamente com a espada que em pouco espaço se empenhou de sorte que com muito trabalho e perigo dos companheiros e de outros muitos soldados lhe ampararam a vida recolhendoo com muita honra e nao poucas feridas,0
