ano,sentenca,cluster
1540,estes vasos sao muito duros em grande maneira e estao cheios de umas castanhas muito doces e saborosas em extremo e tem as bocas para baixo cobertas com umas sapadoiras que parece realmente nao serem assim criadas da natureza senao feitas por artificio de industria humana,2
1540,alem disto ajudamse da carne de muitos animais que matam assim com flechas como por industria de seus laços e fojos onde costumam caçar a maior parte delles,2
1540,destes papagaios ha na terra mais quantidade do que ca entre nos ha de gralhas ou de estorninhos e nao sao tao estimados como os outros porque gazeiam muito e alem disso falam dificultosamente e a custa de muita industria,2
1540,tambem descobriram outras minas de umas certas pedras brancas e verdes e de outras cores diversas as quais sao todas de cinco seis quinas cada uma a maneira de diamantes e tambem lavradas da natureza como se por industria humana o foram,2
1542,neste tempo começou elrei do tidore a fazer uma fortaleza de pedra ençossa em um padrasto que ficava sobre as costas da cidade no mesmo lugar em que a tinham quando antonio galvao lha derribou e porque os castelhanos o ajudavam na obra por cuja industria a faziam lhes mandou elrei dar a cada um dez caxas por dia que valiam tres riaes da nossa moeda e algum pouco de sagum e arroz,1
1556,tornando pera esta provincia foi eleito provincial e com sua devaçao zelo e industria se edificou e dotou o convento que temos na vila de almada onde faleceu e esta sepultado no capitulo,1
1556,todos os nobres exercitam a mercancia a usa de veneza e genova contra o costume das mais terras de portugal que os louvam e nao os seguem invejam a felicidade e bons sucessos do trato e nao sabem imitar a industria,2
1556,as molheres nao vivem em ociosidade mas sao daquele humor que a escritura gaba na que chama forte aplicadas ao governo de sua casa e a grangear com trabalho e industria das portas adentro como os homens fora de casa,2
1569,da qual pedra ficao concluidas todas as patranhas fabulas antigas que de hispano se contao de iliberia sua filha por cuja industria se fizerao certas obras em cadiz da qual affirma o bispo de burgos ser casada com hum principe grego chamado phyrro cujos descendentes reynarao em espanha muitos annos,2
1569,por industria do qual se remedeou a terra do egypto em sette annos de grande esterilidade que ouve nos quais joseph mandou vir da terra de canaam seu pay jacob com toda sua familia os poz na terra de gesen por ser abundantissima de pastos pera os gados criaçoes de que os patriarchas viviao naquelle tempo,1
1569,succedeo neste tempo a guerra que nino fez a zoroastes rey dos bactrianos onde foy menon durando a guerra muito tempo fez levar a semiramis pera a ter comsigo por industria da qual se ganhou logo a cidade de bactria se perdeo nino por seus amores de maneira que a tomou a seu primeiro marido depois de ter nella avidos dous filhos chamados japar idaspes,1
1569,e tomando amelech neto de ismael filho de seu primogenito eliphaz por capitao de todos os conjurados vierao demandar os israelitas a quem moyses deu por capitao a josue moço animoso em cousas de guerra prudente nas de conselho nas do culto divino muy religioso por cuja industria os amalecitas forao desbaratados mortos no alcance muitos delles o forao todos se a noite lhes nao dera modo pera escaparem embrenhados pelos desertos,1
1569,depois se tornou a restaurar este tribu por industria dos mais a quem lastimava muito ver extinguir huma geraçao tao illustre de que sayao homens estremados em cousas de guerra,1
1569,muito engrandecera cadmo aquella terra com sua prudencia se a fortuna lhe nao fora contraria no melhor tempo porque amphion celebrado entre os poetas por sua musica lançando os phenices de thebas os fez ir fugindo pera athenas onde depois viverao com os naturaes da terra elle com muita gente que juntou por sua industria povoou a cidade thebana a cercou de grandes fortes muros pera com elles defender sua tyrannia,1
1569,delle querem sintir alguns que os alemaes se chamarao teutones que forao huns povos vezinhos dos saxones como aponta ptolemeo gemma frisio aos quaes segue raphael volaterrano referindo aquelle miseravel estrago que padecerao estes povos teutones quando em companhia dos cimbros quizerao occupar italia forao desbaratados junto dos alpes por industria de mario catulo como largamente contao plutarcho eutropio appiano nos o contaremos quando a historia chegar a este tempo,2
1579,sucedeu que o senado daquela republica por a nobreza e pessoa do mancebo e pela industria e sagacidade que mostrava o elegeram em companhia de outros para ir com uma embaixada a roma ao sumo pontifice,1
1579,desterrou do mundo a fidelidade pois por ele vendia nicias aos romanos a vida de elrei pirro seu senhor demonica a cidade de efeso a bresso capitao frances que de industria a afogou com peso de ouro tarpeia romana a entrada do capitolio aos sabinos que do mesmo modo com o peso de ouro e dos escudos a acabaram,1
1579,espreitando estes sinais a industria humana entra fazendo guerra ao profundo caminhando por debaixo dos montes sustentados em colunas da mesma terra deixando a vista do sol e das estrelas pondo as vidas ao risco das ruinosas maquinas que mil vezes os oprimem que tanto a nossa sede fez cruel a benigna terra que parece menor temeridade tirar do fundo do mar perolas e aljofar que do seu seio,2
1583,e sendo estes oficios ocasiao de grande acrescentamento de fazenda aos que os trataram para joao de barros foram de muito pouco porque ainda que lhe nao faltava industria como quem sabia tanto dos costumes do tempo sempre a limitou dentro das balizas da consciencia,1
1583,estes cargos que agora estao repartidos per o provedor da casa da índia e outros oficiais eram naquele tempo de grande cuidado e importancia assi pelo muito que entao rendia o comercio de ásia e áfrica como por tudo pender da industria do mesmo feitor que o administrava,2
1583,mostrase na caça nao pequena parte da industria humana,0
1583,que hade ter a linguagem pera ser perfeita e do que esta dito se pode coligir claramente que as linguas que entre os antigos houve mais celebres foram a hebraica grega e latina a que podemos chamar princesas do mundo porque esta autoridade lhe deu o titulo da cruz onde foram postas das quais a latina foi a ultima que floreceu grandemente e por industria de seus naturais se dilatou tanto per todas as partes do mundo que quasi veio a ser comum nas provincias do imperio de maneira que como diz dela plinio tot populorum discordes ferasque linguas sermonis commercio contraheret ad colloquium,2
1584,tua gente acharas pronta para a guerra e com grande animo pedirte ver a que com titulo de rei começes esta batalha nao duvides de o aceitar mas concede livremente a petiçao porque eu sou o fundador e destruidor dos imperios do mundo e em ti e tua geraçao quero fundar para mim um reino por cuja industria sera meu nome notificado a gentes estranhas,1
1584,da parte ocidental aonde a terra e mais cha a fez forte a industria com muros e baluartes e estava em tempo dos arabes mais fortalecida,2
1584,santarem se ganhou pelo esforço e industria de elrei dom afonso e os cativos de soure cobraram liberdade em o ano que o servo de deus havia sinalado,1
1597,natureza significa propriamente a virtude do animo e natural habilidade nascida conosco e nao adquirida com arte ou industria e como tem possevino livro bibliotheca selecta p capitulo de ingenio et natura ingenium ea indoles est qua facile uel difficulter res aut artes addiscuntur,2
1597,e ainda que fica dito por voto de pontano que virgilio teve vantagem no juizo a homero e que homero teve melhor engenho que virgilio contudo temos a homero por de mais raro juizo na consideraçao do decoro particular a ulisses atribui a industria a diomedes a confiança a teucro a arte de setear a mnesteu a arte de ordenar esquadras a nestor o bom conselho a áiax a fortaleza e principalmente a do sofrimento e a virgilio por de melhor juizo que homero na consideraçao do decoro geral porque formou em eneias a piedade a religiao a continencia a fortaleza a magnanimidade a justiça e todas as,2
1597,esta mostra muito mais graça por nao ser formada de pau de cera ou de cores mas por diligencia e por industria expressa das musas para este efeito invocadas a qual sem duvida alguma sera entre todas as imagens perfeitissima mostrando em um mesmo tempo visiveis a formosura do corpo e a virtude da alma,2
1597,e quando esta inclinaçao nao fora natural podia ser artificiosa porque as mesmas regras e os mesmos preceitos tem a pintura que a poesia quae poeticae eadem picturae conueniunt monita et leges possevino livro capitulo p bibliotheca mas sem duvida e industria e natureza arte e engenho o que os inclina a estas duas faculdades nascidas de um mesmo ventre e de um mesmo parto,2
1597,e assim como e famoso o pintor que com sagacidade e industria ordena suas cores famoso e o poeta que aplica com conveniencia todo o estilo magnus qui in omnem partem uestere dictionem potest nunc serpere nunc montium uerticem pedibus calcare nunc etc,2
1597,convem muitas vezes mostrar arte e industria assim na poesia como na pintura nas coisas miudas e ainda que o entreterse nelas molesta e parece tirar a majestade a fabula como se ve em homero contudo o abaterse e humilharse alguma vez gentilmente pode deleitar maiormente que o variar locuçao e o sortear cores agradam,2
1597,title diligencia terceira condiçao na parte que pertence a diligencia deve o pintor empregar todo seu estudo em limar suas obras mas nunca com tanta industria que fiquem mais do necessario retocadas e lambidas nao ha de polir com demasiada paciencia mas facilitarse com liberalidade e de modo que nunca apareça a arte porque sempre se deve envolver em uma negligencia artificiosa,0
1601,sondarey pois aqui como em carta de marear ambos os portos nao deixarey alto nem baixo que nao descubra porque assim acertara cada hum melhor com a carreira direita e segura e fio da boa industria de todos que vendo ao olho onde esta o perigo que o saibao fugir e que lancem ancora onde se possao salvar mais descansados na vida mais seguros na fazenda e mais quietos na conciencia,1
1606,tao pouco tempo um exercito na sua provincia em que nunca o houve deveselhe a bizarria com que entrou no interior das terras inimigas assolando tudo o valor com que assombrou monterrei praça de armas e destruiu seus campos desprezando sua cavalaria e todo o poder contrario que ali concorreu finalmente se lhe deve a vigia que teve nos movimentos do exercito inimigo a industria com que o intreteve a prevençao com que tratou do minho e a prontidao com que o veio socorrer,1
1606,o inimigo parecendolhe receo o que era industria se animou a seguilo tanto que passou um ribeiro seco que era o que se esperava o investiu manoel de paiva soares com tal valor que a cavalaria sem embargo do grande favor que lhe dava a infanteria se pos em fugida deixandonos trinta cavalos e nao ficaram todos por terem a sua praça muito perto,1
1608,de industria se pudera perder a praça so por lograr a fineza e de industria se pudera tambem nao ganhar so por nao experimentar o desengano,0
1608,passemos aos da industria,0
1608,chapter author av title capítulo oitavo continua a mesma materia desenganado por estas evidencias o poder a industria o discurso e esperança espanhola bem pudera eu esperar do juizo mais politico de nossos competidores e seus conselheiros acabassem de desistir de tao infrutuosa porfia,0
