ano,sentenca,cluster
1601,ter o principe amigos e espias na terra do inimigo e conhecimento dos lugares por onde marcha e ha de ter encontros he muito necessario,0
1601,donzellas e o menos que tira de duzentos que liberta sao quinze ou vinte mil reis por cabeça e ajunta assim quatro ou cinco mil cruzados gasta delles mil e quinhentos quando muito nas pagas e comboy de cem infantes que nao se puderao livrar da violencia por miseraveis e ficase com tres mil cruzados de ganancia ao menos com que vay luzindo na marcha e poem em pes de verdade que tudo he a sua custa e deste serviço e outros semelhantes faz outra unha com que alcança huma commenda,2
1606,soube enfim de certo que o de prado passara e tomara o forte de gaiao e que pantoja acodia ao minho deixou as praças de trasosmontes bem providas despidiu o resto a ajuntarse com o de prado ele com alguns cabos maiores se adiantou porque seu coraçao nao sofria as jornadas da marcha,2
1606,chegou enfim o conde defronte da boega entre vila nova e lanhelas e achou que fernao de sousa coutinho general da artilheria que o dia antes da marcha havia mandado a vila nova para este efeito tinha em tao pouco tempo disposto tudo o que convinha para a passagem como se nisto se houvera trabalhado muitos dias e de varias partes concorreram no mesmo ponto tantas cousas necessarias que foi uma maravilha ajuntaremse todas tao a tempo,1
1606,enfastiado ja o exercito de tanto destroçar e cansadas as carruagens de se arrojarem por lodos e atoleiros carregados os soldados de despojos em que entrou bom numero de dobroes e patacas e outras cousas preciosas depois de doze dias de marcha voltou o conde de sao joao ao posto de vilarelho que foi uma boa vila ja destruida pelos nossos em outro ano,0
1606,marchou ao vale de salas muito fertil e rico e despois de o haver destruido e chegado com a cavalaria ao distrito de lobios que confina com o do minho ameaçando entrar por aquela parte voltou a marcha ao vale do limia o mais abundante daquele reino passando tanto adiante que neste rio beberam os cavalos do exercito,1
1606,a cidade de évora por estar dentro do reino quatorze leguas tinha so trezentos cavalos e mil infantes sem fortificaçao artelharia nem cousa que pudesse resistir a um exercito porem o castelhano fazia a marcha tao vagarosa por causa da muita carruagem que o conde de vila flor governador das armas portuguesas vendo que ele ia para aquela parte pode de estremoz aonde se achava meter com pressa na cidade quatro peças de campanha mais mil e duzentos infantes quatrocentos cavalos com poucas muniçoes,2
1606,que a marcha que ha de fazer a guarniçao ha de ser desta praça a de albuquerque pelo caminho mais breve e direito sem alguma detença e para isto se lhe dara segurança e comboi de cavalaria portuguesa,2
1606,na terceira marcha que foi aos dia de santo antonio se alojou o exercito junto ao castelo de maiorga que dista duas leguas de valença e costumava ser refugio das partidas dos inimigos que entravam nos campos de portalegre,1
1606,na terceita marcha foi as torres do siqueira e no domingo que se contaram se pos sobre o rio caia uma legua de badajoz,1
1606,a cavalaria do inimigo com o aviso de que os nossos entravam abalou de todas as partes e se ajuntou em albuquerque mas pondose em marcha para valença soube que as nossas tropas estavam ja incorporadas com o conde de schomberg e com a diligencia que os castelhanos tinham feito para chegarem depressa deixaram pelo caminho mais de cento e cinquenta cavalos mortos de cansaço,1
1606,que entre os que ficaram mortos no campo e os que se retiraram com feridas e delas morreram chegaram a e entre eles dous capitaes de cavalos e um comissario geral todos a espada enfim se sustentaram os nossos maravilhosamente ate que chegaram alguns infantes que afonso furtado de mendoça com grande juizo havia mandado em seguimento de cavalaria e ele se pos em marcha com o resto considerando quao desigual era o numero de uma e outra parte,2
1608,conforme a este dictame seguiu el rei acab o parecer dos quatrocentos prophetas e resolveu que se fizesse a guerra tocamse as trombetas marcha o exercito dase a batalha sobre ramoth mas a poucas horas de peleja ficou o exercito desbaratado e acab perdido,2
1672,marcha o exercito para larache pagina,3
1673,dentro do sertao de angola com quatro meses de marcha levando artilharia venceu álvaro de barros tres sovas ou principes a quem degolou trazendo uma grande presa e dizem que sera possivel haver comunicaçao de angola para os rios de sena,1
1675,estas luzes lhes dissiparam as sombras que o temor lhes introduzia e assentindo as promessas ficaram tambem estes reduzidos nesta triunfante marcha querendo sujeitarse todos a bandeira de cristo,0
1705,tocam uma marcha com as trompas,3
1705,aquele a quem o escudo da fortuna cobre e que marcha resoluto ja cuida que esta vendo os faustos do triunfo aquele que prostrado ja fica agonizando parecelhe que expira ou nos braços da vitoria ou nos da fama,0
1750,se depois de considerados estes dois axiomas e comparados com a marcha das acçoes dos nossos antagonistas duvidamos ainda que eles façam a base do seu plano sera sem duvida um excesso de cegueira nossa e nao faltara quem os ache muito mais habeis politicos do que nenhum de nos o tem sido ate agora,0
