ano,sentenca,cluster
1380,como o mestre guiſaya pera ſe hir pera in graterra como pedio per dao a vaſco porcalho,2
1380,nao respondeis vos ao que vos diz o mestre,6
1380,como os da cidade qui zeram roubar os iudeus o mestre os defendeo que lhe nao doydeito,0
1380,que bem via como caſtella era co tra portugal portugal contra ſy meſmo que bem deuia enten der que tal ſandice qual leuanta uao dous capateiros dous alfa yates querendo tomar o mestre por senhor que nao era couſa pera ir a diante que por tanto ao me nospor ſegurança de ſeus bens que leyxaβe a cidade ſe foſſe pera elles,0
1380,ainda vos douidaes detomar o mestre por regedor deſtes reynos q tome cargo de defeder esta ci dade avoſoutros todos,5
1380,como o conde iohao fer nandez veo ao ſaymento del rey o mestre foy ordena do por fonteiro em riba do diana,0
1380,e ſendo elle comen do aquelle dia o prior de guima raẽs com elle que auia hum an no mais que o nao vira ſenao entao ouuirao grao volta no pa ço da rainha que era hi acerca carpinha de molheres com grandes vozes de gentes pel las ruas de rador bradando to dos que matao o mestre,0
1380,acorramos ao mestre amigos acorramos ao mestre que o matao ſem por que,2
1380,e mandou logo fernam daluerez lou renço martins que foſſem cer rar as portas que nao entraſſe ninguem diſſeſem ao ſeu pa gem que foſſe a preſſa pella villa bradando que matauao o mestre elles fizeramno aſſi era o meſtre quando matou o conde em idade de vin te ſinco annos andaua em vinte ſeis foy morto a ſeis dias de dezembro era jaa eſcrita de quatrocentos vinte hum,0
1380,do aluoroço que foy na cidade cuidando que matauao o mestre como alaa foy aluoro paez muitas gen tes com elle,2
1380,como o mestre orde nou de fazer moed de q liga talho foi feita,2
1380,como os da villa de almada tomaram voz pello mestre como foy ſobre a lanque,2
1380,entam caualgou affoſoeanes em riba de hum grande fermoſo caualo que pera eſto ja alli eſtaua preſtes tra zendoa muy honradamente por toda a cidade acompanhada de muita gẽteaſſi clerigoscomo leigos bradando todos a hũa voz real real pello mestre dauiz regedor defenſons dos rey nos de portugal,0
1380,o mestre que leixamos em alan quertrazia enculca com elrey de ca ſtelladepois que lhe diſſerao que era na guarda por ſa ber as gentes que co elle vinhao que caminho queria trazer,0
1380,era obra de deos que ſe queria lem brar do reyno de portugal pois q os da cidade queriao tomar o me tre por ſeu regedor defenſor pera defender o reyno el rey de caſtella que era fama que vi nha pera entrar em elle pois q ſe tal couſa começaua que lhe pe dia por merce q todauia ſe tornaſ ſe pera o mestre pera ajudar a defender o reyno,5
1380,amigos bem ſabeis como eſta villa he minha_ voſoutros todos ſois meus deshi vedes bem o aluoroço de lis boa com o mestre q nao ſeydiſ ſe ella ſe he mestre de chriſtus ſede bombardas marauilhome qual foy a ſanha ou ſandice que os fez mouer a tal couſa porem vos nao cureis da ſandice delles nem do aleuantamente que fizeram_ mas ſede boos leaescomo ſem prefostes fareis muyto de voſ ſa prol honra a mim ſerui çoporque vos ſempre farey muy tas merces quando me por,0
1380,o que aqui vem em conclu ſam he esto ſe quereis ante huma voz dizendo com o mestre,0
1380,title cap como o mestre quize ra combater o castello co mo o cobrou ſem combate,7
1435,onde lisboa esta situada pareceu lhe melhor guerrear e tomar as fortalezas ao redor de ela antes de cercar a cidade por tal que quando viesse o cerco tivessem os seus menos trabalho nas forragens e se pudessem os seus mais ligeiramente sem outras guardas estender pela terra e ali tomou logo o castelo de mafora e deuo a dom fernao monteyro o primeiro mestre de aviz que houve em portugal e apos isto foi logo cercar sintra e tomou a mas se foi por força se por profecia nao o achamos escrito e sendo assi tomada apareceu no mar uma frota de cento e oitenta velas de gentes que em aquele tempo movera de alemanha e de inglaterra e de frança para guerrear os infieis por serviço de,4
1435,feitos nao e duvida acharem se muito menos postos em escrito do que foram por obra ora fosse por culpa dos tempos ora por mingua dos escritores segundo em alguns passos de esta sua estoria se pode assaz compreender porque em ela se nao faz mençao de muitas coisas assinadas de sua pessoa nem dos seus assi como de dom gualdim paes que foi mestre do templo de cristo em portugual e fez o castelo de thomar e outras fortalezas e serviu grandemente em seu tempo,4
1465,sou favor e desfavor mestre mor dos namorados engano dos confiados sou templo do deus d amor inferno de magoados,2
1481,character devorante como mestre,1
1481,character vilhalpando tudo esta de mao de mestre,3
1481,character guiscarda e porteao o maio a porta com mais versos que mestre pasquino correrao a argola diante das janelas e farao aquele dia ũa muito boa invençao de mascara,3
1496,o outro dia nos leu nosso mestre essa fabula do methamorphoses,2
1496,em o terceiro caso a que chamam dativo pomos a pessoa em cujo proveito ou dano e dada ou feita a cousa per este exemplo em aprender fazes a ti boa obra e ao mestre das contentamento,6
1496,character pai o autor que fez estes versos por guardar a quantidade das silabas e a ordem dos pes nao falou como em oraçao soluta e ja deves ser avisado per doutrina de teu mestre que de ũa maneira falam os poetas e d outra os oradores,5
1496,o outro dia em ũa liçao que nos leu nosso mestre trouxe esta autoridade de tulio,5
1496,assi que desta experiencia podes inferir ler a escola o ensina desenvoltura os negocios a dao letra redonda se aprende e a tirada sem mestre se alcança,6
1496,de artigo como a materia bem feita apraz ao mestre,2
1502,e por tanto se depois de me escreverdes elrei vos tem respondido em alguma maneira de que possais lançar mao ou negocio por qualquer via der de si coisa em que vos pareça que podes aproveitar assim como se fosse algum concerto com joao ango ou dizervos o gran mestre que elrei estava em vos responder de outra maneira melhor ou qualquer outra coisa que vos pareça de meu serviço entao haverei por bem de sobre serdes em vos vinda enquanto o caso vos parecer que o da de maneira que por vos virdes um pouco antes nao possa parecer que se perdeu do que se podia fazer de meu serviço como confio de,0
1502,item ao gran mestre cardeal e o almirante dareis minhas cartas de crença que para eles vos envio e lhe direis de minha parte meus agradecimentos da boa vontade que neles achastes para as coisas de meu serviço,0
1502,tempo do pagamento se havia de apregoar por todas os portos de frança a revogaçao da dita marca e todas as outras e que em roupa de portugueses se nao tocasse e que da carta delrei se dera logo a minuta a um secretario e que vola havia de mostrar antes de assinar e como soubesses que a fizera e a mostrara ao gran mestre e que a elrei parecera bem e todavia mandara que se mostrasse ao gran chanceler o qual a glosara em algumas partes por onde se havia ainda de tirar a limpo e que esperaveis que a carta pudesse ainda vir de recorrer pela incerteza das coisas dela que se poderia glosar e que nestas replicas havieis de trabalhar por gastar ou dias em que,4
1502,item a mestre diogo encomendareis que folgue de me servir em tudo o que se oferecer assim bem como eu dele confio e de me avisar e assim a gaspar vaz de qualquer coisa que lhe parecer que cumpre,6
1502,item ouve por meu serviço todo o que tendes dito e feito acerca do gran mestre e vindovos lhe dareis conta de vossa vinda conforme a maneira de que vos vindes,0
1502,um mestre joao jorge que fez os moinhos de dom garcia de noronha me disse que da ponte de boa vista onde estao as casas dos alemaes ate a ponte das casa de santos se poderiam fazer uns moinhos que moessem com quinze pedras ou mais e porque esta obra pode ser proveitosa e necessaria para bem da cidade escrevo a meu amo que veja o,5
1502,e em especial vereis que fazendose estes moinhos podia prejudicar ao porto dessa cidade ou nao porque o mesmo mestre diz que antes lhe fara proveito,0
1502,o dito vincente pegado me escreveu que o seu piloto e o seu mestre levavam cada um sua carta feitas em lisboa as quais iam desconformes em muitas coisas pondo as ilhas e moçambique e sofala em mais graus e outra em menos e que nenhuma delas punha aqueles baixos em que se perdeu manuel de lacerda e ele se viu com as ditas cartas em grande confusao e por acerto achou outra no navio que ha muitos,4
1502,todos os outros despachos que escrevestes a fernam de alvarez se fizeram logo e eu houve por bem de fazer merce ao mestre da carpintaria e dos calafates do terço que lhe escrevestes e logo mandei despachar cartas para todos os portos de antre douro e minho e aveiro virem a metade dos carpinteiros e calafates que houver em cada lugar e bem podeis estar seguro que nao mandarei escusar nenhuns,4
1502,quanto ao mestre e piloto e despenseiro da nau de jorge lopez que dizeis que sao cristaos novos e assim alguns marinheiros e que vos parece meu serviço irem a índia pelas razoes que apontais hei por bem que todos vao e assim quaisquer outros homens do mar que vos bem parecer sem ambargo da provisao que esta na casa da índia por que tenho defeso que,0
1510,e depois que os feridos e os doentes foram convalescidos cada um se foi para onde lhe pareceu que teria o remedio mais certo e o pobre de mim com outros seis ou sete tao desamparados como eu fomos ter a setubal onde me caiu em sorte lançar mao de mim um fidalgo do mestre de santiago por nome francisco de faria ao qual servi quatro anos em satisfaçao dos quais me deu ao mesmo mestre de santiago por seu moço de camara a quem servi um ano e meio,0
1517,porque este e o fazer do gravissimo mestre e avisado e aquele outro de obreiro aprendiz,0
1517,e mestre micael angello pintor egregio e o mor homem das symetrias e razao da pintura que inda entre os cristaos florecesse tao facilmente pinta com as colores como sculpe em o marmore,2
1517,e dos modernos o primeiro e mestre micael angello ou agniolo pintor e pedreiro eminentissimo o segundo que muitos tem por primeiro e bramante que começou a obra maravilhosa de sao pedro em roma despois baltesar de senna pintor e arquitector egregio despois dos que eu conversei e alcancei inda no meu tempo em roma foi mestre antonio de sangallo arquitector do papa o qual fez o poço em urvieto e,6
1517,a colunna ionica foi tirada da graça de molher para o templo de diana efesia farseha oito partes e mea de sua grossura com a basa e capitel e vetruvio lhe da mais mea que serlio o bolonhes o qual nao sei quem o meteo em deminuir as symetrias de seu mestre e fazelas mais pequenas,0
1517,e as obras de illuminaçam que don julio de macedonia me mostrou em roma erao dinas dos antigos e de qualquer grande principe christao e a don julio daria eu a palma que lhe nao nega mestre micael angello neste genero de pintar sobre todos os homens deste mundo antigos nem modernos o qual grandemente eicedeo a todos os framengos e a mestre simao coloridor muito egregio e assi voou por cima de todos como aguia,0
1517,a pintura de fresco e muito stimada em italia e honrada por mestre micael angello na capella de sixto e por outros famosos pintores assi antigos como modernos,2
1517,é alguma hora cousa de elegante mestre fazer uma fegura toda alumiada do dia e logo juntamente a par della outra toda escura da sombra que lhe aquela outra faz e inda que bem fossem duas e tres assombradas duma so nao era mao como que cansou nellas a claridade para alumiar a outra dianteira,0
1517,ora em genoa sta a casa do princepe doria pintada de mestre perino mui de siso principalmente a tormenta das naos de eneas a olio e a ferocidade de neptuno e dos seus cavallos marinhos e assi em outra sala sta a fresco a guerra que jupiter fez com os gigantes em flegra derribandoos com os coriscos por terra e quasi toda a cidade e pintada de dentro e de fora,0
1517,aqui dixe mestre micael eu seguro que se no vosso portugal m francisco vissem a fremosura da pintura que esta por algumas casas desta italia que nao poderiam ser tao desmusicos la que a nao stimassem em muito e a desejassem de alcançar mas nao e muito nao conhecerem nem prezarem o que nunca viram e o que nao tem,2
1517,o qual pola sua propria mao pintava muito singularmente segundo screve na sua vida dion grego e spartiano pois o divino marco aurelio antonino diz julio capitolino como aprendeu a pintar sendo seu mestre diogenito e mesmo conta helio lampridio que o emperador severo alexandre o qual foi um fortissimo principe pintou elle mesmo a sua genolosia por mostrar que descendia da linhagem dos metelos,5
1517,polidoro dos modernos foi em roma o que mais valente mestre se mostrou nesta maneira de fazer de preto e branco e e a pintura mais grave e mais suave que eu sei,2
1517,vendo eu que michael stava callado por este modo o tornei a provocar assi mestre micael angelo que vos affirmaes que somente aos italianos concedeis entre todo o outro mundo a pintura,5
1517,mandai a um grande mestre que nao seja italiano inda que bem fosse alberto homem delicado na sua maneira que para me enganar a mi ou a francisco de hollanda queira contrafazer e arremedar uma obra que pareça de italia e se nao poder se da muito boa que seja da arrezoada ou da ma pintura que eu vos certifico que logo a tal obra se conheça nao ser,5
1517,tomai um grande homem doutro reino e dizeilhe que pinte o que elle quiser e melhor souber fazer e façao e tomai um mau descipolo italiano e mandailhe dar um traço ou que pinte o que vos quiserdes e façao achareis se o bem entendeis que o traço daquelle aprendiz quanto a arte tem mais sustancia que o daquele outro mestre e vale mais o que elle queria fazer que tudo o que aquele outro fez,0
1517,e temido de todo o oriente e de toda mauritania e favorecedor das boas artes tanto que por se enganar com o meu engenho que de moço algum fruto promettia me mandou ver italia e suas policias e mestre micael angelo que aqui vejo estar,5
1517,porque acharei aqui homens particulares e senhores que nao gostam ora muito da pintura como ora andre doria que todavia pintou manificamente o seu paço e satisfez manificamente mestre perino pintor delle e como o cardeal fernes que nao sabe que cousa e pintura o qual ao mesmo perino fez mui honesto partido so por se chamar seu pintor dandolhe vinte cruzados por mes e raçao de mantimento para elle e para um cavallo e moço afora pagarlhe muito bem suas obras,0
1517,e vendo mestre micael que nao era mal empregada a pratica em nos dixe ora que cousa tao alta foi o decoro na pintura,0
1517,assim e ella tamanha empresa proseguio micael angelo que nao somente basta para emitar em alguma parte a imagem venerabil de nosso senhor ser um pintor grande mestre e muito avisado mas tenho eu que lhe e necessario ser de muito boa vida ou inda se ser podesse sancto para no seu inteleito poder inspirar o sprito sancto,0
1517,nao e pintura começou de ensinar micael angelo tanta obra como e qualquer destas que tem ajuntado vossa senhoria somente a pintura que eu tanto celebro e louvo sera emitar alguma so cousa das que o imortal deos fez com grande cuidado e sapiencia e que elle inventou e pintou semelhantes ao mestre e daqui para baxo seja ou as alimarias e as aves despensando a perfeiçao segundo o merece cada cousa,6
1517,porque em roma polidoro pintor muito deferente maneira teve de baltesar o de senna mestre perino deferente daquella de julio o de mantoa martorino nao pareceu com o parmesano e cavaleiro terciano em veneza mais brando foi que lionardo o de vince a galantaria de rafael de orbino e brandura nao se parece com o fazer de bastiao venezeano o vosso fazer nao se parece com outro algum nem o meu pouco engenho com outro algum se assemelha,0
1517,e calandose micael angelo prosegui eu é tambem cousa grande que um valente mestre inda que queira e trabalhe muito por isso nao pode mudar tanto a mao nem danala que faça alguma cousa que pareça da mao dum apprendiz porque quem com cuidado na tal cousa atentar ha lhe de achar algum sinal por onde conheça ser feita por mao de quem sabia,0
1517,e mestre havera excelente que nunca pintou mais que uma so fegura e sem mais pintar merece mor nome e honor que os que pintaram mil retavolos e melhor sabe elle fazer o que nao faz que os outros sabem o que fazem,0
1517,mas uma das cousas por que eu mais desejo de amar ao meu mestre o immortal deos e porque elle so entende e conhece a altura da pintura elle so sabe pintar perfeitamente elle inventou a pintura elle e a fonte e o fim della,0
1517,fazem ricos e abastados quanto mais razao nos reinos obidientissimos e pacificos onde deos permittiu que uma so pessoa possa fazer todos os gastos manificos e todas as obras sumptuosas que lhe o seu gosto e honor desejar e pedir se devem servir desta proveitosa arte e sciencia principalmente sendo cousa tao copiosa que muitas cousas pode fazer per si mesmo e sem outro mestre que muitos homens juntos nao podem e que o principe se quereria grande mal a si mesmo nao digo ja as boas artes se como pode alcançar o assossego e a santa paz nao se disposesse a fazer grandes empresas da pintura assi para ornamento e gloria do seu stado como para seu particular contentamento e recreaçao do seu sprito,6
1517,e com tudo nao cuido eu que me tenho enganado inda que mo digam alguns assi que como estes eram os meus cuidados e as minhas lites e demandas nao tinha outro mor cardeal fernes que acompanhar nem outro mayor dattario que grangear que irme um dia ver dom julio de macedonia luminador famosissimo e o outro mestre michael angelo ora baccio nobre sculptor ora mestre perino ou bastiao veneziano e as vezes valerio de vicença ou jacopo mellequino arquitetor lactancio tollomei o conhecimento e amizade dos quaes homens eu muito mais stimava que outros de nenhuma mais fantesia nem presumpçao se os hi haver podia neste mundo e assi os stima roma,0
1517,e principalmente mestre michael prezava eu tanto que se o eu topava ou em casa do papa ou pela rua nao nos queriamos apartar ate que nos mandavam recolher as strellas,2
1517,porque eu conheço mestre michael angelo tornou ella conheci isso porem nao sei de que maneira nos hajamos com elle pera que o possamos enganar a que falle em pintura,0
1517,nao e tao bom de esconder este portugues por ventura respondi eu pesadamente ao frade ante os olhos de mestre michael angelo e melhor me conhecera escondido que vossa reverendissima aqui onde stou inda que ponha uns oculos e vereis que stando aqui me vera muito pior se vem,5
1517,repousava ja micael angelo quando foao çapata começou a dizer bem me parece mestre micael que armando formosamente a dama de francisco de hollanda desarmastes a carlo emperador nao vos lembrando que stamos aqui mais coloneses que orsinos,5
1517,comeceime eu a rir entao muito e pedindo licença ao mestre dixe por escusar o trabalho ao senhor micael quero responder ao senhor lactancio nesta sua duvida que ate de minha patria me vem seguindo aqui,6
1517,nem por isso o statuario sabera pintar nem tomar o pincel na mao nem sabera pintar e dar um risco de valentissimo mestre como ha poucos dias que conheci indo ver baccio blandino scultor o qual achei querendo pintar a olio e nao no fazendo,6
1517,a este altissimo mestre e capitao nos perceitos convem seguir os pintores mais que alguns outros studiosos e fazer o mesmo exemplo e ideas no entendimento daquillo que desejamos que venha a ser assi que a idea e a mais altissima cousa na pintura que se pode imaginar dos entendimentos porque como e obra do entendimento e do spirito convemlhe que seja muito conforme a si mesma como,5
1517,chapter author fh title capitolo x a segunda cousa por onde deve daprender o segundo mestre por onde aprender deve e o segundo abraçarse sera com a mui discreta e mui fremosa e magnanima antiguidade a qual de louvar nunca serei satisfeito,7
1517,mas das palavras daquelle mestre usemos nos proprias,6
