ano,sentenca,cluster
1496,nos fazemos a nossa composiçao de duas e compondo um nome com outro dizemos redefole de rede e fole arquibanco de arca e banco,0
1520,e assi mais lhe daremos fateixa cordas e remos rede savar sardinheira com seu cope e maneira como verao e veremos,1
1540,dali o metem numa casa e junto da estancia daquele que o cativou lhe armam uma rede e tanto que nela se lança cessam todos os agravos sem haver mais pessoa que lhe faça nenhuma ofensa,1
1540,as povoaçoes destes índios sao aldeias cada uma delas tem sete oito casas as quais sao muito compridas feitas a maneira de cordoarias ou tarracenas fabricadas somente de madeira e cobertas com palma ou com outras ervas do mato semelhantes estao todas cheias de gente de uma parte e de outra e cada um por si tem a sua estancia e sua rede armada em que dorme e assim estao uns juntos dos outros por ordem e pelo meio da casa fica um caminho aberto por onde todos se servem como dormitorio ou coxia de gale,0
1540,e logo pelos primeiros dias poemlhe seus parentes de comer em cima da cova e tambem alguns lho costumam a meter dentro quando o enterram e totalmente cuidam que comem e dormem na rede que tem consigo na mesma cova,1
1540,e quando algum morre costumam enterralo em uma cova assentado sobre os pes com sua rede as costas que em vida lhe servia de cama,1
1579,a rainha dona leonor sua mulher trazia uma rede de pescar a que chamam rastro,1
1579,das horas de comer metendose pelo sertao da calma que naquele tempo fazia o cavalo que nao devia de estar tao afeiçoado aquela estancia como a sua costumada estancava muitas vezes do passeio sem haver acordo nem espora que o despertasse ate que uma vez estando o amante parado com o ponto no alvo da janela acertou a passar um macho que levava uma rede de palha a que o rocim se arremessou com tanta furia que prendendo os copos da brida nos laços da rede se embaraçou de maneira que levou ao quartao enamorado por todo o terreiro onde se ressentiu do rapto sem se poder valer contra os coices do macho e risada dos rapazes,1
1583,por onde homero em muitas partes da odisseia e iliada introduz historias jocosas como foi a da prisao de venus e marte na rede de vulcano e outros casos quasi semelhantes de jupiter e juno a peleja do pobre hiro com seu competidor em casa de penelope e outros muitos em que o mesmo poeta refere o riso a que com elas se moveram ate os mesmos seus deuses e virgilio tambem no seu v livro descrevendo os jogos que eneias fez a seu pai anquises segue no,1
1601,alto sus vao os sargentos por essa ribeira revolvao a cidade prendao e tragao toda a couza viva que possa prestar para os tais ministerios e ca faremos a escolha e como se o decreto fora rede varredoura para ajuntar dinheiro vao empolgando em quantos achao geitozos para pingarem quatro tostoens porque os deixem vinde por alli que sois marinheiro e vos vinde tambem que sois sangrador,1
1601,e em tudo o genero de letras artes e virtudes se consummou com tanta facilidade e presteza que nos parecia ter nascido tudo com vossa alteza naturalmente e nao ser achado por arte e assim se prova que ha em vossa alteza saber para dar alcance aos latrocinios de que aqui tratamos e em os pescando com a rede da sabedoria seguese emendallos com a clava do poder,1
1601,mas se o ladrao tem bom natural e he perito na arte arma seus syllogismos como rede varredoura a que nada escapa,1
1608,supposto pois que pedro com seu irmao e com as suas redes pescava e christo so e sem rede s tambem pescou pergunto outra vez qual foi maior e melhor pescador pedro ou christo,1
1608,sobre o soffrimento e dureza sem mimo nem regalo de supportar os trabalhos sobre a vigilancia de observar a lua e as estrellas e contar os passos as mares de dia e de noite sobre a discriçao de usar do remo ou da vela segundo a opportunidade dos tempos e muito particularmente sobre o instrumento universal nao do anzol ou do arpao senao da rede que cerca e abraça sem distincçao a todos,0
1608,christo redemptor e juiz universal nosso comparou o dia do juizo a uma rede lançada no mar language sagenæ missæ in mare,1
1608,o mar e este mundo a rede e a comprehensao da ciencia e justiça divina os que nela andam nadando ja presos ou com maior ou menor largueza sao todos os homens,0
1608,e assim como na rede quando a malha e muito estreita so a agua pode passar e nenhuma outra coisa assim passa somente por ella a vida e tudo o mais que sao os peccados fica dentro e nada passa,0
1608,oh quao apertada e estreita e esta malha da rede de deus e quao facil de passar ainda por ella a vida que como a agua sempre esta passando,0
1629,sobiu simao pedro e trouxe a rede a terra cheia de cento e cinquenta e tres grandes peixes e sendo tantos a rede nao se rompeu,1
1629,e os outros discipulos vieram com o barco trazendo apos si a rede de peixes porque nao estavam senao como duzentos covados longe de terra,1
1629,e ele lhes disse lançai a rede da banda direita do barco e achareis,1
1675,character o bebado pois se quer ter saude guarde a boca nao seja tao guloso da minhoca que os pexes que isto fazem sempre adrede caem logo no anzol pescaos a rede,1
