ano,sentenca,cluster
1435,dom mendo em esta afronta bradou chamando em ajuda santiaguo patrao de espanha e elrei tambem do pe do muro altas vozes acudiu santa maria virgem bem aventurada e glorioso apostolo sao tiago acorre nos,0
1435,estrangeiros com ele ajuntou logo elrei todos e com grande procissao se foram a mesquita onde ora esta a se edificada e depois de limpa e mundificada das abominaveis cerimonias que ai eram feitas da feita de mafamede os clericos e bispos revestidos segundo sua ordem com te deum laudamus entraram em ela e assi foi consagrada e instituida a honra e louvor da virgem maria celebrando logo em ela os oficios divinos nomeando a por se catedral se ao santo padre aprouvesse,0
1435,melhor he por certo que vos vejao os inimigos e creao em vos que eu que deſde a fonte do baptiſmo vos conheci por deos verdadeiro filho da virgem e do padre eterno e aſſim vos co nheço agora,0
1435,ela disse eu sou a virgem maria que te mando que vai a um tal lugar dando lhe logo os sinais de ele e faze ai cavar e acharas ai uma igreja que em outro tempo foi começada em meu nome e uma imagem minha faze correger a imagem e a igreja feita a minha honra e isto feito faras ai vigilia pondo o menino que crias sobre o altar,0
1435,e desde que isto disse com outras muitas devotas palavras encomendou se a deus e a virgem gloriosa sua madre entao acostou se e adormeceu e quando foi uma hora ante manha tangeu se a campa como o ermitao dissera e entao o principe saiu se fora da sua tenda e segundo ele mesmo disse e dentro em sua estoria se contem viu nosso senhor na cruz no modo que dissera o ermitao e adorou o muito devotamente com lagrimas de,0
1440,porque eu tenho grande eſperan a em jeſu chriſto meu senhor e nom menos confiana na glorioza virgem ſua madre e aſi ſingular devaam na ordem e abito de sancta clara aſi como ſempre ha tiveram aquelles de que deſcendo ſempre puz em minha vontade que falecendo primeyro elrey meu se nhor e marido eu acabar ha vida no dicto abito e por eſo ho tenho feyto e aa muitos dias q comigo ho trago e em minha arqua por taal q,0
1440,atormentadas mortes que via pa decer fonfeſara todolos maalles e erros que lhes eram preguntados aho que outros em que avia mais esforo nunqua quizeram obede cer antes com muitas lagrymas e grandes prantos que fizera ſe eſ cuzava aſirmando que dos ſeme lhantes crimes elles e hos da or dem eram de todo inocentes e en comendando ſuas almas ha deos e aa virgem maria ſua madre era contentes de acabar como acaba va em tormento de ſuas vidas e deſtes fiquaram reſervados q nom foram aho pubrico tormento ho dicto jacobo meſtre da dicta or dem em fra e huu ruy dalfino ſeu praceyro e frey ugo paradi e huu outro dos mais principaaes da ordem que jaa fora officiaaes da caza delrey de frana hos quaaes,0
1465,a virgem sagrada quem e a que parira,1
1465,a virgem sagrada,1
1465,a virgem maria,1
1465,em belem cidade muito pequenina vi ua desposada e virgem parida,1
1465,em belem cidade muito pequenina vi ua desposada e virgem parida,1
1465,a virgem sagrada,1
1465,desata o feixe afonso e diz ela omagem m afegura o senhora virgem pura,0
1465,a virgem maria,1
1465,porque eu vou a chamar que venham com devaçao os milhores do lugar a levar em procissao o que a virgem me quis dar,0
1465,e fosse ao nosso cura e digo que vi a virgem maria e que ela lhe prometia de lhe dar um bom castigo,1
1465,chegando a pena furada aquem da virgem da estrela achei ser uma donzela bofa donzela dourada,1
1465,a virgem maria,1
1465,character ines ó virgem nossa avogada que os gados encaminhas,1
1465,ó bento bertolameu e vos virgem do rosairo polo filho que deos vos deu esta noite vosso e seu haja repairo,0
1465,bofe nam sabe nem isto a virgem maria si mas quant ele nao e bo nega pera queimar vinhas,1
1465,mas quando minha mae paria como a virgem a livrava tanto se lhe davela que fosse aquele como aquela senao ovos ũa vez,0
1465,falalhe com alegria cantalhe como souberes visita a virgem maria nossa via nossa guia frol de toda las molheres,1
1465,nasceu a rosa do rosal deos e homem natural virgem sagrada,1
1465,rogo a virgem maria que quem me faz erguer da cama que ma cama e ma dama e ma lama negra e fria,1
1465,da rosa nasceu a flor pera nosso salvador virgem sagrada,1
1465,em belem vila do amor nasceu a rosa do rosal virgem sagrada,1
1465,em belem vila do amor da rosa nasceu a flor virgem sagrada,1
1465,blanca estais colorada virgem sagrada,1
1465,a virgem as da de graça aos bos como sabeis,0
1465,a virgem olha as cordeiras e as cordeiras a ela,1
1465,e a virgem que fazia ela,1
1465,e rogo a virgem da estrela e a santa jerjalem e os choros da madanela e a asninha de belem que o veja eu ir a vela pera donde nunca vem,0
1465,um espelho i acharas que foi da virgem sagrada co ele te toucaras porque vives mal toucada e nam sintes como estas,1
1465,à feira da virgem donas e donzelas porque este mercador sabei que aqui traz as cousas mais belas,0
1465,ó principes altos imperio facundo guardaivos da ira do senhor dos ceus comprai grande soma do temor de deos na feira da virgem senhora do mundo exemplo da paz pastora dos anjos luz das estrelas,0
1465,entra o tempo e arma ua tenda com muitas cousas e diz em nome daquele que rege nas praças de anvers e medina as feiras que tem começase a feira chamada das graças a honra da virgem parida em belem,0
1465,nome da virgem maria lede padre esse letreiro se me cega ou alumia,1
1481,character devorante santa barbora virgem cuidei que era morto pater noster pola alma do doutor,1
1481,character fausta tantas vezes ha cada ũa de dizer aquela oraçao que vos dei escrita em pergaminho virgem que e muito exprimentada,1
1481,character fausta e assi tereis acesas as nove candeas que vos dei tambem de cera virgem,0
1481,character milvo virgem te nao ofereço porque es tu que a um novel esse fora o primeiro oferecimento,1
