ano,sentenca,cluster
1435,que vinham na dianteira muito bons cavaleiros e elrei com este recado abalou rijo a cavalo correndo por sair fora da vila a chegar aos seus e aconteceu que o cabo do ferrolho nao ficara bem colhido ao abrir das portas e o cavalo assi como ia correndo topou em ele com uma ilharga de guisa que se feriu muito e quebrou a perna esquerda de elrei o qual nao deixou por isto de chegar aos seus a ajudar os e em isto o cavalo que ia ferido nao podendo mais sofrer se caiu com elrei em um centeal sobre a mesma perna e acabou se de quebrar de todo de modo que os seus nao puderam mais levantar o nem por a cavalo e entao fernao rodriguez castelhano,0
1435,e dom pero paes alferes que entao em aquela ida serviu o infante de seu oficio e dom mem moniz a outra batalha segunda foi encomendada a dom guonçalo de souza com outros seiscentos de cavalo a terceira que era retaguarda com outros seiscentos a dom lourenço vieguas a az direita levava dom pedro das esturias com duzentos e cinquenta de cavalo e a esquerda o conde dom ramyro com outros tantos e os mais dos corredores com homens de pe puseram atras a carruagem que a houvessem de guardar se alguns mouros quisessem dar em ela e da gente de pe nao lemos conto nem repartiçao acabada mais que de quatro mil de que na vanguarda onde o infante ia foram metidos mil e quinhentos homens de pes,0
1435,fez de outros tantos que eram por todos dez mil homens de pe e mil de cavalo na primeira az ia o principe com muito bons cavaleiros ia com ele dom pero paes alferes que levava sua bandeira e dom dioguo guonçalves que era grande rico homem a retaguarda foi encomendada a dom lourenço vieguas e a dom guonçalo de souza e a az esquerda a mem moniz filho de dom eguas moniz ja finado e a direita a seu irmao martim moniz,0
1435,com ele em um lugar que chamam val de vez entre monçao e ponte de lima e ali esperaram elrei de castela o qual tanto que chegou logo uns e os outros ordenaram suas asas para a batalha e de ambas as partes foi grande peleja e tao grande vencimento por parte do principe dom affonso que elrey de castela foi ferido na perna esquerda de duas lançadas e saiu se da batalha em um cavalo fugindo acolhendo se o mais que pode a toledo por haver medo de com este desbarato perder a cidade e prenderam lhe na batalha sete condes e outros muitos cavaleiros e mataram lhe os portugueses muita gente,0
1517,o pescoço delgado e comprido e de temeroso e de maos costumes o grosso um pouco e um pouco comprido e de animoso e contumaz e o que mostra tiradas as guellas e pessimo nem o gordo e bom mas pequeno e de muito ousado o inclinado a mao dereita e de prudente o a parte esquerda polo contrairo,0
1517,e tambem dalgumas outras maneiras variavao as feguras deitadas e ate quando faziao algum anjo ou vitoria coas asas no ar erguidas tambem tinha a perna dereita diante ou esquerda e sobre ella caia a fegura enclinada com muita graça nos braços,0
1517,o cavallo sempre o pintavam com sprito e meo rinchando porque aquelle e o melhor do cavallo a cabeça um pouco erguida que se enclinasse para uma banda com as orelhas prontas e as comas alteradas e quando andava se erguia a mao dereita abaixava o pe dereito quando abaixava a mao esquerda erguia o pe daquella banda porque assi trocado se pode ter firme e andar que doutra maneira cahiria,0
1528,character pilarte ora vaite per aqui abaixo no fundo da rua em virando pera a mao esquerda esta ũa travessa estreita,1
1542,disto se deo rebate a dom chistovao que vendose perdido quis antes morrer as maos de inimigos que ficar cativo e assim voltou pera aquela parte com um furor tao grande que lhes fez esquecer as feridas que tinha e tomando a espada com a mao esquerda disse aos seus que quem o quizesse seguir o fizesse porque ele ia morrer no meio dos inimigos,0
1579,que nem ha de estar tao junto das letras que pareça sofrego delas nem no meio do papel como quem escolheu melhor lugar nem tao apartado que fique ausente das regras nem tanto na ponta do fim que pareça que se amuou aquele canto mas com um meio ordinario como e assinarse um pouco abaixo das regras mais inclinado a parte dereita que a esquerda que e uma certa modestia e humildade de quem escreve,0
