ano,sentenca,cluster
1435,de hum louvo o zelo em fazer publicar as chronicas dos noſſos reys que tantos tempos ha que ſe conſervao ma nuſcritas e do outro nao poſſo deixar de lhe nao accuſar a neglicencia com que ſe houve na compoſiçao deſta chronica porque parece que nao fez exame algum para o que havia de eſcrever,0
1440,e ſendo quem os ler juis recto ficara ao arbitrio da ſua prudente critica o exame da verdade delle ſendo ſempre muito util que ſe imprimirao por ſer a liçao das hiſtorias eſtudo da mayor utilidade porque nellas ſe achao todos os principios da verdade da prudencia e da ſabedoria,0
1440,couza ſignificada ha elrey elle movido mais de cobia que por guardar verdade nem fa zer juſtia requereo aho papa e ho inclinou malicioſamente que des fizeſe eſta ordem cheya de mui tos erros e offenſas que lhe apon tou ha que o papa ſeguundo ſe diz pelo afrouxar da promeſa do papa bonifacio com que ho apertava logo ſatisfez porque ſem fazer muito exame nem ver has certas provas que ſe requeriam acerca do que contra hos templarios ſe di zia nem ſe guardar alguua ordem de direyto juizo foram em frana todos prezos e ſeus beens tomados e elrey hos apropriou logo aa ſua coroa e aſi ho notificou logo aho papa e mandou por ſuas bullas que aſi ho fizeſem todolos outros rex e principes chriſtaos,0
1502,encomendovos que faleis com pedro afonso e nestas que agora vao façais todo exame a que o tempo der lugar e depois pratiques a maneira que se deve ter daqui avante para se fazerem estas cartas como convem para com vossa informaçao depois que em boa hora vierdes o mandar ordenar,0
1556,no dar das ordens encomendo a vossa reverencia muito o rigor que la ficou assentado assi no exame do saber como da vida e antes acrecente que afroxe e bastara ao menos dar tres vezes ordens no ano e ainda estas tres vezes com parecer daquelas pessoas etc,0
1569,fazemos saber que frey bernardo de brito chronista geral religioso de nossa congregaçao nos pedio que por quanto elle allegava algumas vezes na monarchia lusitana que ora se imprime livros exquisitos antigos escriptos de mao que por ventura nunca forao impressos nem seus originaes andarao tao vulgares que se tire a duvida de quem os ouvir allegar mandasse fazer exame nos tais livros por pessoas que entendessem a fe auctoridade que a cada hum se devia cotejassem as auctoridades tiradas dos tais se condiziao na dita monarquia com a verdade dos originais de tudo lhe mandasse dar hum estromento fe publica pera que furtando ou perdendose qualquer dos ditos livros constasse de sua verdade credito nao pudesse ninguem calumniar a certeza de sua historia,0
1569,e nos vendo ser sua petiçao justa mandamos fazer o tal exame assi por nossa pessoa como por outras pera isso deputadas achamos os livros seguintes que ao presente estavao na livraria do nosso mosteiro de alcobaça,0
1584,porem de memorias mais certas sabemos que se achou ele na batalha e viveu alguns anos adiante como ainda mostraremos pelo que nao admitimos o que dizem os nossos nem deixamos de notar o pouco exame e o descuido com que escreveram,0
1584,grande exame e distinçao se deve fazer nesta materia,1
1584,nem sei que motivo podia ter o primeiro que isto disse que dos outros ja se sabe que o seguiram sem mais exame mas de escrituras autenticas consta viveu este fidalgo ate o tempo presente em que vai correndo a historia,0
