ano,sentenca,cluster
1380,e com e ſta ſouteza partio eſtonce de sa tarem ſem crendo nenhum con trairo que lhe auir podeſſe deshi a fortuna lho fazia mais larfo en tender que tinha ordenado de o cedo offerecer a morte chegou a lisboa aonde ja a chou muitos que vinhao ao ſay mento,0
1380,end licences prologue author gomez eannes dazurara em o tẽpoq ja voſſa ma geſtade tam felicemente em conſeruaçao de ſeu di reito recobrou os reynos que a violencia injuſta mente lhe tinha vſurpados reſtituindo os a ſua li nha defendendo os conſeruado os a imitaçao do nome valor prudencia magnanidade fortuna de tam glorioſo principe me deliberey mouido do ze lo da patria do ſeruiço de voſſa mageſtade a dar a impreſſao eſta chronica do sereniſsimo rey d ioam o primeiro de quem voſſa mageſtade glo rioſamente deſcende nao ſo por ſer pay do senhor dom affonſo primeiro duque da sereniſſima caſa de bragança que caſou com a excellentiſsima se nhora dona briatiz filha vnica,0
1380,f alando algũs da morte do con de iohao fernan dez onde ſe come çao os feitos do eſtre allegao hum dito de que nos nao praz dizendo que fortuna muitas ve zes por longo tẽpo eſcuſa amor a alguns homens por lhe depois azar mais deshonrada fim aſſi como fez a eſte conde iohao fer nandez que muitas vezes lhe deſuiou a morte que alguns ti uerao cuidado de lhe dar porque depois o leixaſſe nas maos do meſtre para o matar mais deſho radamẽte,0
1435,affonſo henriques de ſanta e eterna memoria famoſo con quiſtador e primeiro rey de portugal a qual quer dar a eſtam pa miguel lopes ferreira digniſſimo do titulo de vivicador das glo rias de portugal pois que zeloſo da fama regia por meyo do prelo in tenta reſuſcitar as memorias daquelle ſeculo dourado em que portu gal no berço da ſua infancia com mayor fortuna que a do valeroſo alcides no da ſua mininiſſe ſoube deſpedaçar innumeraveis hydras africanas que em varios recontros capitaneadas por dezouto reys e hum emperador de marrocos almiramolim em formidoloſos exer citos intentarao cortar os venturoſos progreſſos com que hia ſacudin do o torpe jugo do perfido mauritano,0
1440,nom diga hos erros e deſobediencias e deſagrade cimentos que contra my teem come tidos e cada dia comete e porm ha door que tenho em minha alma e ha ſanha que encende ho meu coraam ſa tamanhas que me foram meu proprio fizo pera que has nom poſa encobrir e dellas me fazem que vos diga alguuas aho menos pera ſaber des minha fortuna e minha deſcul pa e ſobreſo procurardes e dardes ha eſto alguu remedio e concelho pois eu jaa nom ſey nem poſo,0
1465,character fernando porque a fortuna quis,1
1465,fala vejamos se nesta feira que mercurio aqui faz acharei a vender paz que me livre da canseira em que a fortuna me traz,1
1465,character juliana a fortuna toda via nos tem que farte agravadas andemos nossas jornadas cheguemos a romaria e seremos descansadas,0
1481,vim aqui com sos as letras de que me a fortuna nao pode roubar,1
1481,e polo contrario meu criado amente que lhe era la posto o cutelo na garganta esperando so pelo pregao ve a fortuna melhor casamenteira muito que dorio e negocealho tudo a pedir de boca,0
