ano,sentenca,cluster
1380,aſſi q poſtoqella tiueſſe ao meſtre hũ tao mortal odiopor a morte do conde ioham fer nandez em guiſa que de nenhũ mal lhe podia entao vir tao grao parte que a ella fora abaſtada vingança pero com tudo iſto el la pode tanto com ſeu grande coraçam a muy poucos ligei ro de fazer que nenhuns finaes de malquerença moſtraua ao meſtre de fora como ſe lhe nũ qua houueſſe feito nenhum,1
1380,p assado aquel le gram arroido co que as gentes da ci dade chegarao ao paço da rainha que o biſpo foy morto da guiſa que ouuiſtes gerouſe antre elles hũa oniao de mortal odio contra qua esquer que ſua entençao nam ti nhao tanto que nenhum lu gar era ſeguro a aquelles que nao ſeguiao ſua opiniao,1
1380,pouco corre quem muito deſeja aſſi como onde ha muito grade amor ſegui rao muideſuairados cuidados por cedo peralcaçar afim de ſeu deſe joaſſi o que tem rancor de al gũas peſſoas nao ceſſa penſar deſ uayrados caminhos com que a pague azinha ſua mortal ſanha e por tanto a rainha dona lia nos por vontade femenina que geralmente he muito deſejador de vingança deshi vzanso de hũ grandioſo coraçaode que a natu reza lhe nao fora eſcaſſa por eſ tonce nenhũa couſa a ſeu enten dimento era mais repreſentada que cuidar a miude todolos mo dosporque do meſtre podeſſe a uer toda comprida emmenda ſendo certa como ſe,1
1380,s endo no pouo cuidado mortal por ſua ſegurança defenſao da terra da guiſaque tendes ouuido nao embargando que ſe o meſtre eſcuzaſſe por ſuas rezo ens a nao poder fiquar em o rey no as gentes porem nao leyxa uao de o ſeguir pedindolho ca da dia por merce que os nao qui zeſſe deſamparar,1
1380,grande acrecentamento que lhe procuraua por qualquer gui ſa que podia bem certificou em ſeu penſamento ſer verdade o q as gentes preſumiao poſto que da pubrica voz fama que a raynha hauia com o conde el le nenhũa parte ſoubeſſe nao era algum ouzado de lhe tal couſa dizer poſtoque ſe de ſua deſ honra com bom deſejodoeſe re ceando pena por galardam mortal odio por amizadem como jaa a algũs aconteceo por taes nouas recontarem mormente aos reys grandes senhores,1
1465,amanhadelhe o atafal nadar patas patarrinhas corregedelhe o enxoval onças de raiva mortal nas badarrinhas,1
1465,minha alma com tal perigo deseja ser de animal porque de mi lhe vem mal meu bem pesalhe comigo e eu querolhe mal mortal,0
1465,pai pai que senhor e aquele que vem ca quasi mortal,0
1481,chamolhe eu mortal,0
1496,e quem algum nome destes levar ao plurar que a orelha possa sofrer nao encorrera em pecado mortal dado que em rigor de boa linguagem sao mais proprios do singular que do plurar,0
1540,por serem diferentes em leis nem em costumes nem por cobiça alguma de interesse mas porque antigamente se algum acertava de matar outro como ainda agora algumas vezes acontece como eles sejam vingativos e vivam como digo absolutamente sem terem superior algum a quem obedeçam nem temam os parentes do morto se conjuravam contra o matador e sua geraçao e se perseguiam com tao mortal odio uns a outros que daqui veio dividiremse em diversos bandos e ficarem inimigos da maneira que agora estao,0
1540,estes tapuias nao comem a carne de nenhuns contrarios antes sao inimigos capitais daqueles que a costumam comer e os perseguem com mortal odio,0
1556,assi tenho por certo que como nao ha ninguem que enquanto vivemos nesta carne mortal seja de todo livre das paixoes e movimentos dela por mais enfreados e sojeitos que os traga a rezao queria o arcebispo vencer e pisar e mortificar este gosto natural quando lançava de si o vestido novo visto como lhe nao faltava possibilidade pera fazer no mesmo tempo esmola mais crecida ficandose com a roupa que havia misterem prova deste discurso faz o que,0
1569,nao soube adam negar a quem tanto queria a primeira petiçao e comendo da mortal fruita logo sintio em si effeitos de sua pouca obediencia,0
1569,quem sua gentileza trazia muy pensativa mostrou tao generoso animo que nunca branduras nem ameaças puderao mover sua constancia em premio da qual lhe teceo andia huma tea com seu marido preto que so a fim de o matar o mandou a seu sogro elrey de lycia com huma carta em que lhe pedia buscasse occasiao com que tirar da vida a hum imigo mortal de sua honra,0
1583,com os exemplos e razoes ja alegadas tem lugar a alegoria que o poeta nelas entendeu como imitando virgilio no fim do sexto da eneida explicou nestas oitavas que introduz a tetis declarando a esfera a dom vasco da gama onde falando do ceu impirio diz assi aqui so verdadeiros gloriosos divos estao porque eu saturno e jano jupiter juno somos fabulosos fingidos do mortal e cego engano,1
1584,outros querem que sendo ferido na entrada desta porta de um golpe mortal foi milagrosamente seguindo e ferindo os mouros com a cabeça meia cortada ate cair morto em a outra parte do castelo para onde fica a igreja do apostolo santiago,0
