ano,sentenca,cluster
1380,de giolhos ante el la começaua de lhe falar paſſamente em lhe ſendo aſſi falando bateram a porta o porteiro como entrou o meſtre quiz cerrar a porta por nao entrarem nenhum dos ſeus diſſe que o pergunta ria a raynha nao por delles auer nenhuma ſoſpeita mas porque a raynha eſtaua com do ſemelhante tempo a eſte por reſpeito deuido a ſua peſſoa real eſtado nao era coſtu me de nenhum entrar ſaluo eſ ſes ſenhores ſem lhe primeiro fazer ſaber,0
1380,ti nha de hũa parte hũa cruz em arpa em meo della hum eſcu do com ſinco pontos de quinas da outra parte bramida com ſua cara eſta gente de armas traziao graues com pendoẽs pe quenos enſimaa que agora cha maolanças darmas aos mo cepta ſegundo ao diante ouui ma dos chibaoschamauao poſta graue nos chamamos ago ra as bramidas barcinetes de ca real aos moços pagos da quelles nomesdas armas leuarao nome aquellas moedasca ogra ue tinha hũa lança no cunho hum pendao piqueno emſima da outra parte a aſpa quinas e correndo aſſi eſtas moedas jũ tamente valia a dobra cruzada ſinco liura a nomiſqua qua tro liuras mea o franco duro de frança quatro liuras o marco da prata de ley de onze dinheiros vinte,0
1380,entam caualgou affoſoeanes em riba de hum grande fermoſo caualo que pera eſto ja alli eſtaua preſtes tra zendoa muy honradamente por toda a cidade acompanhada de muita gẽteaſſi clerigoscomo leigos bradando todos a hũa voz real real pello mestre dauiz regedor defenſons dos rey nos de portugal,0
1380,i a tendes ouuido da ida do infante dom ioham pera caſtella como por azo da infanta do na beatriz ſua irmaam molher do conde dom sancho fora en caminhado de ficar com elrey al ua de tormes real de mança nales logares outros porem nao viuia tao abaſtadamente co mo compria a ſeu eſtado nao andauao com elle mais que atee dezou dozeque o acompanha uao de cotemas outros fidalgos que o amauao muito por quem elle eralhe faziao grande honra gazalhado acompanhandoo em ſua caſa pera o paço,0
1380,eytaua hy iohao nunes de toledo outros de ca uallo co ſenhas laças dardos bracos nas maos alfagemes ẽ ellaspera irẽ em ſua copanha ca ualeirado o alferez pozeraolhe a badeira na fũda q leuaua na ſel la ioane mẽdes deu grades vo zes q todos diſſeſſem real real por elrey d iohao de castella portugal começado a corre to dos apoz a badeira qhia diante,0
1380,real real por el rey dioao de caſtella de portugal,0
1380,quem voſſa mageſtade glo rioſamente deſcende nao ſo por ſer pay do senhor dom affonſo primeiro duque da sereniſſima caſa de bragança que caſou com a excellentiſsima se nhora dona briatiz filha vnica do grande condeſta ble do nuno aluarez pereira progenitores de voſ ſa mageſtade mas ainda pela deſcendencia delrey dom duarte de quem voſſa mageſtade traz a ſuc ceſſao direita da caſa real herança deſtes rey nos de ſuas conquiſtas eſtados senhorios,0
1380,cuja real peſſoa noſſo senhor guarde c antonio aluarez end prologue prologue author title a ioam rodriqvez de sâ e meneses conde de penaguiao camareiro morde sua mageſtade c a ndaram sempre em competencia letras armas mas em voβa se nhoria ſe acham tam unidas que ſe pode bem di zer tal vez armado apolo tal vez graduado mar te pois deixando no anno paβado tam,0
1435,end index f i m preface author title t r a s l a d o d o j u r a m e n t o d e lr e y d a f f o n s o a n r i q u e s title o qual ſe conſerva no archivo do real moſteiro de alcobaça,0
1435,elle me manda di zervos que quando na ſeguinte noite ouvirdes a capainha de minha er mida na qual vivo ha ſeſſenta e ſeis annos guardado no meyo dos infieis com o favor do muy altoſayais fora do real ſem nenhuns criados por que vos quer moſtrar ſua grande piedade,2
1435,ditas eſtas palavras dezapareceu e eu cheyo de confiança e ſuavidade me torney para o real,2
1435,approvaçao do reverendiſſimo p meſtre d jose barboſa clerigo re gular da divina providencia chroniſta da sereniſſima caſa de bragança e academico do numero da real academia da hiſtoria portugueza etc,0
1435,do tronco e linhage real de que decendem hos reys de portugual e donde ſe chamou portugual pag capiii,0
1435,do tronco e linhagem real de que descendem os reis de portugal e de onde se chamou portugal,0
1435,mas ſem que ſtao deve o ſeu glorioſo augmento a sereniſſima auguſtiſſi ma feliciſſima e ſempre magnifica mageſtade do senhor rey d joao o v no nome que ſomando na linha de todas ſuas acçoes ſempre em tu do heroicas em tudo excellentes e magnanimas em tudo o numero admiravel de todas as de ſeus glorioſiſſimos progenitores ſe dignou de il luſtrallas com a real preheminencia de engrandecer a ſua corte com huma sancta se patriarcal realçando ſeus luſtres com o feliz e pre meditado a certo de inſtituir por ſeu primeiro patriarca ao meritiſſimo illuſtriſſimoe reverendiſſimo senhor d thomas de almeida da no biliſſima caſa de avintes biſpo que foy de lamego e porto e para que finalmente na ſua corte pela deſtas igrejas occidental e oriental conſtaſſe,0
1435,fielmente copiada do seu original que ſe conſerva no archivo real da torre do tombo,1
1435,aceite v mageſtade com a ſua real e coſtu mada benignidade eſte meu pequeno obſequio para que deſta ſorte animado poſſa continuar com a impreſſao das outras chronicas dos sereniſſimos predeceſſores de v mageſtade,2
