ano,sentenca,cluster
1465,deitamno fora da sala,0
1517,rafael de orbino pintou nesta cidade a segunda obra de tal arte que nao havendo a primeira forao ella que e uma sala e duas camaras e uma varanda a fresco nos paços do mesmo sao pedro cousa manifica e de muitas historias elegantes como descriçao mui decora e e singular historia a de apollo tangendo a sua harpa entre as nove musas no parnaso,0
1517,ora em genoa sta a casa do princepe doria pintada de mestre perino mui de siso principalmente a tormenta das naos de eneas a olio e a ferocidade de neptuno e dos seus cavallos marinhos e assi em outra sala sta a fresco a guerra que jupiter fez com os gigantes em flegra derribandoos com os coriscos por terra e quasi toda a cidade e pintada de dentro e de fora,0
1597,posse um retrato de elrei nosso senhor numa sala do palacio do embaixador de frança despovoavase roma para o ver e todos os pintores faziam infinitas copias que se compravam para adornar as casas em roma e para mandar a outras partes,0
1597,foram aposentados num quarto real donde estiveram tres dias e logo tiveram entrada no paço e depois de beijarem a mao a elrei propuseram a embaixada em publico na mesma sala que serve das audiencias,0
1608,cinco conferencias houve a semana passada duas na sala geral onde foi o secretario para receber e se lhe praticarem as propostas e tres nesta casa onde o senhor embaixador assim na cama como estava e algumas vezes com a mesma sezao se quis atrever a assistir a elas por nao perder tempo e evitar os inconvenientes que lhe pode trazer consigo,0
1672,aprovoua e confirmoua elrei o que feito o duque e o filho voltaram de lisboa para vila viçosa a preparar as galas para o recebimento mas tendo ja determinado o dia para celebrarem as bodas suspenderam tudo porque faleceu o duque dom theodosio aos de setembro de passados dois meses que deram ao luto tornou a lisboa o ja duque dom joao e na sala grande de palacio aos de dezembro do mesmo ano em que a igreja celebra o sagrado misterio da conceiçao imaculada recebeu de presente a senhora dona catharina assistindo elrei a rainha o cardeal dom henrique a infanta dona maria a infanta dona isabel mae da noiva os titulos e grandes da corte e passados cinco dias se recolheram os duques a sua corte de,0
1672,ser recolhido no sacrario e para ter mais ocasioes de o acompanhar nao queria residir nos paços da ribeira por ser distante de freguesias quando ouvia nomear o sagrado nome de jesus descobria e abaixava a cabeça em todo o lugar igual veneraçao tinha a santa cruz e as imagens dos santos estando escrevendo e levantando a caso a cabeça viu estar descoberta na sala uma imagem do senhor crucificado em que nao advertira ate ali levantouse logo em pe e descobriuse dizendo estas palavras muito mal estava e chamando pelo camerista disse corram aquelas cortinas porque nao me posso sentar e em quanto nao cubriram a divina imagem esteve em pe e descoberto quando em évora assistia nas aulas a conclusoes nao queria cobrirse em reverencia da santa,0
1672,residia elrei no palacio dos estados o mesmo aonde vemos hoje o tribunal do santo oficio encostada a ele fabricaram uma grande sala de madeira ricamente paramentada na qual se fizesse a entrega dos selos e sendo as duas horas da tarde naquele dia desceu elrei do seu quarto acompanhado do regente dos titulos do senado dos tribunais e das mais pessoas que costumam ser presentes a estas cerimonias e entrando na sala tomou elrei a sua cadeira e o regimento outra e feito silencio orou o,0
1672,celebra a festa do bemaventurado martir sao sebastiao em que elrei nosso senhor fez quatorze anos cumpridos na cidade de lisboa nos paços do muito alto e muito poderoso rei dom sebastiao rei de portugal e dos algarves de aquem e de alem mar em áfrica senhor de guine e da conquista navegaçao comercio de etiopia arabia persia e da índia nosso senhor na sala de madeira que o dito senhor rei para este auto mandou fazer em presença de sua alteza estando assentado em sua cadeira real sendo presente a muito alta e muito poderosa senhora a rainha dona catharina nossa senhora avo do dito senhor rei o ilustrissimo e muito excelente principe o senhor cardeal infante dom henrique tio do dito senhor rei e regedor e governador,0
1672,determinado pela rainha que fosse aclamado rei o neto nesse dia pela uma hora da tarde concorreram ao paço da ribeira as pessoas que costumam ser presentes em atos semelhantes todos de gala estava ornada a primeira casa a que chamam hoje sala dos todescos e na mesma casa um trono ou solio levantado quatro degraus e nele a cadeira real debaixo de dossel e fora do dossel outra e descoberta para o cardeal dom henrique pela dignidade cardinalicia a esta sala dadas as duas desceu o principe nos braços de dom lopo de almeida pajem da companhia da rainha vestia o menino cetim branco botoes de,0
1673,neste fogo houve um caso digno de memoria porque mandando a senhora condessa de soure lançar entre as traves e chamine um breve da marca que lhe tinha dado frei francisco o incendio se moderou prontamente e dizendose ao padre que a senhora condessa sentira muito perder o seu breve ele afirmou que nao estava perdido e tendose ja botado fora da sala as telhas estuque e traves apareceu o breve que nem tinha a defensa da seda ou veludo mas so um papel que ficou molhado e chamuscado e entre uma inundaçao de agua e outra de fogo se conservou intacto,0
1673,padecem ha tempo continuas repetiçoes a senhora condessa de atouguia dona mariana e a de soure o conego joao de melo o deao da patriarcal e o marques de tavora porem este e so quando esta perto do mar e por esta causa veio para casa do conde de soure donde pegou o fogo acabando de jantar alguns fidalgos e ardeu uma parte da sala livrandose o mais com dificuldade por nao haver um pedreiro nem querer a mestrança acudir sem ordem durando a devassa do chamado motim do carpinteiros,0
1673,elrei veio de mafra e de la mandou prender bento fernandes que esta na sala livre culpado em comprar bois na beira dos que vinham para mafra dandoos por descarregados aos donos para depois os vender por maiores preços e tambem se vao prendendo outras muitas pessoas pela mesma causa,0
1701,sobe o bruto por qualquer escada na sala ajoelha aos circunstantes perguntandolhe o estrangeiro quantos vintens tem reis responde com patadas,0
1701,ecvas depois largo tempo foi tirado do segredo para a sala livre onde esteve ate de agosto deste presente ano de dia em que faleceu de um acidente de apoplexia,0
1701,na segundafeira se celebrou o ato particular da fe na sala do santo oficio desta cidade e nele sairam quatro religiosos um clerigo e um secular irlandes,0
1705,character filena se soubera que estava aqui nao passara por esta sala,0
1705,depois de entrarem havera mutaçao de sala e irao saindo todas as figuras,0
1705,character esopo é mui boa sala vaga,0
1705,mutaçao de sala e sairao periandro e ênio,0
1705,mutaçao de sala onde estarao xanto ênio e periandro e havera como uma grande cadeira no fim,0
1705,i sala de panos de ras bofetes e cadeiras,0
1705,sala de colunas e depois jardim funebre,0
1705,sala de colunatas mesa e cadeiras,0
1705,sala de azulejos,0
1705,v outra sala e mesa mal composta,0
1705,descobrese uma sala composta com bofetes e cadeiras e estara assentado dom quixote e junto a ele em pe a ama e sobrinha e um barbeiro fazendolhe a barba,0
1705,mutaçao de sala,1
1705,x mutaçao de sala,0
1705,mutaçao de sala,1
1705,mutaçao de sala onde estara uma mesa com cadeiras,0
1705,mutaçao de sala de azulejos,0
1714,signed amigo do coraçao costa a porta da sala deve ser levadiça isto e nao com dobradiças pregadas mas porta das que jogam em uns engonços e se tiram levantandoas para cima para sobreporem por toda a parte bem justas na parede da parte de dentro e se estiver defronte de corredor de que se deve jugir e necessario fazer uma sobreporta da parte de fora tambem sobreposta a porta deve assentar sobre,0
1714,o papel esta acabado mas quero ver se lhe posso ensinar um remedio para se defender do maior rigor do frio que ai padecemos por nosso gosto sala pequena e nao na entrada defronte da porta escada etc janelas de peitoril ou uma ao menos e as outras que nunca abram em todas vidraças dobradas bem ajustadas nos caixilhos uma onde nos as pomos e outra a face de fora segurada com os seus ferros na de dentro e a de fora bem betumada na parece ou ombreira ao redor por dentro,0
1714,de vossa merce poder assistir aqui a algum concerto numa casa limpa para ver um homem de sessenta anos convidado porse esquecido ao espelho a mirarse de todos os lados com a seu sorrisinho de gosto inda que as vezes veja um bom bocado de corcova e dali a pouco ser o primeiro que grite bravissimo a uma filha que esta tocando cravo na sala continuamente falam hoje por uma boca diferente da com que falavam ontem e se lhe acusam a mentira nao se cançam muito em negala e ate as vezes dizem que nao se ha de fazer nenhum fundamento nas palavras que passam como o vento e quando me dizem agora uma coisa que eu lhe torno a mal negam a pe junto que a disseram,0
1724,e uns homens que trajaram estas galas e fizeram tao respeitavel figura nao devem concorrer mais em uma simples sala a que chamamos cabana nao devem contentarse de que os ouça com atençao e louve sinceramente quem os conhece,0
1724,presidir numa grande sala magnificamente decorada rodeado de ouvintes ilustres sabios e virtuosos que talvez conversavam nos sucessos da campanha enquanto nos falavamos como se nos ouvissem ou estavam com o lapis notando palavras que lhe pareceram novas porque nao leram ferreira nem as toparam nos sermoes do padre vieira cantarmos nossos versos ao som de uma orquestra numerosa e talvez impropria isto e que julgamos honra,0
1750,ninguem ate agora se lembrou de estabelecer principios para conservar limpa elegante e decente uma camara uma sala de companhia a casa da mesa por isso se veem palacios em que o serviço so devia ser feito por cavalos de posta e poupar criados esfalfados que negligem comment sic e aumentam a sordidez e desordem,0
1750,vese as vezes sobre um canape sordido um individuo preguiçoso que ali forma a sua sala de jantar o seu toucador e com nojo e horror dos assistentes ate enche todas as funçoes da vida,0
1757,se vier algum mandeo entrar e esperar naquela sala e um a um e que se ha de examinar,0
1757,gelázio pois entrem para aquela sala e cada um vira ler a sua obra que nao e justo que saibam uns dos pensamentos dos outros,0
1757,title a arte de tourear ou o filho cavaleiro personagens rodrigo de ranginelli lélio seu filho olaia irma de lelio inês irma de lelio salvagem criado dos ditos lutéria criada roberto empresario um mestre sapateiro um mestre de obras forçados povo e aguadeiros cena sala composta com cravo e cadeiras,0
1757,title a junta dos cabeleireiros personagens dona vária viuva dona léria filha dona chuxadeira filha alfarroba criada melcaqueta pai de dona varia malandrino parente malacaz cabeleireiro arturo aprendiz cabeleireiro bisborrio cabeleireiro carambola cabeleireiro sala com tres toucadores junto dos quais estarao sentadas dona vária dona léria e dona chuxadeira,0
1757,title a menina discreta da fabrica nova personagens papírio pai de corisca e de porcia corisca pórcia simplício convidado atanázio convidado alberto convidados dona fúfia amiga de corisca dona lesma amiga de corisca matildes criada de papirio esquipático criado do dito um enfermeiro galegos com duas cadeirinhas sala de papírio este falando,0
1799,act title acto terceiro scene description o theatro representa a sala de dona antonia,0
1799,act title acto segundo scene description sala em casa de pantaleao,0
1799,em virtude deste passo o dito excelentissimo senhor se apresentou na sala superior da junta a pagar a visita falando nela nos termos que contem a nota que entregou escrita de seu proprio punho e que traduzida copiamos,0
1799,play author ag title falar verdade a mentir title comedia representada a primeira vez em lisboa no theatro de thalia pela sociedade particular do mesmo nome em sete dabril de mdcccxlv scene description pessoas braz ferreira amalia duarte guedes o general lemos joaquina josé felix um lacaio um criado sem libré logar da scena lisboa act title acto unico scene description sala de visitas elegante,0
1799,deus guarde a vossa excelencia sala da commissao no conservatorio real de lisboa em vinte e um de junho de mil oitocentos e trinta e um,0
1799,deus guarde a vossa excelencia sala da commissao no conservatorio real de lisboa em nove de junho de mil oitocentos e quarenta e um ilustrissimo e excelentissimo senhor gentil homem da camara em serviço de sua magestade signed joao baptista de almeida garrett comment,0
1799,ilustrissimo e excelentissimo senhor tenho a honra de participar a vossa excelencia que na quartafeira quinze do corrente mes pela uma hora da tarde se ha de reunir em uma sala da secretaria destado dos negocios da marinha e utramar a comissao nomeada por officio de quatorze do mes de fevereiro ultimo para propor as bases para a creaçao da companhia denominada luso aficana oriental afim de que vossa excelencia se sirva prevenir as pessoas que por parte da ditta companhia devem fazer parte da comissao para que ai se achem a hora indicada,0
1799,tenho a honra de ser com muita estima de vossa senhoria muito atento venerador e criado signed joao baptista dalmeida garrett ilustrissimo senhor manoel joaquim jorge sala da comissao trinta de junho de mil oitocentos e trinta e seis comment lxvii,0
1799,deos guarde a vossa excelencia sala da comissao em onze de janeiro de mil oitocentos e trinta e quatro,0
