ano,sentenca,cluster
2015,carambola hortela alecrim e manjericao eram alguns dos preferidos conta o sobrinho fernando,0
2015,boca leve mas fresca com frutosidade persistente região vale do elqui quanto r onde wine brasil winebrasilcombr little quino sauvignon blanc maracuja maduro carambola e pedras quentes,0
2015,leite desodorante e sabonete liquido flor de carambola,0
2015,carambola madura outra musa do designer a atriz isadora ribeiro tambem foi elemento mais do que central em aberturas como a que fez para o fantastico em aquela em que saia da agua com uma especie de raio metalico na testa e para a novela tieta de em que surgia toda tortuosa como uma carambola madura,0
2015,em vieques a ilha ainda selvagem que ja foi em parte um campo de tiro da marinha dos estados unidos os moradores simplesmente aparecem na cozinha do el blok com produtos carambola manga mamao que colheram a caminho da cidade,0
2015,de são paulo o salao de tijolinhos aparentes e acolhedor mas em dias quentes vale sentar no quintal do restaurante sob o pe de carambola,0
2015,cortada enviesada a carambola tem forma de estrela e por isso a conhecemos como star fruit,0
2016,tem kiwi selvagem framboesa silvestre hibisco com limao e salada de frutas como jabuticaba carambola uva morango kiwi e maça,0
2016,ai quem me dera chupar uma carambola de verdade e ouvir um sabia com certidao de idade,0
2016,como ja afirmei diversas vezes neste espaço a arte precede a realidade note a relaçao que o poeta estabelece entre a carambola e a maça,0
2016,a criança contemporanea que mora na cidade grande e vai pra escola desde cedo precisa de tempo e espaço para ser criança explica a diretora pedagogica josiane pareja da escola atelie carambola,0
2017,e para matar a sede cinco limonadas com limoes siciliano e taiti e frutas como carambola caju e seriguela,0
2017,carambola,1
2018,toque exotico com a combinacao de notas borbulhantes de carambola com o envolvente aroma da madeira cashmere,0
