ano,sentenca,cluster
2015,agora e estilete nao e mais panela,0
2015,o agressor de cerca de anos teria feito referencias aos simbolos religiosos da jovem que vestia um hijab veu que deixa o rosto aparente antes de dar um soco nela e de ferila no torax com um objeto que poderia ser um estilete,1
2015,relatos iniciais apontavam que o professor teria sido ferido no pescoço com uma faca ou estilete mas que nao corria risco de morrer,2
2015,começa com trocas de golpes de jiujitsu depois sobe para um estilete passa por um facao alcança um revolver e termina com espingardas de alto calibre,2
2015,em um jogo nana teve seu couro cabeludo ele raspa o cabelo aberto mais ou menos como um estilete abre um envelope de carta,4
2015,nao se sabe se foi uma faca estilete sacarolha ou canivete,0
2015,segundo o delegado ela teria sido ferida por laura com um estilete,2
2015,o criminoso carregava um rifle de assalto kalashnikov uma pistola automatica muniçoes e um estilete,1
2015,ele portava um fuzil ak uma pistola e um estilete,4
2015,o setor juridico pt de sao paulo decidiu assumir a defesa de emmanuelle thomazielo suspeita de furar o boneco de lula com um estilete nesta sexta no centro de sao paulo,1
2015,uma adolescente de anos foi ferida com um golpe de estilete dentro do parque ibirapuera zona sul na tarde de domingo depois de ter se recusado a beijar um rapaz que a assediava,9
2015,segundo a policia ele tinha as maos sujas de sangue e o estilete escondido no bolso,2
2015,em seguida o agressor sacou o estilete e esfaqueou a adolescente no peito diz,2
2016,por volta das h a criança brincava sob uma arvore quando um rapaz se aproximou acariciou seu rosto e o degolou com um instrumento cortante provavelmente um estilete segundo o delegado rafael giordani que investiga o caso,2
2016,o cheiro de morte envolve o necroterio improvisado enquanto diego casallas usa um estilete para abrir um saco cheio de lama com um corpo dentro,1
2016,tenha nivel tesoura prumo estilete espatula trena e cola especifica para a tarefa alguns modelos dispensam cola,5
2016,entro no aviao com o estilete na mochila,6
2016,uma reporter embarcou com um estilete em sao paulo,9
2016,recolho a lamina afiada do estilete ainda no escuro as h e guardo o objeto junto com canetas num estojo vermelho,6
2016,foi por uma falha nessa inspeçao que na ultima semana a folha conseguiu entrar num aviao que saiu de congonhas com destino ao santos dumont no rio com um estilete de cm,2
2016,vamos esperar para ver o que mais vem pelo desembarque alem de um estilete,6
2016,assim a filha como e nomeada no texto vivida por fani feldman começa seu testemunho em como todos os atos humanos sobre a jornada que a levou a matar o pai a golpes de estilete nos olhos,2
2016,alem da faca usada no crime os policiais recolheram um estilete e uma marreta,8
2016,a licitaçao e para adquirir itens como agenda de telefone apontador estilete cola tesoura grampeador e regua,3
2016,a licitaçao e para adquirir itens como agenda de telefone apontador estilete cola tesoura grampeador e regua,3
2016,na hora em que pensei nisso eu estava deitada na cama e quando olhei para o lado por pura coincidencia havia um estilete em cima da comoda ao lado da janela olhei para aquele estilete e senti uma vontade enorme de ali mesmo acabar com minha vida,7
2016,e fui disposta a pegar aquele estilete e enfiar no meu peito me aproximei peguei ele e sentei na cama estiquei o braço na posiçao certa,4
2016,na proporçao em que eu ia aproximando o estilete cada vez mais perto de mim as lagrimas caiam na mesma medida e quando eu finalmente terminaria com tudo alguem la da porta em desespero gritou,7
2016,diz melissa retirando o estilete da minha mao e me abraçando,6
2017,a tecnica consiste em recortar papeis com a lamina de um estilete fazendo com que algumas partes fiquem vazadas,3
2017,quando a parede da capsula de contrai especulam os cientistas a pressao interna força para fora um estilete o missil,2
2017,ele funciona na verdade como um arpao pois a vitima fica presa ao dinoflagelado por um filamento ligado ao estilete,4
2017,o tubulo deve passar atraves de dois aneis concentricos na nova base do estilete depois atraves do centro do bocal,1
2017,o papel do estilete nao e apenas perfurar a presa mas tambem perfurar primeiramente a capsula a partir de dentro libertando desse modo o tubulo enrolado,1
2017,o estilete e ejetado e perfura a presa um outro microbio,1
2018,e ainda uma dor horrivel no dedo que eu enfiei um estilete,4
2018,voces tem uma ideia tao errada sobre mim eu usaria um estilete enferrujado httpstcohjfqgpmj,0
2018,o material e flexivel e nao risca com o estilete,1
2018,ja que o ocorrido na menina hj foi um ato budista e pacifico com um estilete vamos sair marcando os fascista tudo com um sorrisinho e uns coração na testa httpstcovgsgdyemrh,0
2018,trena e estilete de qualidade baixa,5
2018,somente o estilete e a espatula sao meiofracas mais o restante e bem util,6
2018,produto com cheiro forte e não é confortável e a almofada veio rasgada com estilete,6
2018,risquei minha mesa branca com estilete,6
2018,ninguem quer saber de respeitar a opiniao de ninguem ja vem todos com a faca estilete espada tijolo e etc,0
