ano,sentenca,cluster
1802,arranjamos uma companhia entrando eu meu irmao varias criadas joao evangelista e luiz de os santos um original filho de o nosso copeiro e que a tudo se prestava grande carola grande ator e excelente homem e tratamos logo de ensaiar o manuel mendes doutor sovina e a castanheira fazendo os ensaios a as escondidas de o nosso mestre em os quartos de o segundo andar,4
1802,nao faltei a nenhum indo com o maior gosto em a companhia de o meu mestre,9
1802,estavamos ainda em a companhia de o abade de medroes que nos tinha criado e por quem professavamos grande amizade o nosso mestre o padre allen de quem ja fiz a descriçao conquanto se ressentisse de os seus oitenta e sete anos e fosse rabugento por causa de as liçoes e de as rezas era excelente para todos os divertimentos que mais podiam agradar a rapazes de as nossas idades,9
1802,minha avo instava por um mestre ilustrado que nos pudesse ensinar geografia e matematica miranda ria se a o ouvir falar em geografia respondendo quem e que aprende geografia depois de o imperio e de o congresso de vienna,6
1802,um dia apareceu inesperadamente o nosso tutor acompanhado de o novo mestre que devia substituir o padre allen e era o padre filippe jose de a puga antigo congregado nery conventual em a congregaçao de extremoz e que havia anos tinha largado a roupeta,9
1802,a impressao que sentiram todos de casa a o ver o principiando por nos foi de que iamos ter por mestre um magico de comedia,1
1802,tambem frequentavam muito a nossa casa de pedrouços o meu mestre de desenho luiz thome de miranda e um negociante de a praça de lisboa arantes humilde servo de minha avo que se fazia em quartos para a servir e cujo conhecimento datava de londres,4
1802,estas cenas repetiram se eles desconfiaram como era de razao e eu perdi o meu mestre de desenho e minha avo o seu antigo amigo de londres,9
1802,por a nossa parte nao nos faltava que fazer porque tanto eu como meu irmao recebiamos diferentes comissoes de nossa avo as quais nos davam muito gosto pois saiamos de a vida monotona em que viviamos debaixo de as vistas de o nosso velho mestre,4
1802,minha avo continuava em bemfica empregando o tempo em mal dirigidos e baldados trabalhos para reivindicar os bens de a casa de alorna e em questoes teologicas com o nosso mestre o velho padre allen o qual como ja disse possuia excelentes qualidades mas era de ideias religiosas tao exageradas que tocavam em o fanatismo,6
1802,estas cenas davam lugar a minha avo fazer de os seus costumados epigramas o que muito chocava o meu mestre nao havendo por este motivo perfeito acordo entre ambos,9
1802,simpatisava muito com o nosso mestre e conosco creio que por causa de ele e convidava nos para todas as suas funçoes,4
1802,tanto eu como meu irmao simpatizamos desde logo com o nosso mestre e ele granjeou a estima tanto de minhas tias como de toda a familia,4
1802,faleceu em de agosto de quinto neto de dom joao mascarenhas primeiro marques de fronteira segundo conde de a torre senhor de a vila de fronteira comendador de o rosmaninhal e de outras cinco comendas em a ordem de cristo em a guerra de a restauraçao mestre de campo general de o exercito e provincia de o minho mestre de campo general e general de a cavalaria em a provincia de o alemtejo mestre de campo general junto a a pessoa de elrei em a corte e provincia de estremadura governador de as armas de cascaes e setubal gentilhomem de a camara de elrei dom pedro ii quando principe regente de,4
1802,percebiamos perfeitamente que tanto o nosso mestre como a familia estavam em constante sobressalto abraçando nos muitas vezes joao evangelista e varias criadas a chorar lastimando se de a separaçao e anunciando nos a nossa partida para o brasil,4
