ano,sentenca,cluster
2015,outra página a camisa nega a pratica de ato discriminatorio,0
2015,virar a página para o presidente do grupo folha luiz frias o ajuste fiscal e necessario e inadiavel e nao pode esgotarse em si mesmo,0
2015,página dois o instituto de arquitetos do brasil iabsp divulgou carta de apoio a nadia somekh presidente do conpresp o conselho municipal de preservaçao de patrimonio de sp,0
2015,última página apos anos a livraria haikai esta fechando,0
2015,primeira página desde o palmeiras nao terminava o ano acima do decimo lugar,0
2015,sa virando a página the rewrite quando estreia nesta quinta elenco hugh grant marisa tomei jk simmons e bella heathcote produção eua anos direção marc lawrence,0
2015,página virada alem dos proprios guardacostas da ganhadora do nobel da paz a policia federal teria que escoltala e fazer varreduras para prevenir atos terroristas,0
2015,página virada e a cbl pensou em chamar malala yousafzai para a ediçao de da bienal do livro de sp que tambem organiza,0
2015,primeira página na mesma semana em que lançou a nova programaçao da timbira dino ganhou reforço em outra trincheira da batalha midiatica contra sarney,0
2015,virar a página alem de usar a reforma para recompor a base e evitar dar motivo para o pmdb abandonar o barco lula disse a dilma que o governo nao pode perder tanto tempo na segunda fase do ajuste fiscal,0
2015,o orgao alterou tambem o numero de processos que podem ser acumulados numa vara sem que se crie uma nova para absorvelos de mil para da página pra tela o escritor e colunista da folha joao paulo cuenca recebeu convidados na estreia de seu primeiro filme a morte de jp cuenca no sabado,0
2016,primeira página como o cinema retrata o jornalismo todos os homens do presidente o maior classico do genero esmiuça o caso watergate revelado por bob woodward e carl bernstein que culminou na renuncia do presidente nixon nos bastidores da noticia uma produtora de tv insufla a rivalidade entre dois reporteres que tem estilos opostos um e mais charmoso e o outro mais competente a montanha dos,0
2016,página na parede o poeta augusto de campos com a mulher lygia de campos recebeu convidados na abertura de sua exposiçao rever no sesc pompeia na quarta,0
2016,virar a página para virar a pagina o diretorpresidente afirma que reforçara a governança e o sistema de conformidade da empresa aplicando com rigor as regras e limites impostos por essa area,0
2016,tatiana parente lemos dos santos cuiaba mt primeira página apropriadas as capas da folha que passarao a integrar a nova ediçao do livro primeira pagina,0
2016,primeira página anos de história nas capas mais importantes da folha editora publifolha lançamento na flip quanto r pags,0
2016,página virada o senador jose anibal presidente do itv minimizou a influencia que cunha pode vir a ter caso faça o sucessor,0
2016,próxima página mesmo que o estudo norteamericano tenha tentado controlar todos os fatores que de alguma forma poderiam influenciar na expectativa de vida algumas coisas podem ter escapado,0
2016,nova página entre e o consorcio planeja colocar uma plataforma de grande porte por ano no campo,0
2016,página virada o lançamento da plataforma digital marca uma nova fase do btg,0
2017,página de amigos pedro herz da livraria cultura foi um dos convidados para um evento privado do escritor britanico ken follett em londres,0
2017,vire a página ferramentas usadas na educaçao a distancia ambientes virtuais de aprendizagem ava paginas online que o aluno acessa por meio de uma senha para assistir as aulas realizar atividades e ter acesso a conteudos video e audioconferencia permite o contato entre alunos e professores em tempo real,0
2017,vira a página os parlamentares estariam ja com certa raiva do assunto o que exigiria uma ampla negociaçao para colocala em pauta,0
2018,galera só pra avisar a minha página jogos antigos e nerdices agora tem live todos os dias a noite,0
2018,isso e questao de falta de etica da empresa e de incapacidade de garantir o produto final conforme a foto ou seja apenas uma forma de phishing sobre os panos aonde eles culpam os fornecedores pelas imagens divulgadas em sua página,1
2018,isso e questao de falta de etica da empresa e de incapacidade de garantir o produto final conforme a foto ou seja apenas uma forma de phishing sobre os panos aonde eles culpam os fornecedores pelas imagens divulgadas em sua página,1
