ano,sentenca,cluster
1802,em o sabado gordo retirando se o padre allen para o seminario armou se o teatro em a sala de as batalhas e em o domingo gordo demos a primeira representaçao com grande aplauso de toda a familia,0
1802,a casa e quinta foram cercadas por uma força de a guarda real de a policia e entrando em a sala o respectivo magistrado intimou o senhor de pancas para se considerar preso de estado fazendo o conduzir logo em uma sege com uma forte escolta a a ribeira de as naus onde embarcou para a fragata perola que partiu para os açores,1
1802,o acaso fez com que eu e meu irmao estivessemos em uma sala por mais de uma hora com o duque de wellington lord stuart e o padre allen,1
1802,levou nos em sua companhia e fomos introduzidos em a sala que serve hoje de sala de recepçao a sua majestade a imperatriz em o palacio de as janelas verdes,2
1802,tinham ido a um teatro particular em a rua de sao jose a casa de o morgado de assentis e agradou lhes tanto a companhia e as comedias que convidaram os atores para representarem em a anunciada e toda a sociedade de lisboa para assistir a esta representaçao esqueceu lhes porem o principal que era o arranjo de a sala para teatro e a orquestra dando so por a falta quando as salas estavam cheias de convidados mas nao desistindo de o seu proposito trataram de fazer arranjar tudo e a as quatro horas de a madrugada começou o espetaculo,2
1802,o mais curioso era ver o conde e o dom prior autores de a festa passeando em a sala e dizendo a as senhoras ja viram uma seca como esta,1
1802,minha avo pediu lhe que viesse a horas mais razoaveis e ele prometeu lhe que de ali por diante seria de os primeiros que se apresentariam em a sua sala mas que lhe pedia para o deixar estar ali em aquela noite ate as duas ou tres horas de a madrugada para chegar a oeiras a horas de lhe abrirem a porta de o patio,2
1802,graças a as diligencias de nosso tio fomos encontrados com grande dificuldade e conduzidos por a mao a um canto de a sala onde estavam sentadas minha avo e tias,2
1802,apesar de termos aprendido a dançar eu e meu irmao perdemo nos algumas vezes de os nossos pares tao atarantados andavamos com a bulha de a orchestra sussurro de a sala e encontroes que levavamos,0
1802,o senado de lisboa decidiu dar um grande baile em a sala de o teatro de sao carlos em honra de o exercito portugues em o dia de outubro de aniversario de o principe real,1
1802,a iluminaçao de a sala era de as mais brilhantes que eu tenho visto os corredores estavam armados e muito bem iluminados e abriram se muitas de as frisas fazendo se lhes escadas para a sala a fim de facilitar a circulaçao para os corredores unico recurso para quem queria respirar,1
1802,em o fundo de a sala estavam a uma de as mesas os governadores de o reino e o marechal beresford,0
1802,passamos depois para a sala onde estavam os nossos tios marques de alorna e conde de a ega este risonho aquele melancolico e de mau humor,2
1802,durante o jantar um criado anunciou que o conde de a ega com um oficial frances e outro cavalheiro estavam em a sala e desejavam falar a meu tio este mandou entrar o conde e por ele soube que os outros dois individuos eram um o ajudante de ordens de o general junot e o outro o intendente de a policia policia lagarde que tinham ordens a comunicar lhe,2
1802,em um dia de o mes de dezembro e segundo me recordo de os mais tempestuosos que tenho visto em este pais tendo nos acabado de ouvir missa e estando reunidos em bemfica em a sala chamada de os paineis minhas tias eu e meus irmaos o abade de medroes e os dois frades de sao domingos frei domingos teixeira e frei joao severino conversando naturalmente e como e de crer sobre a triste sorte do pais com a retirada de o monarca e invasao de os franceses chegou joao evangelista a cavalo a grande galope a dizer que as,0
1802,como voluntariamente ninguem a isso se prestava deu se ordem positiva para que as camaras formando auto de camara assinassem e promovessem assinaturas o alto clero assinasse e fizesse assinar os seus subordinados e que os grandes de o reino residentes em a capital se reunissem em dia determinado em a grande sala de o ministerio de a marinha debaixo de a presidencia de meu tio o conde ega,2
1802,subi a escada de a secretaria de a marinha por a mao de o abade e atravessando por entre as alas de os estribeiros e porteiros de cana vestidos com toda a etiqueta entrei em a sala onde estavam reunidos os grandes de o reino e conquanto tivesse abandonado a mao de o abade de esta vez nao chorei,2
1802,vinha sempre acompanhado de os seus generais e ajudantes de campo e tinha o celebre costume de nao tirar o chapeu e o capote senao junto a a sala de baile entregando os a os seus ajudantes de campo como se fosse uma testa coroada,2
1802,a famosa sala de as colunas conhecida por uma de as mais belas de os arredores de a capital ornada de belos espelhos bem iluminada e guarnecida de um grande numero de senhoras portuguesas e francesas em grande toilette e de imensos oficiais de diferentes naçoes com brilhantes uniformes tornavam aqueles bailes esplendidos e magnificos mas eu pouco valor podia dar entao a estas coisas,1
