ano,sentenca,cluster
1836,antonio vasco e amelia la partiram para paris,1
1856,pelo ar de vasco martins se me afigura meu senhor que a resposta de vosso tio nao aprazera,5
1856,visto ser chegado vasco martins com a resposta do infante meu tio mandaio ante mim,5
1856,vejamos dom vasco o que respondeu meu tio as minhas ordens,5
1856,vos vos nos podeis salvar vasco berredo,5
1856,senhor o protegido do regente o seu embaixador em roma o seu secretario particular vasco berredo,5
1856,e vos o do porto dom vasco,9
1856,foram seus interpretes brazao dom pedro o regente augusto rosa conde davranches joao rosa conde de barcelos depois duque de bragança alves dom affonso v ferreira da silva vasco berredo a antunes arcebispo de lisboa a santos conde de ourem oliveira vasco martins da silveira pinto alvaro de castro bayard bispo de évora chaby frei vasco da alagoa lopes luiz gomes da gran oliveira mestre lopo pinto mestre diogo cabral luiz dazevedo bayard joao vogado silva o alcaide de lisboa lucas alvaro affonso a rainha dona leonor daragao c falco dona izabel mulher,2
1856,nem a vasco martins nem a ela,5
1856,frei vasco da alagoa,5
1856,character frei vasco,5
1856,character frei vasco,5
1856,vasco berredo,0
1856,vasco martins da silveira,0
1856,frei vasco da alagoa,5
1856,character frei vasco,5
1856,character frei vasco,5
1856,frei vasco da alagoa,5
1856,character frei vasco,5
1876,a de veneza por maximiliano a de florença denominada laurentiniana por cosme de medicis o antigo a de lisboa a do porto a de coimbra em portugal pais que jamais sera esquecido ja pelo patriotismo de seus filhos ja pelas quilhas de seus navios que sulcando os mares nunca dantes navegados passaram ainda alem da taprobana e ainda mais pelas viagens de bartolomeu dias vasco da gama e pedro álvares cabral que teve a felicidade de encontrar o mais rico pais do globo e que em um futuro nao muito remoto talvez dara leis ao mundo,7
1922,eu o jaime o scassa e os outros auxiliares da transmissao ja estavamos nos preparando para retirar o material e outros elementos indispensaveis a irradiaçao do jogo vasco x america,9
1922,contraste violento do cordial e amigo abraço que recebi do presidente e de inumeros socios categorizados do clube de regatas vasco da gama na noite da peleja flamengo e sao cristovao em sao januario,2
1994,foi a caracteristica de sistematizaçao na vida e na obra de antonio houaiss que me fez considerar atras uma sintese feliz dessa atividade o titulo do depoimento de vasco mariz um processo administrativoideologico,5
1994,um universo tao multifacetado quanto este permite a execuçao de um livro de macroscopia de vida como esse dedicado com muita justiça aos anos de antonio houaiss cuja trajetoria triunfal pode ser resumida nesse titulo feliz do depoimento do diplomata e musicologo vasco mariz um processo administrativoideologico,3
1994,corinthians e vasco sao seus maiores pretendentes mas a portuguesa fixou o passe do jogador em us milhoes o que pode dificultar a negociaçao,2
2001,pesquisa fapesp ediçao março tecnologia vasco da gama quase descobriu o brasil depois de estudar o diario de bordo da expediçao de vasco da gama que descobriu o caminho maritimo para as índias a equipe do inpe conseguiu com seu modelo matematico reconstruir as condiçoes meteorologicas da viagem ao longo da costa oeste africana especialmente as tempestades enfrentadas na transposiçao do cabo da boa esperança ate entao chamado cabo das,2
2001,no trabalhopossiveis dificuldades que acompanharam a viagem de vasco da gama a índia a equipe do inpe explica que a descoberta do caminho das índias pelos navegantes portugueses no seculo foi o resultado de varias expediçoes malsucedidas no oceano atlantico,3
2001,a rota traçada por vasco da gama utilizou a volta ao largo pela primeira vez na historia da navegaçao a vela no atlantico sul,7
2001,a expediçao de vasco da gama foi surpreendida no cabo da boa esperança em novembro de por uma grande tempestade na viagem de ida as índias e quase toda a expediçao naufragou nessa regiao na volta em março de provavelmente devido a intensos ciclones migratorios de oeste,7
2004,marcou gols em campeonatos disputados pelo vasco da gama do rio de janeiro e um pela portuguesa de sao paulo,2
2015,pessoas na decisao do estadual do rio entre vasco e botafogo no maracana no domingo,2
2015,uma sala com materiais cirurgicos pegou fogo na madrugada desta quintafeira no hospital vasco lucena no bairro boa vista no recife,3
2015,veja a tabela com os jogos das h ª rodada gremio x ponte preta ª rodada figueirense x vasco ª rodada palmeiras x goias ª rodada santos x sport ª rodada inter x coritiba ª rodada ponte preta x goias ª rodada cruzeiro x chapecoense ª rodada atleticomg x joinville,2
2015,agora vasco palmeiras santos internacional cruzeiro e atleticomg tambem jogarao as h a ideia de fazer jogos neste horario do domingo partiu do presidente da cbf marco polo del nero que ve como boa opçao para os torcedores,1
2015,da soma de corinthians sao paulo santos flamengo fluminense vasco botafogo cruzeiro atleticomg internacional e gremio,2
2015,no rio o vasco tem vantagem sobre o botafogo como o fortaleza sobre o ceara e o joinville sobre o criciuma,3
2015,e uma festa de luzes que encantou aos mais de mil torcedores que bateram o recorde de publico no brasil desde a final entre alemanha e argentina na copa de o que deve acontecer hoje de novo no maracana para vasco e botafogo,9
2015,e o vasco,9
2015,e agora o vasco enfrenta a maior torcida do brasil o botafogo,9
2015,o adversario sera o vasco que eliminou o flamengo,4
2015,o flamengo deu o primeiro passo no objetivo de superar a eliminaçao para o vasco no estadual do rio,4
2015,agora o botafogo aguarda a partida entre flamengo e vasco que sera disputada neste domingo para conhecer seu adversario,1
2015,de bogota tenis bandsports h olympiacos x levadiakos grego espn h nascar etapa de bristol fox sports h torneio intercontinental futebol de areia sportv h inter de milao x milan italiano espn brasil h corinthians x palmeiras paulista band globo para sp e sportv h flamengo x vasco estadual do rio band e globo menos sp h lyon x st etienne frances espn h motogp gp da argentina sportv h chicago blackhawks x nashville predators hoquei no gelo espn h indy etapa de long beach bandsports h philadelphia union x new england revolution americano espn h river plate x banfield argentino fox sports h santos x sao paulo paulista sportv h detroit,8
2015,e o vasco campeao,9
2015,o vasco da gama ta igual ao brasil quem manda e o vice,4
2015,e a ultima vez que o vasco foi campeao o sarney era vereador e o homem estava esfregando dois gravetos pra inventar o fogo,9
2015,e adorei o site desimpedidos vasco campeao expliquem essa ateus,9
2015,fim da fila do vasco o vasco da gama terminou com seu jejum de titulos de anos ao vencer o botafogo exatamente como aconteceu no campeonato de tambem eram anos de fila tambem acabaram contra o botafogo com gol de valfrido,2
2015,o vasco da gama mereceu ser campeao e doriva e o primeiro tecnico campeao paulista e carioca em anos sucessivos,4
2015,dos quatro clubes que gastaram ate o limite de no futebol profissional tres sao do rio vasco fluminense e flamengo,3
2015,o presidente do vasco eurico miranda expulsou um torcedor do clube durante a comemoraçao do titulo em uma churrascaria na barra da tijuca no ultimo domingo,4
2015,o vasco conquistou o titulo apos vencer o botafogo por a em jogo realizado no maracana,4
2015,duas horas antes da final do campeonato carioca entre vasco e botafogo realizada no ultimo domingo cerca de torcedores vascainos agrediram um torcedor do flamengo nas ruas de mesquita cidade da baixada fluminense,2
2015,ao descer do veiculo patrocinio se deparou com os torcedores do vasco,1
2015,na calçada amigos que estavam com luiz patrocinio tambem chamado de pitbull pelos colegas dizem ter visto cerca de torcedores do vasco,3
2015,na proxima quinta a delegaçao saopaulina embarca para manaus onde participa do torneio super series com a presença de vasco e flamengo,3
2015,na proxima quinta a delegaçao saopaulina embarca para manaus onde participa do torneio super series com a participaçao de vasco e flamengo,3
2015,de tudo o que se viu ate agora e a parte os resultados contra vasco e flamengo o sao paulo e o mais promissor,1
2015,ganso e michel bastos sao diferentes e a qualidade do passe apareceu no amistoso contra o vasco um passe para gol de cada um,5
2015,de volei bandsports h gremio x novo hamburgo amistoso sportv h villarreal x getafe copa do rei espn h tottenham x sheffield united copa da liga inglesa espn h inter de milao x sampdoria copa da italia espn brasil h psg x bordeaux copa da frança sportv h colombia x venezuela sulamericano sub sportv h flamengo x vasco amistoso sportv h aberto da australia tenis espn h uruguai x chile sulamericano sub sportv h washington wizards x oklahoma city thunder nba espn,8
2015,de volta de manaus onde participou de um torneio amistoso contra vasco e flamengo o sao paulo tera mais uma semana de preparaçao antes da estreia no campeonato paulista domingo º as h contra o penapolense,1
2015,assim nao vai viajar com a delegaçao do sao paulo para manaus onde o time disputara dois amistosos vasco na sexta e flamengo no domingo,1
2015,jogara contra flamengo e vasco pelo torneio chamado de super series na arena da amazonia,2
2015,na sexta o time tricolor estreia no torneio contra vasco as h de brasilia,3
2015,jonathan cafu que usara a camisa viajara com a delegaçao do sao paulo para manaus onde a equipe participara do torneio super series ao lado do flamengo e do vasco,2
2015,de volei sportv h vasco x sao paulo amistoso sportv h aberto da australia tenis espn h dallas mavericks x chicago bulls nba espn h malvin uru x flamengo liga das americas de basquete sportv,8
2015,uma sindrome de vasco da gama,5
2015,ademir da guia jogou no bangu e no palmeiras domingos atuou no bangu vasco corinthians flamengo boca juniors nacional de montevideu dos primeiros chutes no seculo ate duas decadas atras juntar nomes e sobrenomes nao representava o melhor jeito de nomear um craque,1
2015,foi o º titulo estadual da historia do vasco,2
2015,entre os quatro clubes grandes do rio o vasco enfrentava a sina de ser o que estava ha mais tempo sem ser campeao carioca,1
2015,entre os quatro clubes grandes do rio o vasco enfrentava a sina de ser o que estava ha mais tempo sem ser campeao carioca,1
2015,foi o º titulo estadual da historia do vasco,2
2015,pelo vasco o tecnico doriva sacou marcinho e escalou rafael silva autor do gol da vitoria no ultimo domingo,2
2015,veja video houve chances para as duas equipes mas o vasco pressionou mais e foi premiado com o gol que abriu o placar o ultimo lance do primeiro tempo aos min,2
2015,fernandes deu uma rasteira em serginho no contraataque do vasco e recebeu o segundo cartao amarelo,2
2015,questionado sobre como tinha aprendido portugues e adotado o santos e o vasco como times do coraçao em menos de um ano ele espalmou as duas maos e apontou ao redor voce ja olhou em volta,2
2015,vasco e botafogo que definem no maracana o campeao do estadual do rio neste domingo h estao no podio dos endividados,0
2015,os vascainos estao em terceiro com r milhoes um aumento de entre eles outro carioca derrotado pelo vasco na semifinal do estadual,4
2015,o jogador deve assinar com o vasco onde ja vem treinando desde o começo da temporada mesmo sem o acordo oficial,4
2015,ele ja se identifica com o vasco fez toda a base aqui e com certeza e um jogador que futuramente pode dar retorno,9
2015,durante todo o ano passado so um jogador recentemente criado no parque sao jorge teve chances regulares na equipe adulta o atacante malcom o lateral direito fagner retornou apos passar por vasco e europa,2
2015,assim como no amistoso da ultima sexta contra o vasco o sao paulo mostrou fragilidade nas laterais e foi derrotado pelo flamengo por a na decisao de torneio amistoso disputado na arena amazonia em manaus,1
2015,sabiase por exemplo que ze lins do rego era flamengo carlos drummond vasco e fernando sabino botafogo,5
2015,o atacante do vasco da gama limpou com a perna esquerda e chutou cruzado de direita para fazer a,4
2015,por conta da internaçao muricy deixou de viajar com a delegaçao do sao paulo para manaus onde o time disputara dois amistosos vasco na sexta e flamengo no domingo,1
2015,o sao paulo venceu o vasco por a na arena amazonia em manaus no seu primeiro amistoso de preparaçao para a temporada,4
2015,o vasco empatou com um gol contra do estreante bruno apos contraataque dos cariocas,4
2015,o river foi eliminado em tres semifinais do torneio por brasileiros vasco palmeiras e sao paulo,4
2015,terceira rodada do campeonato brasileiro sábado sao paulo x joinville vasco x internacional gremio x figueirense domingo palmeiras x goias fluminense x corinthians avai x flamengo atleticopr x atleticomg chapecoense x santos cruzeiro x ponte preta sport x coritiba,2
2015,terceira rodada do campeonato brasileiro sábado sao paulo x joinville vasco x internacional gremio x figueirense domingo palmeiras x goias fluminense x corinthians avai x flamengo atleticopr x atleticomg chapecoense x santos cruzeiro x ponte preta sport x coritiba,2
2015,terceira rodada do campeonato brasileiro sábado sao paulo x joinville vasco x internacional gremio x figueirense domingo palmeiras x goias fluminense x corinthians avai x flamengo atleticopr x atleticomg chapecoense x santos cruzeiro x ponte preta sport x coritiba,2
2015,terceira rodada do campeonato brasileiro sábado sao paulo x joinville vasco x internacional gremio x figueirense domingo palmeiras x goias fluminense x corinthians avai x flamengo atleticopr x atleticomg chapecoense x santos cruzeiro x ponte preta sport x coritiba,2
2015,ja o atleticomg recebe o vasco no domingo em minas gerais,6
2015,veja video terceira rodada do campeonato brasileiro sábado sao paulo x joinville vasco x internacional gremio x figueirense domingo palmeiras x goias fluminense x corinthians avai x flamengo atleticopr x atleticomg chapecoense x santos cruzeiro x ponte preta sport x coritiba,2
2015,veja video terceira rodada do campeonato brasileiro sábado sao paulo x joinville vasco x internacional gremio x figueirense domingo palmeiras x goias fluminense x corinthians avai x flamengo atleticopr x atleticomg chapecoense x santos cruzeiro x ponte preta sport x coritiba,2
2015,nossa unica divergencia e que ele e botafogo e eu sou vasco brincou o ministro ao deixar uma audiencia publica na comissao mista de orçamento do congresso,3
2015,o internacional entra no brasileirao invicto ha dezesseis partidas a maior serie sem derrotas entre os clubes da serie a abaixo dele quem nao perde ha mais tempo e o vasco seis jogos,4
2015,jogadores nascidos no exterior tambem estao entre os principais destaques de atleticomg cruzeiro vasco,2
2015,na ultima quintafeira a cbf mudou a tabela do campeonato e anunciou que vasco palmeiras santos internacional cruzeiro e atleticomg tambem jogarao as h neste ano no campeonato paulista o palmeiras fez duas partidas as h em seu estadio mas a pedido da policia militar ja que haveria protestos na cidade no periodo da tarde foram duas vitorias contra o xv de piracicaba e botafogo ambas por a,3
2015,no mesmo dia o figueirense recebe o vasco,3
2015,campeonato brasileiro ª rodada sabado coritiba x gremio goias x atleticopr corinthians x chapecoense domingo figueirense x vasco santos x cruzeiro flamengo x sport atleticomg x fluminense ponte preta x sao paulo internacional x avai com lancepress,2
2015,campeonato brasileiro ª rodada sabado coritiba x gremio goias x atleticopr corinthians x chapecoense domingo figueirense x vasco santos x cruzeiro flamengo x sport atleticomg x fluminense ponte preta x sao paulo internacional x avai,2
2015,na proxima rodada a equipe do rio grande do sul visita o vasco no sabado,3
2015,campeonato brasileiro ª rodada sabado coritiba x gremio goias x atleticopr corinthians x chapecoense domingo figueirense x vasco santos x cruzeiro flamengo x sport atleticomg x fluminense ponte preta x sao paulo internacional x avai joinville x palmeiras,2
2015,no seu retorno a serie a do campeonato brasileiro o vasco apenas empatou com o goias por a neste domingo em sao januario pela primeira rodada da competiçao,3
2015,o vasco esteve bem abaixo do que mostrou na final do estadual do rio quando faturou o titulo,4
2015,o vasco volta a campo na proxima quartafeira quando enfrenta o cuiaba na arena pantanal na partida de ida da segunda fase da copa do brasil,4
2015,pelo campeonato brasileiro o vasco visita o figueirense em jogo marcado para domingo as h um dia antes o goias recebe o atleticopr que venceu o inter na estreia,2
2015,campeonato brasileiro ª rodada sabado coritiba x gremio goias x atleticopr corinthians x chapecoense domingo figueirense x vasco santos x cruzeiro flamengo x sport atleticomg x fluminense ponte preta x sao paulo internacional x avai joinville x palmeiras,2
2015,campeonato brasileiro ª rodada sabado coritiba x gremio goias x atleticopr corinthians x chapecoense domingo figueirense x vasco santos x cruzeiro flamengo x sport atleticomg x fluminense ponte preta x sao paulo internacional x avai joinville x palmeiras,2
2015,e o vasco em sao januario penou contra o goias para ficar no unico a da rodada num embate de dar sono,9
2015,o vasco nao saiu de um empate em a contra o goias,4
2015,internacional palmeiras vasco e botafogo sao outros clubes que cederam jogadores,0
2015,o time colorado teve o meiocampista aranguiz convocado o palmeiras teve o meiaatacante valdivia enquanto o vasco perdera o goleiro martin silva,4
2015,veja os jogadores que atuam no brasil e foram convocados para a copa américa chile eugenio mena cruzeiro charles aranguiz internacional jorge valdivia palmeiras colômbia edwin valencia santos pablo armero flamengo equador frickson erazo gremio uruguai martin silva vasco giorgian de arrascaeta cruzeiro paraguai victor caceres flamengo peru paolo guerrero corinthians brasil jefferson botafogo marcelo grohe gremio elias corinthians robinho santos leandro damiao cruzeiro lista de suplentes gil corinthians lista de suplentes,2
2015,provavelmente havera menos lotaçao no maracana para vasco x botafogo e no mineirao para atletico x caldense,2
2015,no maracana se enfrentam vasco e botafogo o segundo duelo sera no mesmo estadio,3
2015,com isso jobson nao podera defender o seu time na primeira partida decisiva do estadual do rio contra o vasco,1
2015,alem do corinthians botafogo santos e vasco foram declarados campeoes,1
2015,e o aecio procurou um grande jurista para embasar o impeachment eurico miranda do vasco,9
2015,o curioso e que os jogos no rio foram com a camisa do vasco enquanto a partida em sao paulo foi com o uniforme branco do santos,4
2015,minha melhor lembrança no pacaembu e uma partida que fiz em quando joguei por um combinado santos e vasco,5
2015,com um gol de rafael silva aos min do segundo tempo o vasco venceu o botafogo por a neste domingo no maracana na primeira partida da decisao do estadual do rio,1
2015,com o tempo o vasco conseguiu equilibrar a partida,1
2015,depois da jogada o vasco equilibrou a partida mas nao conseguiu fazer o primeiro,2
2015,mas no final o vasco garantiu a vitoria com o gol de rafael silva aos min,3
