ano,sentenca,cluster
1800,feito em lapis de cera de cor vermelha ha da linha a margem esquerda um traço,1
1800,iniciase na margem esquerda da pagina a partir da linha conforme se pode observar na ediçao facsimilar,1
1800,ao longo da pagina na margem esquerda encontrase um traçado em forma de chave escrito com lapis de cera vermelho claro,1
1800,ocupando de cima a baixo a margem esquerda da pagina encontrase um traçado em forma de chave feito com lapis de cera vermelho claro,1
1800,em lapis de cera cor vermelha encontrase um traçado em forma de chave ao longo do documento na margem esquerda,1
1800,em lapis de cera cor vermelha encontrase um traçado em forma de chave ao longo do corpo do documento na margem esquerda,1
1800,ao longo da pagina na margem esquerda ha um traçado em forma de chave feito com lapis de cera vermelho,1
1800,ao longo da margem esquerda da pagina em forma de chave e tambem sob o titulo deste documento encontramse traçados feito com lapis de cera vermelho,1
1812,com efeito um homem moço bem parecido de elegante figura trazendo na mao esquerda um chapeu como os que usam os nossos tropeiros de serra acima calçado de grandes botas de montar coberto com um largo ponche e tendo pendente do braço direito um grande azorrague entrou a sala e apenas viu o dono da casa correu para ele com os braços abertos exclamando augusto,1
1812,qual escolhe a da mao direita ou a da esquerda,1
1812,o pachola com um pequeno bordao na mao direita e uma boa faca na esquerda posse a esperar,1
1812,mas o pachola que tambem era mestre no mesmo jogo levavalhe a melhor porque era ambidextro assim com a faca na mao esquerda e o bordao na direita nao so acometia como nao deixava o mandigueiro aproximarse pode pois dizerse que este serviase de uma so arma enquanto o seu adversario serviase de duas,0
1812,o mandigueiro que era mestre no jogo da faca tendo esta na mao direita e o bordao na esquerda batiase como um leao,1
1815,o marques e seu sequito saem indo a ala direita pela esquerda e a esquerda pela direita,0
1815,entra pela esquerda e volta defronte da estatua onde para,1
1815,entram pela esquerda vem proximo a boca do teatro voltam a esquerda e defronte da memoria abrem alas caminhando direitos a mesma,1
1815,banca a esquerda com jogo de gamao sobre ela,1
1815,portas ao fundo janela lateral esquerda e porta fronteira,1
1815,à direita lugares para mulher a esquerda para homem,1
1815,retirase pela direita alta cena iii os precedentes e o alferes o alferes entra pela porta esquerda alta finge vir debaixo da rampa,1
1815,esquerda baixa character dom braz à parte nao reparando no alferes o homem nao pode tardar,1
1815,vao entrando espectadores homens para a galeria esquerda e mulheres para a direita,1
1815,temse chegado insensivelmente para a porta lateral como para conversarem mais a sos cena vi os precedentes e o marquês a pequena porta lateral esquerda temse aberto durante a fala de dom braz,1
1825,saem pela esquerda cena iv rancho de raparigas vestidas de saias de chita com muita roda de saias e saiotes capotilhas encarnadas chinela e meia branca acompanhadas de um tocador de rebeca e outro de violao que lhes acompanham as cantigas,1
1826,ao fundo da viela que desembocava no rio havia dois portelos um a direita para uma varzea de milho espigado com grande folhagem outro a esquerda para um panascal que entestava com a corrente do tamega,1
1826,no momento em que transpunha o portelo com o embaraço do peso e do estorvo que lhe fazia o vestido molhado teve de colher as saias com a mao esquerda e neste lance sentiu nas costas da mao um contacto de liquido quente com fartum enjoativo de sangue,1
1826,josefa com o pente na mao direita descaida e inerte e a cabeça encostada a mao esquerda sentiase como cansada esvaida de alento e esmorecida como se o subito incendio de felicidade fosse um lampejo de estopas que se inflamam e nem faulhas deixam,1
1829,clinica interna da academia de medicina desta cidade explorandolhe os diversos orgaos acessiveis aos meios fisicos encontrou assim como nos que entramos no ultimo ano dessa clinica as alteraçoes seguintes cor amarelada de toda pele alguma dispneia dureza que se estendia desde a parte lateral direita do apendice xifoide ate a sinfise pubiana donde voltava em angulo agudo para irse esconder na fossa illiaca esquerda de polegadas pouco mais ou menos no sentido transverso,1
1829,enfim os movimentos exteriores do corpo sao sete para diante para tras para a direita para a esquerda para cima para baixo e em roda,1
1829,title viver e morrer i na distancia de sete leguas da foz do rio de sao francisco domina sua margem esquerda nas faldas da rocha que primeiro se divisa navegando o rio acima e sobre o dorso pedregoso e irregular do penhasco se levanta altiva e elegante a vistosa cidade do penedo a mais bela de quantas vilas e povoados orlam as ribas verdejantes desse gigante dominador de cinco provincias,1
1830,sua suplica sujeitouse andar aos tropeços pela ruas das cidade em demanda de ir terse a casa da sociedade a pedir o socorro por se achar enfermo e com os direitos que lhe assis tia os artigos e os dos estatutos e regimento da mesma o que em vista da informaçao reconheceuse ser um grande ataque de erisipela nos esclauto e parte da perna esquerda e pes inchado esvaidas de forças palido gotejando suores frios sem meio de poder agenciar o pao cotidiano para si e sua familia que a ele pesa acrescentou o socio faustino que o socio manuel clau dio mostravase ainda mais merecedor do socorro qualquer que fosse do artigo º º º e º lendos o porque toda sociedade sabia e co nhecia ter o,1
1830,e disse vossa senhoria mandeme ler o artigo dos estatutos depois de lido disse eu quando apresentei foi sobre o juro e digo sempre que o juro e o nosso capital pediu pa lavra o socio bracete e disse eu nao quero responder nada so que tenho a dizer e que uma moça chamada a justiça que traz os olhos vendados e na mao esquerda a balança e na direita a espada e esta a verdadeira figura da presidencia do senhor manoel leonardo ele nao precisa de comentarios ele nao e aquela presidencia de compadres e afilhados e se assim o fosse eu nao tornaria mais a esta sociedade tenho falado por hoje disse o senhor presidente a cota e de reis para o escriturario a qual devera principian,1
1836,toda a gente que como eu assistia em alas a passagem dos romeiros se inclinava respeitosamente e os dois bispos iam abençoando a multidao a direita e a esquerda,1
1836,a parte esquerda da cara estava coberta por uma pasta como de algodao em rama,1
1842,character º campones que na roda da a esquerda a quem o interpelou,1
1842,a igreja fica ao fundo e a esquerda divisaselhe apenas a fachada principal modesta fachada de pobre templo aldeao,1
1842,jose felix e mariquinhas entram em cena pela porta lateral da esquerda,1
1842,durante a cena toda ocupase de trabalhos domesticos ao fundo a esquerda voltando de quando em quando a escutar a porta por onde entrou,1
1842,à esquerda ao fundo janela praticavel,1
1842,character leonardo anda ca luiz aproximase leonardo sentase numa cadeira e jose felix noutra a sua esquerda,1
1842,diogo barradas entrega a bandeja a uma criada que a leva para fora da cena pela porta lateral da esquerda e sai pelo fundo todas,1
1842,desce a cena e atras dele entra humildemente o poetastro bernardo domingues alto magro esgrouviado cumprimentando para a direita e para a esquerda,1
1842,dirigese para a boca da cena a esquerda,1
1842,procura uma cadeira sentamse todos a morgada ao fundo a sua direita o frade a esquerda o capitaomor a esquerda deste leonor desviado do grupo luiz do outro lado da cena e escondido humildemente por tras do capitaomor bernardo nao tarda ai,1
1842,à esquerda para cima da porta lateral um cravo,1
1842,ao fundo a esquerda um vasta mesa onde luiz trabalha ao subir o pano,1
1842,cena i character luiz so sentado a mesa da esquerda com um grosso volume diante de si de que esta tirando apontamentos,1
1842,character leonor entreabrindo a porta da esquerda percorre o camarim com os olhos e vendo luiz,1
1881,uma janela de sacada a esquerda,1
1881,duas portas ao fundo uma a da esquerda da para um corredor a outra para a cozinha,1
1881,encostase ao ombro direito dele e chora alguns momentos enquanto isidoro levantando com a mao esquerda o chapeu alto para ela nao lho arrepiar lhe bate palmadinhas nas costas com a mao direita,1
1881,nesta altura benzese tres vezes tocando a testa e o peito com o baralho em louvor de sao cipriano assim ele me ajude nesta sorte a albertina benzete rapariga com a esquerda,1
1881,estou farta de te dizer que as cartas se partem com a mao esquerda character albertina partindo com a mao esquerda ó dona isaura,1
1881,esta vai cortalas com a mao direita com a esquerda filha com a esquerda,1
1881,à esquerda uma secretaria tambem carregada de papeis,1
1899,carimbo do ighb com a anotaçao em tinta n e na margem superior esquerda anotaçoes a lapis,1
1899,marca d agua ilegivel na margem superior esquerda,1
1899,carimbo e assinatura na margem esquerda arlindo da silva pitombo com rubrica em azul,1
1899,timbre na margem superior esquerda gabinete do ministro da industria,1
1899,anotaçao do arquivo na margem superior esquerda e m,1
1899,anotaçao do arquivo na margem esquerda,1
1899,anotaçao do arquivo na margem esquerda inferior,1
1899,marca d agua na margem superior esquerda ao lado da saudaçao inicial gabinete do ministro dos negocios da justiça,1
1899,carimbo do ighb e anotaçao do arquivo na margem esquerda superior nº e p m e outras na margem direita superior,1
1899,carimbo na margem esquerda arlindo da silva pitombo com rubrica ilegivel em azul,1
1899,timbre na margem superior esquerda jose freire de lima bahia,1
1899,anotaçoes do arquivo na margem superior esquerda,1
1899,na margem superior esquerda aparece colada uma fita adesiva com o seguinte indereço impresso rua da candelaria caixa no correio n,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda rocha richamond telegrammas isa rio caixa no correio n,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda companhia do queimado traço de cm bahia,1
1899,carimbo do ighb com anotaçao de n em vermelho na margem superior esquerda e anotaçoes do arquivo na margem superior direita,1
1899,data corroida na margem inferior esquerda,1
1899,carimbo do ighb na margem superior com anotaçoes l e outras na margem esquerda,1
1899,timbre na margem superior esquerda secretaria superior do estado da bahia traçado,1
1899,anotaçoes a lapis na margem inferior esquerda,1
1899,carimbo do ighb na margem superior esquerda com anotaçoes em vermelho p m c,1
1899,carimbo do ighb na margem inferior esquerda com anotaçoes em vermelho pm j,1
1899,papel almaço pardo com pautas brasao impresso na margem superior esquerda onde consta uma lampada entre dois ramos que se cruzam por sobre um lapis,1
1899,carimbo do ighb na margem superior esquerda com anotaçao em vermelho nº,1
1899,anotaçoes do arquivo na margem superior esquerda,1
1899,carimbo do ighb na margem superior esquerda com anotaçoes n,1
1899,carimbo do ihgb na margem superior esquerda com anotaçoes n e sobreposto,1
1899,inserçao de terceiros em vermelho na margem superior esquerda,1
1899,marca d agua na margem superior esquerda gabinete superior dos negocios da justiça,1
1899,carimbo do ighb na margem superior esquerda com anotaçao n,1
1899,anotaçao do arquivo na margem esquerda com numeraçao parcialmente coberta pela encadernaçao l,1
1899,carimbo do ighb do arquivo na margem superior esquerda e inserçao do n em vermelho,1
1899,anotaçao do arquivo na margem inferior esquerda,1
1899,anotaçoes do arquivo na margem inferior esquerda,1
1899,anotaçao do arquivo na margem superior esquerda parcialmente coberta pela encadernaçao feita pelo arquivo,1
1899,timbre na margem superior esquerda companhia das docas de dom,1
1899,na margem esquerda anotaçoes do arquivo,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda administraçao dos correiros do ramos ao redor estado de________ traço,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,timbre na margem superior esquerda f,1
1899,inserçao de terceiros na margem esquerda superior na horizontal r,1
1899,inserçao de terceiros na margem superior esquerda r,1
1899,inserçao de terceiros na margem esquerda superior r,1
1899,inserçao de terceiros na margem superior esquerda r,1
1899,inserçao de terceiros na transversal respondida a janeiro na margem superior esquerda,1
1899,marca dagua ilegivel na margem superior esquerda,1
1899,anotaçoes do arquivo na margem inferior esquerda,1
1899,anotaçoes do arquivo na margem superior esquerda,1
1899,marca d agua ilegivel na margem superior esquerda,1
1899,anotaçao do arquivo na margem superior esquerda,1
1899,anotaçao do arquivo na margem superior esquerda,1
1899,marca dagua ilegivel na margem superior esquerda,1
1899,anotaçoes do arquivo na margem esquerda inferior,1
1899,inserçoes de terceiros na margem esquerda superior r,1
1899,anotaçoes do arquivo na margem superior esquerda,1
1899,inserçao de terceiros na margem superior esquerda na horizontal r,1
1899,inserçao de terceiros na margem superior esquerda na horizontal r,1
1899,inserçao de terceiros na margem superior esquerda r,1
1899,anotaçao de terceiros na margem superior esquerda r pelo sr,1
1899,inserçao do r na margem superior esquerda e na margem superior direita em vermelho,1
1899,marca d agua ilegivel na margem superior esquerda,1
1899,anotaçao do arquivo na margem superior esquerda pmn e,1
1899,marcas de ferrugem em formato de grampo na margem superior esquerda,1
1899,anotaçao do arquivo na margem superior esquerda,1
1899,anotaçoes a lapis do arquivo na margem superior esquerda,1
1899,anotaçoes do arquivo na margem superior esquerda e na margem superior direita p m,1
1899,anotaçoes do arquivo na margem esquerda,1
1899,anotaçoes do arquivo na margem superior esquerda,1
1899,marca dagua ilegivel na margem superior esquerda,1
1899,anotaçao do arquivo na margem inferior esquerda,1
1899,margem direita do primeiro folio e esquerda do segundo corroidas por traças,1
1899,marca dagua na margem superior esquerda gabinete do ministro dos negocios da guerra,1
1899,anotaçoes do arquivo na margem inferior esquerda,1
1899,anotaçao do arquivo na margem superior esquerda,1
1899,outras anotaçoes na margem superior esquerda,1
1899,inserçao da letra r na margem esquerda,1
1899,anotaçao do arquivo na margem superior direita p m e na margem superior esquerda entre a saudaçao inicial e o corpo da carta,1
1899,abreviatura de r na margem esquerda superior,1
1899,carimbo do ighb entre a saudaçao inicial e o corpo da carta com anotaçoes na margem superior esquerda n e p m,1
1899,anotaçao do arquivo na margem esquerda,1
1899,anotaçao do arquivo na margem superior esquerda,1
1899,marca d agua de destinatario na margem esquerda inferior do primeiro folio com as iniciais e,1
1899,anotaçao do arquivo na margem superior esquerda abaixo da saudaçao inicial,1
1899,timbre na margem superior esquerda clínica médica do dr,1
1899,anotaçao do arquivo na margem inferior esquerda,1
1899,carimbo do ighb na margem superior esquerda com anotaçao nº,1
1899,carimbo do ighb na margem superior esquerda com anotaçoes do arquivo nº e p m,1
1899,inserçao de terceiro em vermelho na margem superior esquerda de,1
1899,por sobre o monograma consta o carimbo do arquivo ighb na margem superior esquerda,1
1899,inserçao de terceiros na margem superior esquerda em vermelho onde consta um monograma com as letras a e sao entrecruzadas,1
1899,corrosao na borda esquerda do primeiro folio e direita do segundo folio,1
1899,anotaçao do arquivo na margem superior esquerda,1
1899,anotaçao do arquivo na margem inferior esquerda,1
1899,carimbo do ighb com anotaçoes e e outras anotaçao na margem inferior esquerda,1
1899,corrosao por inseto no nas margens centrais esquerda e direita,1
1899,corrosao na margem superior esquerda do primeiro folio e na margem inferior direita do segundo folio,1
1899,anotaçao do arquivo na margem superior esquerda,1
1899,marca d agua ilegivel na margem superior esquerda,1
1899,anotaçoes de terceiros na margem superior esquerda e na margem superior,1
1899,inserçao de terceiro margem esquerda superior respondida a de janeiro de,1
1899,anotaçao do arquivo na margem esquerda superior,1
1899,corrosao por inseto nas margens superior esquerda dos tres folios,1
1899,anotaçao do arquivo na margem superior direita pmn d e na margem superior esquerda d,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro folio na margem direita do segundo na margem esquerda do terceiro na margem direita do sexto e esquerda do setimo,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro folio na margem direita do segundo e na margem esquerda do terceiro,1
1899,ha notas do barao de jeremoabo na lateral esquerda do primeiro folio justiniano galvao agradecendo os novilhos recebida a em resposta bomfim de setembro de illustrissimo excelentissimo senhor barao de geremoabo desejando a vossa excelencia e a excelentissima familia toda sorte de felicidades respeitozamente eu i todos os meus aprezentamos nossos cumprimentos,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro folio,1
1899,fita adesiva na margem esquerda do primeiro e margem direita do segundo folio,1
