ano,sentenca,cluster
1802,recordo me de ver entrar os regimentos de cavalaria numero i e numero comandado este por o bravo conde de penafiel que apesar de a sua grande fortuna e independencia fez todas as campanhas de a guerra peninsular os regimentos de infantaria numeros i e sendo o comandado por o jovem joao carlos de saldanha hoje duque de saldanha que apenas tinha vinte e quatro anos e um numeroso parque de artilharia,0
1802,anos sem processo e ele mesmo perseguido desde a sua primeira idade devendo a sua educaçao e formatura em a universidade de coimbra a a generosidade de alguns parentes que tinham escapado a o odio de o marques de pombal pois que ate fora privado em o reinado de elrei dom jose de a pequena mesada que recebia tendo alias seu pai uma grande fortuna perseguiçao que continuava em a regencia de o principe sendo vitima constante de as intrigas de a corte nao podendo residir em a companhia de os seus parentes e amigos sem ser incomodado fantasiando se comissoes so com o fim de o afastarem de eles sem haver consideraçao alguma por os relevantes serviços que prestara ja organizando corpos de todas as armas ja fortificando,0
1802,avo que ele estimava com o maior desvelo grande amigo de seu cunhado o marques de fronteira dom jose e por ter grande interesse por seu sobrinho e meu pai que ele amava como filho tinha inteira confiança em os seus principios de boa moral e em a influencia que exerceriam em os seus pupilos e por isso cuidando em os nossos arranjos de fortuna ocupou se depois de a nossa educaçao literaria,0
1802,havia outro que ainda existe com a idade de anos e que tenho a fortuna de ter por vizinho o qual em a nossa mocidade foi por muitos anos capelao de a casa e a quem consideramos sempre como de os nossos primeiros amigos falo de o antigo prior de o convento de sao domingos de bemfica frei manuel o qual assistiu a o casamento de meu pai a os nossos batizados e a o meu casamento,0
1802,segundo as ideias que tenho foi em uma de estas conferencias que se decidiu que nao deviamos emigrar porque por a nossa pouca idade nenhuns deveres tinhamos a cumprir nem para com o paiz nem para com o principe que nos obrigassem a expor a nossa fortuna,0
1802,o senhor de murça tinha tal repugnancia em sair de a aldeia que so a deixou poucas horas antes de os franceses ali entrarem embarcando com muito custo ele e a sua familia e preciosidades em santarem e sofrendo em o tejo um temporal horrivel que lhe ia roubando a vida e a fortuna,0
1802,possuindo alguma fortuna sendo muito moça e nao podendo fazer em o seu pais um casamento de conveniencia veio a portugal procurar fortuna,0
1802,uma irma de meu avo casou com um senhor de murça coronel de cavalaria em trazosmontes grande fidalgo por nascimento e de muita fortuna,0
1802,acreditava em a muita nobreza e fortuna de sua mulher tendo ela a habilidade de lhe fazer crer que tinha trazido consigo avultada soma de onças e que por diferentes vezes em o ano lhe remetiam de espanha grossas rendas de as suas propriedades com o que fazia face a as suas grandes despezas que consistiam em presentes e esmolas porque era excepcionalmente generosa e benfazejo e para si nada precisava,0
1802,nenhum de nos tinha a fortuna de conhecer esta avo,0
1802,tivemos a fortuna de o abade se conservar ainda em nossa casa por algumas semanas contudo a entrada de o padre allen para bemfica e os primeiros tempos que vivemos com ele foram uma epoca triste de a nossa vida,0
1802,recordo me de que dançando uma vez uma contradança com a margrave de darmstadt princesa alema de perto de setenta anos que casou com um cavalheiro ingles creswen em uma de as ruas de a quinta saltamos tanto que ela perdeu um sapato que depois de andar por mais de uma hora em sua busca tive a fortuna de encontrar com o auxilio de monsenhor macchi metido em uma de as banquetas de buxo,0
1802,meu irmao e minha irma que era sua afilhada nunca mais a tornaram a ver eu e que tive a fortuna de a encontrar em paris dezessete anos depois sendo ja casado e militar,0
1802,a outra parte que ficou em o reino foi a primeira a por a a disposiçao de o estado a sua fortuna e todos os recursos que tinha para repelir a invasao e nao foi a ultima a correr a as armas derramando muitos de os seus membros o sangue e perdendo a vida em o grande numero de batalhas de a guerra peninsular,0
1802,mas se vejo os descendentes de homens ilustres por os seus serviços em o reino e conquistas seguirem a vereda de seus maiores sacrificando por a patria a vida e a fortuna tenho por eles a maior consideraçao sem olhar para os seus pergaminhos ou relaçoes de parentesco,0
1802,ainda em aquela epoca ele nao tinha herdado a fortuna de seu irmao mas o famoso marques nao se esquecia de os seus e o filho segundo gozava de uma grande casa,0
1812,ela devia fazerte seu universal herdeiro nem era muito para quem tanto a serviu ela fez o que era de seu dever porque se chegou a possuir tamanha fortuna a teu pai a devia,0
1812,e para que me serve essa fortuna,0
1812,isto senhor valia alguma cousa so ao depois de viuva e que fiel a minha primeira afeiçao lanceime nos braços do senhor bento com a minha pequena fortuna que bem me chegava,0
1812,se fizer sua pontaria no lugar em que esta se nao der nem meio passo para diante e acertarme de parabens a sua fortuna mas note se intentar alguma trahiçao e avançar so meio passo entao disparo immediatamen te,0
1815,onde entra o marques entra a fortuna,0
1825,saem por diversos lados title cena v auto um rei turco e depois outros figurões character rei turco com uma cara horripilante e trejeitos assustadores sou o turco rei que e valoroso na arrogancia por ser filho da fortuna e neto da extravagancia,0
1825,se a fortuna me tivesse dado um filho essa espada estaria ja nas maos dele,0
1829,aqui educado nos principios da moral evangelica e dotado da indole mais feliz para receber uma instruçao solida embora vivendo em uma mediocridade de fortuna que nao produz inveja nem ocasiona ambiçao empregou os primeiros anos de sua vida em estudar as linguas latina francesa e inglesa a ciencia de kant em que foi lecionado pelo profundo letrado o senhor francisco carneiro de campos e enfim a preciosa arte de cicero e a da pintura,0
1829,que fortuna que prazer que gloria que honra traz o tirares a vida de teu semelhante,0
1829,que a um se antolhasse que deveria ser assassinado sobre as pragas do egito e ao outro que o seria no meio do mesmo senado e ambos as maos daqueles que lhes deviam toda a sua fortuna,0
1829,a maior fortuna que podemos ter e ignorar o nosso destino,0
1829,como estrangeiros existem indiferentes a nosso bom ou mau destino nao omitamos o procedimento honrado da casa francesa gantois e martin a qual imediatamente pos a disposiçao do governo o seu brigue fortuna que estava de partida para a costa d áfrica de cujos serviços nos utilizamos com bastante vantagem e com maior ainda se a insurreiçao tivesse tomado um carater mais serio,0
1829,no dia pelas onze horas e meia do dia principiou de novo um vivissimo fogo com peça de de e de calibre postadas na frente da se de calibre na praça do comercio do mesmo calibre no arsenal no brigue fortuna e um rodizio em uma escuna os quais barcos amanheceram postados em frente do portao da fortaleza para o destruir e facilitar um ataque e desembarque de tropas,0
1829,nos supomos que se em algum dia esta calamidade social o vicio da embriaguez desaparecer sera ao cafe ao cha e ao charuto a quem em grande parte deveremos tanta fortuna,0
1829,para a virgem despontou o dia em que ligada eternamente aos destinos do esposo era convidada por leis divinas e humanas a libar na aurifulgente taça da fortuna a paz da felicidade ou tragar resignada o fel asqueroso da desdita minado pingo a pingo do algar de mil desgraças,0
