ano,sentenca,cluster
1856,tu e o teu senhor essa velha carcaça avara de judeu pensais que a minha paciencia e infinita como a minha resignaçao como a minha humildade,1
1994,o grande merito da mad magazine trazer para as hqs um humor anarquico satirico e principalmente judeu,1
2002,a busca da unificaçao das forças derrotou o criador das duas teorias da relatividade a especial e a geral o judeu alemao albert einstein e persiste como um desafio para as maiores inteligencias da ciencia,1
2002,com cerca de milhoes de anos a intrigante serpente com patas foi inicialmente estudada pelo paleontologo judeu de origem austriaca george haas um dos grandes nomes da herpetologia daquela epoca,1
2003,ele sera sempre o imortal laverno esse homem prodigioso especie de mefistofeles de judeu errante que anda entre nos nas praças nos templos nos saloes dourados no parlamento nas estalagens nas lojas e nos ranchos das estradas que se acha ora no mar ora na terra e mesmo as vezes por esses ares escreve portoalegre,1
2003,mas ela propria reconhece hoje somos um judeu e uma arabe que trabalham em paz,1
2006,da alma e da carne estreitamente juntos enfrentar o amor desprezar a morte alimentar a carne que palpita jovem sob o tecido da roupa que nos envolve que gira e bate como um sudario antes que se erga a mais dilacerante tristeza que so pode vir da morte talvez do amor mais triste ainda nunca da felicidade nunca jamais publicado em wwwrecantodasletrascombr cervantes escravo judeu homossexual proxeneta e plagiário nestes tempos de comemoraçao dos anos do dom quixote que ainda hoje ressoa as leituras se focam nao so nas obras de miguel de cervantes mas tambem no vasto repertorio de obras correlatas destinadas a esmiuçar o acervo literario e a vida do genial fidalgo,1
2006,num segundo plano arrabal perde muito tempo na busca dos antepassados mais longinquos de cervantes para posiciona lo como judeu de descendencia cristao nova,1
2006,o que temos em tese e que o cristao novo jamais deixa de ser judeu mesmo que corridas varias geraçoes,1
2006,descaracterizado por varias reformas com fama de malassombrado o imovel da rua gonçalves dias sera recuperado em sua forma original que de certa forma readquiria algo da casa do escritor em salzburgo que ele foi obrigado a deixar para fugir da perseguiçao nazista por ser judeu e pensador,1
2006,como sir morosus o protagonista de a mulher silenciosa peça de zweig transformada em opera por richard strauss e censurada pelos nazistas por ter um libretista judeu zweig abominava o barulho e nao resistiu ao ruido da historia,1
2007,se um judeu enganar um cristao qual a humildade que encontra,1
2007,se um cristao enganar um judeu qual deve ser seu sentimento segundo o exemplo cristao,1
2007,vigiado pelo governo frances o escritor apenas em colocou o caso em palavras ainda assim num romance a clef chamado a testemunha ocular que fala do soldado ah tratado por um medico judeu no hospital militar de p acometido de histeria,1
2007,muitas vezes pergunteime o que me teria levado naquela epoca no outono de a intervir daquela forma se era curiosidade a qualidade principal de um cientista trabalhando na area medica ou o desejo de ser como um deus e mudar o destino de uma pessoa fala o narrador de weiss o medico judeu,1
2007,a leitura que se faz desse desbravador do cacau desse homem de origem pobre que fez fortuna e que era um homem ladino esperto comercialmente um judeu tupiniquim do seculo passado se algum vizinho de roça lhe tomava dinheiro ele de bom grado emprestava com juro escorchante e se o inepto do agricultor nao pudesse lhe pagar entregava lhe tambem de bom grado o seu pedaço de terra para honrar o emprestimo,1
2007,ate a avo do padre manoel foi usada como prova de que ele tinha sangue judeu,1
2008,muito antes cem anos atras houve aqui na columbia um professor como joel spingarn professor de literatura comparada na columbia de a judeu ativista dos direitos civis e grande incentivador da publicaçao de escritores negros nos anos,1
2008,judeu alemao discriminado em seu pais einstein migrou em para os estados unidos quando foi contratado pela universidade de princeton,1
2008,embora fosse judeu einstein chegou ate a ter aula numa escola catolica num periodo da infancia,1
2008,durante o nazismo kafka foi censurado por ser um escritor judeu,0
2008,qual foi a contribuiçao do pensamento judeu a cultura e ciencia nacionais por causa disso,1
2008,tanto e que algumas naçoes ocidentais e outras do oriente medio reabilitaram a imagem do judeu como eterno caminhante sem direito a um territorio conceito interpretado a luz dos regimes antidemocraticos com conotaçoes politicas,1
2008,no brasil essa modalidade do antisemitismo politico existiu enquanto politica de bastidores nos governos vargas e dutra que consideravam o judeu como raça indesejavel para compor a populaçao brasileira,1
2008,nove anos depois foi o bioquimico ernst chain um refugiado judeu da alemanha nazista quem abriu os olhos de florey ao encontrar o estudo de fleming em uma biblioteca da universidade de oxford e desconfiar que ali havia algo precioso,1
2008,alem disso era judeu e os nacionalistas alemaes consideraram que houve uma conspiraçao dos judeus para derrubar o imperador alemao,1
2008,no rio de janeiro o rabino isaiah raffalovich lider judeu local conseguiu que a escola politecnica o convidasse,0
2009,nesse contexto todos os suditos do imperador cristao com exce çao do grupo judeu deviam adorar o mesmo deus que ele pelo singelo fato de estarem sujeitos a autoridade desse imperador,1
2009,escrevi um artigo cujo titulo era um estado judeu ou um estado democratico para israel,0
2009,os textos podiam ser em verso ou prosa nao sendo invulgar trata se de peças de teatro e versavam sobre os mais variados contos fantasticos escritos de fundo historico moralizantes etc nao so de autores anonimos mas tambem daqueles que assim viram a sua obra vendida a preço como gil vicente e antonio jose da silva o judeu,1
2009,naquele mesmo ano muito intuitivo ele volta rapido ao brasil por ser judeu antes do inicio da segunda guerra mundial que estava por começar,1
2009,sabe como tinha esperança um judeu ateu chamado walter benjamin,1
2009,em em berlim quando o movimento nazista começava a sua ascensao fisicos que haviam aderido ao nazismo criticavam em jornais a fisica de einstein em parte por ser muito inovadora e em parte porque ele era judeu disse,0
2010,o fisico cylon gonçalves da silva professor emerito da unicamp e autor do recemlançado de sol a sol energia no seculo xxi da oficina de textos cita a influencia de fritz kahn um medico judeu alemao autor de livros sobre astronomia e medicina em especial sobre o corpo humano,1
2011,mas foi em sao paulo que o imigrante russo judeu gregori warchavchik nascido na cosmopolita cidade de odessa reviu a formaçao academica recebida em roma e lançou as bases da arquitetura moderna no pais,1
2011,chegou a transportar na mala do carro um judeu ate a fronteira da dinamarca so escapando pela placa do corpo consular,0
2011,li os grandes socialistas li marx sartre e comecei a me inteirar do problema do sionismo e do problema judeu,1
2011,era uma previa onde aprendiamos a trabalhar a terra que nao e bem uma caracteristica do povo judeu e a inverter os valores a começar a adquirir consciencia da necessidade de criar raizes na propria terra,1
2011,ha algo de arraigadamente etnico na sua maneira de conceber os negocios ou o dinheiro termos que entende no interior da riquissima semantica do judeu,1
2012,o medico judeu otto weisburg so escapou por ter feito descobertas fundamentais sobre o funcionamento das celulas tumorais e ter ganho o nobel de medicina e fisiologia em,1
2015,em um encontro do movimento sionista defensor de um estado judeu na palestina conheceu anna com quem se casou em,0
2015,scapin assina a direçao do espetaculo e mamberti que ha doze anos nao subia aos palcos interpreta o judeu sr green,1
2015,isso começou logo na primeira guerra mundial quando um pequeno livro sobre berlim da autoria de max osborn ironicamente um autor judeu foi lido e relido pelo entao cabo austriaco,1
2015,o anuncio da restituiçao a filha de mayer ocorreu em uma cerimonia no museu do patrimonio judeu de nova york,0
2015,a obra foi roubada do alemao judeu august liebmann mayer um renomado historiador e curador de arte em sua casa em paris durante a segunda guerra mundial,1
2015,um caso parecido aconteceu no brasil em quando o jornalista vladimir herzog que era judeu morreu no predio do doicodi em sao paulo,0
2015,segundo a familia pode pesquisar seu pai judeu ortodoxo teve a barba cortada pelos nazistas e foi obrigado a segurar um porco para tirar uma foto desrespeitando preceitos da religiao,1
2015,sou judeu,1
2015,o filosofo judeu martin buber quando elenca em seu maravilhoso hasidism and modern man prometheus books de as quatro principais virtudes do mistico hassidico coloca a humildade como a maxima entre elas,1
2015,a posiçao de lorde jonathan sacks antigo lider judeu britanico era mais nuançada,1
2015,voce pode ser bom frances sem amar croissants voce pode ser um bom cidadao judeu mas nao participar da religiao,1
2015,os seguidores dessas prescriçoes talvez representem apenas um quinto da populaçao mas outros judeus que dirigem veem a proibiçao da circulaçao de onibus como uma forma importante de diferenciar o estado judeu,0
2015,recentemente yoav que residia sozinho em paris onde seu pai o enviou para estudar havia visitado o estado judeu agora sua ultima morada,0
2015,judeu nascido na polonia e naturalizado brasileiro o fundador da rede de lojas de departamento casas bahia sobreviveu a dois campos de concentraçao o de majdanek e o de auschwitzbirkenau este ultimo o maior do regime nazista,1
2015,a paralisaçao de muitas atividades da cidade afetou ate a sede das naçoes unidas que suspendeu reunioes e atos que estavam programados desde a tarde de segundafeira incluindo um para lembrar o holocausto judeu que estava programado para hoje,0
2015,spielberg que discursou em cracovia junto ao presidente do congresso mundial judeu ronald s lauder denunciou os esforços crescentes para banir os judeus da europa,1
2015,o tom foi o mesmo na segunda em praga onde o congresso judeu europeu realizou uma cerimonia paralela com o forum let my people live deixem meu povo viver,0
2015,qualquer tentativa de silenciar acontecimentos distorcer ou reescrever a historia e inaceitavel e imoral declarou no museu judeu de moscou,0
2015,instado pela folha o advogado pierpaolo bottini professor de direito penal da faculdade de direito da usp arrisca um cotejo com mercador nao necessariamente de porcia mas do oponente dela o judeu shylock personagem que defende a sua propria humanidade na peça um judeu nao tem olhos,1
2015,um judeu nao tem maos orgaos dimensoes sentidos afetos paixoes,1
2015,apesar de blockbusters no festival apenas oferecerem uma distraçao no tapete vermelho o longa de george miller foi talvez o filme mais elogiado em cannes tendo como rival um filme muito mais serio saul fia sobre um judeu no campo de concentraçao de auschwitz que encontra o cadaver de um menino e acredita que ele seja seu filho,1
2015,alguns que se consideram campeoes da tolerancia transformamse em intolerantes natos quando se trata de judeus e o estado judeu,1
2015,o antissemita moderno retrata o estado judeu como a personificaçao do mal,1
2015,uma das principais mensagens que o forum global de combate ao antissemitismo espera transmitir e que essa forma de odio nao e um problema apenas para o povo judeu,0
