ano,sentenca,cluster
2003,encontraram especies de animais que habitam exclusivamente esse ambiente como a perereca xenohyla truncata de centimetros de comprimento que se esconde no interior das bromelias,1
2003,é o caso daxenohyla truncata uma perereca de ate centimetros de comprimento e pouco mais de gramas que apresenta um comportamento incomum entre os anfibios alimentase de pequenos frutos alem de insetos como e habitual entre esses animais e assim atua na propagaçao das plantas ao espalhar as sementes na restinga de marica onde foi encontrada,1
2004,é do proprio bloch alias o primeiro estudo cientifico utilizando os novos aparelhos uma analise da proteina hylaseptina p extraida da secreçao da pele da hyla punctata uma perereca verdevivo encontrada na amazonia a hylaseptina age contra bacterias causadoras de infecçoes hospitalares como a staphylococcus aureus e a pseudomonas aeruginosa ou um fungo o candida albicans que se manifesta em pessoas imunodeprimidas como mostra estudo publicado em março deste ano no journal of biological chemistry,1
2005,pesquisa fapesp ediçao agosto ciencia zoologia enquanto a chuva nao chega perereca exclusiva da caatinga vive em buracos de arvore que fecham com sua cabeça dura e espinhosa carlos fioravanti ao sentir os primeiros sinais de que a terra esta esquentando e a agua escasseando a jiadeparede se enfia de costas num estreito buraco de arvore e se fecha usando como tampa sua cabeça chata e ossuda em forma de escudo,1
2005,essa perereca de pele lisa e umida que mede de a centimetros de comprimento com as patas esticadas pode ficar alojada ali dentro durante meses ou anos dependendo da intensidade da seca praticamente sem perder agua ate a chuva voltar,1
2005,em um artigo publicado na revista inglesa journal of zoology jared e outros pesquisadores do butantan da universidade de sao paulo usp e da universidade federal de sao paulo unifesp demonstram que essa cabeça rara tem um papel muito mais importante proteger a perereca contra predadores,1
2005,mesmo sabendo do veneno jared com o proposito de mostrar quao dura e magra e a cabeça dessa perereca segura com a mao um dos exemplares trazidos de angicos no rio grande do norte e mantidos no bioterio do butantan,1
2005,com esses espinhos diz jared fica muito dificil para os predadores abocanhar a perereca ou tirala de seu esconderijo,1
2006,ou seja se pegarmos exemplares da perereca mais movel em varios pontos de sua distribuiçao nao havera grande diferença,1
2006,agora qualquer um pode sair pela noite silvestre ou escutar a perereca que mora no chuveiro e tentar descobrir sua identidade,0
2006,de dentro deles saem girinos depositados pela mae na agua empoçada em bromelias conta haddad que mostra a perereca recemencontrada em viagem de campo,1
2006,e sao descobertas mesmo em areas habitadas como a perereca do genero phyllomedusa que vive nos arredores da cidade de sao paulo e ainda nao foi oficialmente descrita,1
2007,alem de alex matilde teve mais quatro filhos e se nao fosse a morte prematura de alexandro de tonha por um colega de bebedeira teria o dobro da molecada pois o negro nao deixava sua perereca em paz era um danado rufiao naquela manha foi grande o alvoroço na casa de matilde o pessoal do conselho tutelar alguns policiais e alguns bisbilhoteiros da imprensa estavam la movidos por uma denuncia anonima,0
2007,pesquisa fapesp ediçao março ciencia bioquimica a boticaria da caatinga perereca produz secreçao rica em compostos capazes de eliminar bacterias e reduzir a pressao arterial iracema corso uma perereca verde com listras negras e alaranjadas ao lado do corpo produz uma secreçao cutanea que mantem sua pele umida mesmo sob o sol intenso da caatinga do rio grande do norte onde vive a maior populaçao dessa especie na america latina,1
2007,mas o que mais chamou a atençao do grupo do butantan foi o terceiro peptideo o phypo xa abreviaçao do nome da perereca somada a indicaçao do tamanho desse peptideo formado por dez aminoacidos,1
2007,ha uma grande variedade de moleculas na secreçao cutanea da phyllomedusa razao por que se estuda tanto essa perereca diz pimenta,1
2007,o veneno de uma perereca que vive debaixo de pedras pode conter substancias diferentes do produzido por outra que se esconde sob folhas ainda que ambas sejam da mesma especie e vivam em um ambiente semelhante explica jared do butantan que ha mais de anos investiga a relaçao entre as peculiaridades da pele dos anfibios e a capacidade de adaptaçao a ambientes hostis,1
2009,eles dependem da temperatura e da umidade do meio por isso sao restritos a seu ambiente diz joao giovanelli da universidade estadual paulista unesp em rio claro que usou modelos ecologicos para investigar distribuiçoes futuras de anfibios da mata atlantica sapos restritos ao alto de montanhas e uma perereca com preferencias mais flexiveis,1
2009,a perereca hypsiboas bischoffi por exemplo pode tirar proveito de periodos menos intensos de frio em algumas areas do rio grande do sul e aumentar sua distribuiçao em,1
2011,uma pererecaverde do grupo das phyllomedusa adota uma tatica defensiva mais refinada ela se deixa comer e enquanto o predador a engole libera substancias que provocam o vomito em menos de um minuto a perereca sai pulando enquanto o predador permanece entorpecido e faminto,1
2012,a baba do sapocanuaru uma perereca malhada de marrom e bege e usada contra dor de cabeça,1
2015,na epoca o pagofunkeiro cantava musicas como me da a patinha perereca pisca e rala a tcheca no chao,0
2015,e a melhor marchinha pra dilma foi no bloco de brasilia em perereca de bigode,0
2015,quem ja engoliu sapo engole perereca vai da bode,0
2015,o zoologo da unicamp luis felipe toledo por exemplo tenta entender como uma perereca supostamente muda da mata atlantica a bokermannohyla izecksohni faz para nao ficar isolada,1
2015,os animais começam a fazer gestos agressivos tratase de uma perereca mimica,1
2015,em cartaz engolindo sapo pra um dia comer perereca comedia r paim bela vista regiao central tel,0
2015,pelo menos nos dias de jogo o peru podia mudar o nome pra perereca,0
2015,veja depoimento de carlos jared que foi envenenado desde vou a caatinga e a perereca foi o primeiro bicho que eu estudei la,0
2015,é o que da catar perereca com pressa,0
2015,porque voce adora uma perereca,0
2016,quem passa por perto da perereca hylodes japi no meio de sua performance precisa ser discreto para nao atrapalhar o ritual de acasalamento,1
2016,a vantagem acreditam os cientistas e poder emitir um sinal apenas em uma determinada direçao onde estaria uma outra perereca evitando atrair um predador com aquele piscapisca no pescoço explica celio haddad professor da unesp e coautor do estudo,1
2016,sinais de perereca os resultados da pesquisa que pela primeira vez descreveu os profusos movimentos foram publicados na revista cientifica plos one,1
2016,em portugues um termo assimilado seria perereca,0
2016,seu nome cientifico faz referencia as cangas encostas ricas em ferro do interior de minas que abrigam os lagos onde a perereca canta e se reproduz e que atraem companhias mineradoras as vizinhanças de mariana ha decadas,1
2016,para sorte da sphaenorhynchus canga uma perereca de pele verdetranslucida e apenas cm de comprimento o mar de lama que vazou das barragens de mineraçao da empresa samarco no ano passado inundou areas de vales enquanto o habitat natural do bicho e mais alto em torno de m acima do nivel do mar,1
2016,rio de janeiro é abominavel saber que de carro ou de onibus pela avenida presidente vargas podemos estar rodando sobre figuras exponenciais da cultura brasileira o poeta silva alvarenga os padreshistoriadores pizarro e perereca e o fabuloso padre jose mauricio o primeiro compositor brasileiro que assombrou o principeregente d joao quando este chegou ao rio em,0
2016,e com isso alvarenga pizarro perereca e jose mauricio estao hoje sob o asfalto da presidente vargas,0
2016,quando ve uma perereca argentina tem um chilik,0
2016,e o mick jagger pula mais que perereca no cio,0
2016,e o mick jagger pula mais que perereca no cio,0
2016,aquele bigode que eu chamo de rodape de perereca,0
2016,e o mercadante com aquele bigode rodape de perereca,0
2016,e voce sabe quando o namoro ta indo pro brejo engole muito sapo e come pouca perereca,0
2016,e pra quem nao sabe xibiu e perereca,0
2016,quando ve uma perereca argentina tem um chilik,0
