ano,sentenca,cluster
1802,constando em a vizinhança e mesmo a os frades de sao domingos o bom exito de o espetaculo todos os vizinhos quiseram ver e nos abrimos a porta a todos retirando se muita gente por nao ter lugar,0
1802,as brincadeiras eram porem tao secantes que alguns de nos adormeciamos em o meio de elas e os padres eram obrigados a mandar nos conduzir a casa por a porta por nao podermos descer por a escada,0
1802,minha avo pediu lhe que viesse a horas mais razoaveis e ele prometeu lhe que de ali por diante seria de os primeiros que se apresentariam em a sua sala mas que lhe pedia para o deixar estar ali em aquela noite ate as duas ou tres horas de a madrugada para chegar a oeiras a horas de lhe abrirem a porta de o patio,2
1802,os padres que segundo a liturgia traziam o palio ate a a porta de a igreja abandonaram o e caiu em o chao mas o principal miranda cavalheiro ilustre e corajoso que levava o sacramento manda abrir a umbrella e sem recuar um passo continua a avançar cercado por os comendadores e cavaleiros de as diferentes ordens,3
1802,por faltar a a sua festa em consequencia de estar gravemente doente doença em que todos acreditaram e enquanto isto se passava ele despindo os seus habitos prelaticios vestia um fato de pescador que lhe tinha arranjado o seu antigo e velho guardaroupa e apesar de os seus setenta e dois anos saia acompanhado de o mesmo criado tambem vestido de pescador por a porta de o quintal e embarcava alta noite em o cais de a pampulha em um barco de pesca que o transportou fora de a barra a a nau almirante de a esquadra inglesa,0
1802,muitas vezes batia a a porta de bemfica a as horas de a noite os criados abriam e iluminavam as salas e ele dizia lhes que vinha tao somente para rezar o ultimo psalmo de laudas porque estava tao obtuso que lhe tinha esquecido de cor e precisava ler o,0
1802,a a hora marcada estava a a porta a equipagem que ja descrevi mas so passado muito tempo descia meu tio de capa e volta acompanhado de certo numero de criados porque era rigido observador de a etiqueta e levando a a sua direita o principe miguel pronto a montar a cavalo ou a entrar em a carruagem conforme lhe ordenassem,0
1802,em a vespera dizia o senado principia as suas sessoes a as horas a as e meia quero a carruagem a a porta,0
1802,uma de as legioes tinha formado alas em o passeio publico junto a a porta de os noivos,3
1802,a entrada aqui era dificil pois que quase que era preciso arrombar a porta mas logo que ela se abria ficava se surpreeendido com a beleza de a escada de magnifica e elegante arquitetura e com o grande numero de criados que apareciam com velas acesas em castiçais de prata,0
1802,um dia indo visitar o encontramos o seu cadaver porque tinha expirado em o momento em que a minha carruagem parava a a sua porta,2
1812,agora como aqui entrou o seu caixeiro por onde entrou e quem o introduziu nao sei sei eu a porta tinha ficado aberta e ao mesmo tempo que soaram estas palavras as pessoas que se achavam em roda da senhora thereza viram no meio da sala um preto decente e respeitoso,2
1812,sahindo por esta porta e indose embora,2
1812,alfredo dizendo isto metteu nas maos do car cereiro um maço de bilhetes e muito senhor de se foi se escoando pela porta for acompanhado de seu pajem,0
1812,o corpo da desgraçada tombou sobre o chao e ele batendo a porta sobre os batentes trancoua com desespero,2
