ano,sentenca,cluster
1800,esta com forme asinei manoel victo tudo fica para decedir escrivam fundador em junta no dia de fevereiro jose do nacimento de digo juis danil corria thezoureiro gregorio manuel bahia o thezoureiro joaquim do naçimento de jesus o andador rudriguez da cuz vellozo cunsultor ignacio de jesus roberto tavares franca manoel da comceicam procurador geral vosto para ajusta de de fevereiro de comment leiase voto para a junta,1
1800,aos vinte e sete dias domes de novembro estando o provedor emais mezarios em meza estraordinaria prestouse por meio de escortino adiliberaçao aque esta emos a dita meza para adecizao do nosso irmao manoel da paixao q por huma carta semandou sedespedir quando ameza onao quizesse estar pella sua opiniao cujo aucto praticamos por escortino sahio onosso irmao vencido com oito voto de sua parte epor parte dadevoçao quinze votos o q ficou em se comonicar por huma carta ao nosso irmao dito adeliberaçao da meza e fican do adiado hum novo balanca o q a caza possue em proxima reuniao e seguirse osafazeres adiado do nosso irmao marco joze do rozario logo q este comprimento de mais nececidade secompri epor esta com forme mandou lavra,2
1802,concluirei por dizer que era um homem tao firme em os seus propositos e tao escravo de a sua palavra que sendo comendador de sao thiago e de varias ordens estrangeiras depois que saiu de a corte nunca mais as trouxe mas como em a qualidade de cavaleiro professo em a ordem de sao thiago tinha feito voto de nao largar a cruz de a ordem trazia a em todas as casacas sobrecasacas e mesmo nizas nao a largando nunca nao por beaterio porque conquanto religioso nao era ultramontano mas porque a isso se tinha comprometido,3
1815,tambem nao sou de voto que se va ao festim da casa dos vinte e quatro para ouvir o juiz o correeiro et reliqua a soletrarem pessimos versos deus nos acuda,1
1815,character pachorra agora quanto a loja o meu voto e que um botequim nao se avalia pelos espelhos nem pelos doirados a paparoca e que decide,1
1825,as forças populares de seis freguesias que ai estao reunidas fora no terreiro desta ilustrissima casa mandaramme a mim a frente dos seus doze comandantes que se acham presentes declarar a vossa excelencia que por voto geral foi aclamado general em chefe desta provincia,3
1829,voto de paz em tao provado e impetuoso guerreiro,1
1829,que trabalha pela consecuçao de seus fins celebrar o aniversario de sua instalaçao com a reuniao maxima de seus associados para nao so fazerlhes sentir o progresso de seus trabalhos se o tem havido os estorvos que pode ter encontrado em sua marcha e indicar os meios de que espera tirar vantagem para o seu intento mas ainda para por meio da liberdade do voto fazer que os diversos empregos quer intelectuais quer administrativos passando a outras pessoas deixem repousar os que ja tem servido e ofereça alimento e exercicio a outros talentos e atividades a academia de ciencias medicas imita hoje tao louvavel exemplo e cumpre ao mesmo tempo a letra de seus estatutos comprazendose de se achar solenemente reunida nas pessoas de seus mui dignos e prezados,3
1829,e se defeitos teve como legislador se concorreu para o banimento do fundador do imperio se apoiou com seu voto as tentativas de um partido politico nao era a ambiçao nem a cobiça que o dirigia como a outros era sim o muito amor que tinha a liberdade de seu pais que o fazia quase democrata era o exaltamento daquela epoca de desconfiança e de duvida que o levaram a segregarse do partido do norte a ponto de ser intitulado estrela do norte o,3
1829,mas seu voto nao era um voto cativo da vontade deste ou daquele homem deste ou daquele partido era o voto da sua alma e do seu coraçao,3
1829,aproveitando o silencio da noite chegue ao teu verdejante trono celestial puro e genuino como vai partir do intimo da minha alma sentindo acerbo desgosto que minha vida consome do fado sofro os rigores do prazer so sei o nome se o destino me maltrata doce esperança m alenta o meu triste coraçao so ela e quem aviventa e agora que ja prestei um voto de homenagem a ela minha companheira fiel agora que ja cantei em cadenciosas expressoes a esperança filha querida dos ceus vou curvarme as leis do eterno e descansando sobre o solitario leito ai talvez esqueça por alguns instantes as ideias melancolicas que inda ha pouco me ocupava a mente,1
1829,nao e este o voto dos meninos dissidentes do reconcavo a exceçao dos aristocratas que de ma fe fazem barreira ao sistema politico desta capital,3
1830,joao da cruz brandao patricio amarem campanez dativo jose de oliveira fermino luciano de jesus leopoldo gregorio souza ribeiro foram aprovados x o de sebastiao antonio do nascimento ficou adiado liberato manoel paulino e avelino mares de souza aprovados x sobre o requerimento do senhor severiano pedro da silva pediu a palavra o senhor visitador e depois de alguma ponderaçoes disse que negava seu voto em seguida pediu a palavra o senhor tesoureiro e depois de ter tambem feito certas ponderaçoes disse que devia ser este requerimento apresentado a assembleia pediu a palavra o secretario e disse que nao dava seu voto ao requerimento do senhor severiano visto ele se achar atrasado mais de anos de suas mensalidades e que devia fazer nova entrada perdendo o tempo que ja,1
1830,aprovado em sessao de por maioria de voto marcolino jose dias às ½ horas da noite de nove de novembro do ano de mil oitocentos e oitenta e sete conforme foi convoca da compareceram na sala das sessoes desta sociedade protetora dos desvalidos os ilustrissimo senhores vicepresidente capitao mar colino jose dias º secretario felipe benicio º dito lucianno da silva serra jose augusto trigueiro de lima francisco amaro paraizo faustiniano fernandez,2
1830,foi pelo º secretario oferecido a sociedade um quadro sem moldura com os nomes dos senhores membros do conselho e dos suplentes ao qual o senhor presidente em nome da sociedade agradeceu o senhor visitador pediu que se inserisse na ata um voto de louvor ao secretario pela a oferta posto a votos foi unanimemente aprovado,2
1830,vai indo assim dar com o fim no cabo da boa esperança o socio narçizo perdooume meu socio que sem pre o respeitei como amigo e como socio e respeita va mais nao arroguei a tanto o direito para que desse um aparte deste que tambem desejava toda as propriedade mais que em vista da lei que por esta ou por aquela forma hoje voto o requerimento da entrada do candidato em vista do artigo que requeiro a º secretario º dos estatutos,1
1830,palavra o socio geraldo e disse enquanto a mim senhor presidente nao acho bom dizer que nao se pague juros pois se a lei diz muito expressa que o juro sera nosso capil como e que diz nao se pagara juro pediu palavra o socio e bracete e disse como dizem os senhores que nao acha bom este artigo botese abaixo eu sou de voto de se nao emprestar dinheiros entao vamos a ver como se faz isto pediu palavra o socio narcizo e disse vossa senhoria mande ler o do artigo dos estatutos depois de lido este artigo respondeu o senhor presidente eu quando abri a sessao senhor socio mandei ler os artigos para inteligencia mi nha e de todos e para poder fazer as discussoes disse o,2
1830,para a outra sessao e ficou neste dia sustada a suspensao ate a outra sessao dado este esclarecimento o senhor presidente pos em discussao a reforma do regimento dando a palavra aquele que quisesse discutir a respeito antes disto disse o senhor presidente trato de aprovar e desaprovar a dita e menda que submetida de novo a diz que o anista so tera º voto igualmente com os mais socios e que os emprestado fosse com seu competente juro e todos os socios que tivesse nota fosse suspenso por ano de todo direito que e devido entao queria o senhor presidente que a suspensao fosse so por seis meses e que ia submeter em votaçao correndo o escrutinio foi aprovado por ano a suspensao com a maioria de votos,2
1830,do dia de junho de presidencia do senhor socio ma noel leonardo fernandes abriu o dito senhor ao meiodia feita a chamada na forma do costume achavamse presente senhor socios lida ata anterior foi apr ovada tambem leuse um anuncio no diario que o conselho tinha mandado publi car para todos os senhor socios se a charem presente nesta sessao para virem dar seu voto sobre as emendas do regimento depois de feito este trabalho levou o senhor presidente ao conhecimento do conselho que o numero de socios era poucos para se aprovar os artigos que estava em discussao porem meto em votaçao para saber se a assembleia se quer ou nao aprovar com o numero que tinha pois ja fazia tres sessoes e a inda nao estava decidido,2
1830,bahia de novembro de faustino cirne presidente presidencia do senhor faustinno joaquim de santana trindade sirne às horas da noite presente senhor presidente vicepresidente º secretario º dito tesoureiro visitador arquivista o presidente declara aberta a sessao e procede a leitura da ata da sessao anterior o presidente pos a voto e foi aprovado foram apresentado requerimentos sendo aprovado e um para comissao de sindicancia º senhor joao antonio de oliveira º massimianno jose do sacramento º alichadri migel de araujo fransisco xa vier de sa ribeiro º paulino antonio batista º antonio apolinario dias foi remetido para sindicancia º ricardo martinez,1
1830,bahia de novembro de faustino cirne presidente presidencia do senhor faustino joaquim santana trindade sirne às horas da noite presente o senhor presidente º secretario º dito visitador arquivista o presidente declara aberta a sessao e procedese leitura da ata da sessao anterior o presidente pos a voto nao havendo quem usasse da palavra o presidente deu por aprovada foi lida uma participaçao do senhor tesoureiro que por motivo imperiosos deixava de comparecer a sessao foi lido o requerimento do senhor luiz da fransa lopes aprovado e senhor diunizio alvis bispo da costa aprovado e siprianno migel da silva aprovado para ser descontado da quantia de duzentos mil reis existente em deposito,2
1830,o senhor presidente mandou ler o requerimento e despacho do senhor excelentissimo presidente da provincia no qual constava a sua demissao pedida por ele a vista do despacho o senhor presidente cingiu ao artigo do estatutos chamando o senhor socio pantaliao lopes vilas boas para o lugar de presidente porem o dito senhor recusou dizendo que nao era o imediato em voto,2
1830,que a vista do despacho chamase o imediato em voto o qual procedeu a eleiçao de de outubro de,2
1830,cusos e o senhores expresidente jose pedro do sacramento joao theodorio da sulidade amansio benedito dos passos manoel leonardo fenande continuou o senhor presidente o trabalho da eleiçao chamou para lugar de presidente o senhor socio manoel francisco do santos por ser o imediato em voto,3
1830,ata da sessao do conselho da sociedade protetora dos desvalidos em de outubro de presidencia senhor faustino joaquim de santana trindade foi aprovada em de outubro de faustino cirne às horas da noite presente senhor presidente vicepresidente º secretario º dito tesoureiro arquivista o presidente declara aberta a sessao e procedese a leitura da ata da sessao anterior o pos a voto nao tendo quem usasse da palavra sobre ela deu por aprovada foi apresentada uma participaçao intir da intendencia intimando para se fazer os passeio em frente a propriedade do,2
1830,º paragrafo unico artigo º e seus paragrafos º e seus paragrafos º e seus paragrafos º e seus paragrafos º e seus paragrafos pede a palavra o socio francisco paraizo sobre o paragrafo º do artigo º manda um requerimento a mesa usa da palavra o socio theodoro gomes batendo com energia a emenda pede ao presidente que mande inserir na ata um voto de protesto e que ele vota contra a emenda pede a palavra em defesa a sua emenda o socio francisco paraizo trocandose diversos apartes entre os socios florencio friandes luiz gonzaga manoel ferreira alvino do bomfim e vicente torquato usa da palavra o socio amancio seixas em defesa do paragrafo º do artigo º concluindo requerendo que o tesoureiro deve fazer suas despesas com,2
1830,poremse em dias pois que acha o prazo que foi aprovado para o prazo da sua execuçao e pequenino e nao deve socio algum julgarse sacrificado com os presentes estatutos pede a palavra o socio theodoro gomes como membro da comissao ocupando a tribuna por algum espaço de tempo congratulandose com os seus companheiros de comissao terminando pede que seja inserido na ata um voto de louvor a todos que coadjuvaram para tao brilhante fim usa da palavra o socio francisco paraizo louvando a todos que tomaram parte na execuçao dos estatutos pede algumas explicaçoes trocamse apartes em continuaçao pede que se mande fazer anuncios sobre as deliberaçoes tomadas a fim de que os socios que nao se apresentarem fiquem cientes pede a palavra o socio membro da comissao,2
