ano,sentenca,cluster
1829,martim sentiu quanto um amigo verdadeiro e precioso na desventura e como o outeiro que abriga do vendaval o tronco forte e robusto do ubiratan quando o broca o copim,0
2000,tambem controla a broca ou molequedabananeira que perfura a raiz e o caule da planta e veicula doenças como o maldopanama um fungo que ataca a bananeira e contamina o solo,1
2000,pesquisa fapesp ediçao abril tecnologia no rumo de marte a agencia espacial americana a national aeronautics and space administration nasa esta testando em seus laboratorios alguns prototipos de tubos de diamante dotados de uma especie de broca para perfurar e retirar material para analise do solo do planeta marte,1
2000,segundo parra ocorreu um aumento de no ciclo total de desenvolvimento da broca que passou de cerca de para dias ate a fase adulta,1
2000,isso nos deu força para intensificarmos o trabalho e hoje ja temos o primeiro produto em vias de industrializaçao que e a broca de dentista afirma,1
2000,em um dos cantos do laboratorio de biologia molecular de plantas sob os olhares atentos da equipe do biologo molecular marcio de castro silvafilho crescem amostras de cana resistente a infestaçao pela broca,1
2001,interesse industrial o centro guarda ainda uma copia de operon trecho do genoma que controla a expressao de um conjunto de genes em bacterias e de uma bacteria xylella que produz uma goma semelhante a xantana espessante de alimentos e remedios e lubrificante de broca para exploraçao de petroleo,1
2002,as pontas de broca da clorovale custam entre r por rotaçao e r ultrasom e sao bem mais caras do que as de diamante convencional r,0
2002,a maior novidade e uma broca que funciona por vibraçao a partir de ondas de ultrasom,0
2002,resultado de seis anos de pesquisas a nova broca esta sendo encarada pelos dentistas como uma revoluçao na odontologia,1
2002,a broca explica o pesquisador e adaptavel aos aparelhos de ultrasom usados para tratamentos de periodontia tratamento de problemas na regiao do dente proxima a gengiva existentes nos consultorios dentarios,0
2002,isso acontece porque essa broca atinge a cavidade dentaria pela vibraçao sem esmagar a dentina regiao onde ficam os filamentos nervosos que dao sensibilidade ao dente,0
2002,a empresa tambem esta colocando no mercado uma broca de rotaçao convencional com ponta de diamantecvd um material obtido por meio do processo deposiçao quimica na fase vapor chemical vapor deposition,1
2002,os royalties serao divididos entre a clorovale o inpe e a fapesp que participou do projeto da broca para aparelhos de ultrasom por meio de financiamento do programa de inovaçao tecnologica em pequenas empresas pipe,1
2002,tambem conhecido como broca gorgulho e carpinteiro o caruncho tem um ciclo de vida de apenas a dias,1
2002,a empresa prepara tambem o lançamento de uma versao dessa broca que e acoplada a um aparelho de ultrasom proporcionando um tratamento sem aquele barulho infernal das brocas convencionais e sem dor para os pacientes,0
2003,correçoes os dados sobre a intensidade da infestaçao da broca na canadeaçucar estao errados,1
2003,a produçao mensal da bug de milhoes de inimigos naturais da broca e suficiente para o controle biologico de mil hectares de canadeaçucar,1
2003,no processo industrial devido a podridao vermelha causada pela broca em associaçao com fungos ocorrem mudanças quimicas como transformaçoes da sacarose diminuiçao da pureza do caldo e contaminaçao do processo de fermentaçao alcoolica fatores que levam a um menor rendimento do açucar e do alcool,1
2003,se a broca atingir de intensidade de infestaçao o que nao e dificil serao,1
2003,dieta especial o controle biologico da broca e feito com uma pequena vespa importada acotesia flavipes que parasita a praga no estagio de lagarta,1
