ano,sentenca,cluster
1876,assim como acabamos de demonstrar sendo estes os unicos e verdadeiros principios claro e que muito bem andou o juiz que presidiu a sessao de de março em mandar fazer a reduçao ao cambio desse dia,1
1876,como pode esse juizmodelo do arbitrio saber que a cotaçao do cambio em o dia de outubro de ou em julho de era superior ou inferior a do dia de março se nenhum documento juntaram os signatarios da petiçao de folhas nem tinham que juntar porque isso nao requeriam mas pediam apenas que fosse convocada nova reuniao para de novo discutir o direito que lhes assistia,1
1876,mas o juiz a quo diante dessa petiçao sem um so documento por onde pudesse verificar o cambio do dia de outubro de ou de julho de sem que lhe fosse isso requerido porquanto na petiçao os seus signatarios pediam apenas que se convocasse nova reuniao a fim de discutirse convenientemente este ponto sofrego para demonstrar aos seus clientes a sua dedicaçao decretou a reduçao do credito dos suplicantes a destituiçao dos sindicos e convocou nova reuniao nao para discutirse convenientemente este,1
1876,plano reassumir o exercicio para exercer o seu mandato depois de para desempenhalo anular tudo quanto se houvera feito anteriormente depois de sem previo conhecimento da procedencia daquilo que alegavam os credores ora dissidentes anular as deliberaçoes ja tomadas pelos credores da massa falida de albino jose milhazes depois de sob o falso pretexto de dever ser reduzido o credito dos meus constituintes ao cambio do dia ate quando se retrotraem os efeitos da falencia e nao ao do dia do pagamento e isto quando sua senhoria nenhum documento tinha porque nao lho forneceram os requerentes documento que lhe testificasse se pelo cambio do dia de outubro de o credito dos meus constituintes importava em mais ou menos do que pela reduçao feita no dia de março diminuir o,1
1876,nao ha duvida justa e legalmente foi decidido em aquela sessao que o credito dos agravantes fosse reduzido a moeda corrente do pais ao cambio do dia em vista da clara disposiçao do artigo do codigo comercial que diz title artigo segunda parte se a divida for em moeda metalica na falta desta o pagamento pode ser efetuado na moeda corrente do pais ao cambio que correr no lugar e dia do vencimento e se havendo mora o cambio descer ao curso que tiver no dia em que o,1
1876,mas como tudo isso ainda fosse insuficiente para sobrepujar o credito dos agravantes que a cambio de sete e tres oitavos importa em u e so tendo comparecido a reuniao que ilegalmente realizouse em de maio os credores francisco cardoso silva c cujo credito importa em u quintiliano martins da silva junior cujo credito importa em u benigno alves boaventura cujo credito importa em u quintiliano martins da silva cujo credito importa em u jacintho jose de souza cujo credito,1
1876,mas se considerarmos que no dia da primeira reuniao de credores devese fixar o valor do passivo da massa verificandose os creditos concorrentes a ela em ordem a computarse os votos para as deliberaçoes dandose portanto um como virtual pagamento a reduçao dos creditos de moeda metalica para moeda corrente do pais so deve ser feita ao cambio do dia da reuniao de credores,1
1876,e que disposiçao de lei existe em nossa legislaçao que autorize o despacho de folhas a folhas que mandou que a reduçao dos creditos em moeda metalica fosse feita ao cambio do dia de outubro de dia ate quando se retrotrairam os efeitos da falencia,1
1876,como o unico credito nesta especie que concorria a massa era o dos meus constituintes joao schuback filhos dele so se fez a reduçao na reuniao e em presença de todos os credores sem que nada alegasse qualquer deles contra a forma e modo por que foi feita alias porque inatacaveis eram por ser a decisao proferida pelo juiz sobre o cambio de que data devia ser feita a reduçao decorrente da clara disposiçao do supracitado artigo do codigo comercial,1
1876,ao cartorio do honrado senhor major sapucaia escrivao do feito e pedindolhe os autos vi uma petiçao em que os credores ora dissidentes solicitavam do juizo a convocaçao de uma nova reuniao de credores na qual trataria do modo por que se devia fazer a reduçao do credito de joao schuback filhos meus constituintes que na opiniao dos mesmos peticionarios devera ser feita ao cambio da epoca em que o falido deixou de negociar sic julho de e nao ao do dia da primeira reuniao de credores como alias acertadamente fora feita,1
1876,isto se verifica nem so das palavras com que sua excelencia formula a questao as quais acima transcrevi como do trecho seguinte em face da ata da eleiçao de que se trata e da qual consta a erroneidade da base do calculo do cambio do credito dos agravantes trecho que se le no artigo sexto da serie que escreve,1
1876,se ao digno prolator do despacho agravado era facultado anular a eleiçao de sindicos e membros da comissao fiscal efetuada a de março do corrente ano sob fundamento da infraçao do preceito do artigo unico da lei numero de de outubro de em virtude de erro de calculo do cambio referente ao credito de schuback filhos para os efeitos do computo do valor correspondente a mais da metade do passivo e a que se refere o artigo precitado para demonstrar que competencia nao faltava em sustentaçao de sua tese ao juiz a quo para decretar a nulidade do deliberado e resolvido na reuniao de credores efetuada em de março do corrente ano sua excelencia,1
1876,tal divergencia e o ter o digno magistrado calculado pelo modo indicado o cambio referente ao credito dos agravantes mais favoravelmente a estes tais circunstancias so contra producentemente podiam ter sido invocadas como o foram pelo senhor doutor lago contra o mesmo magistrado,1
1876,o falido e aqui começa a exposiçao do fundamento do mencionado pedido cessou o exercicio do comercio em julho de portanto o seu passivo legal e aquele que na mesma data podia apurarse pela sua escrituraçao ou correspondencia e partindo desse principio que e verdadeiro e logico que o cambio a fazerse nos creditos de qualquer credor estrangeiro devia ser o daquela epoca,1
1876,essa declaraçao formuleia eu do modo que se segue afigurouse aos agravados e mais credores da petiçao a folha que semelhante computo nao obedecera absolutamente as normas juridicas aplicaveis a especie pois o cambio ao inves de calculado ao modo exposto deveria selo de acordo com a cotaçao de data anterior a da predita reuniao a em que se realizara a primitiva eleiçao,1
1876,declarei na minha contraminuta de agravo que o fundamento do requerimento que precedera a decisao agravada e em que solicitouse a convocaçao da reuniao de credores a que se refere o senhor doutor pedro lago fora o haver sido feito injuridica ou irregularmente o computo do cambio atinente ao credito dos agravantes,1
1876,invalidalos pois que legalmente nao existe cousa alguma que reduzira nada l arntds trattato delle pandette prima versione italiana del prof filippo serafini numero obviamente resulta que ainda independentemente do requerimento que precedeu a decisao agravada poderia o digno doutor juiz a quo em face da ata da eleiçao de que se trata e da qual consta a erroneidade da base do calculo do cambio do credito dos agravantes declarar como declarou sem efeito a mesma eleiçao,1
1876,ora como ja esta averiguado a reduçao do credito dos agravantes a moeda brasileira a fim de computarse o respectivo valor por sua vez elemento para calcularse a metade do passivo de que trata o dispositivo supra transcrito fezse ao cambio do proprio dia segundo os agravantes em que realizouse a eleiçao de que se trata,1
1876,eu e obvio que eles desconhecendo na dita eleiçao a verificaçao da maioria legal a que se refere o artigo unico do decreto numero de de outubro de so por tal fato e contrariamente ao que pretendem os agravantes opugnaram a daquele ato ao qual alias podese dizer explicitamente se opuseram quando no final do seu requerimento declararam que pelo modo como calcularase o cambio em referencia ao credito dos agravantes ficara falseada a nomeaçao de sindicos definitivos e membros da comissao fiscal,1
1876,do corrente ano alegaram em substancia antes de tudo os agravantes na sua minuta de agravo com respeito ao ponto de que estou a me ocupar porque na petiçao que precedeu o despacho agravado nao requereram propriamente os credores peticionarios a nulidade do predito ato e sim o que fizeram foi pedir a convocaçao de nova reuniao para tratarse do modo de calcularse o cambio referente ao credito dos agravantes,1
1876,title falencia albino milhazes title vii alegaram ainda os agravantes que o honrado juiz prolator da decisao agravada nao devera declarar nula a eleiçao levada a efeito na reuniao de credores realizada a de março porque nao teve presente documento demonstrativo de que a cotaçao do cambio de de outubro do ano proximo preterito a qual segundo o digno magistrado deveria servir de base para a reduçao a moeda brasileira do credito dos agravantes fora efetivamente superior a taxa cambial da data da predita reuniao,1
1876,o desconhecimento dos principios reguladores do calculo do cambio em questao nao foi absolutamente causa principal ou exclusiva da predita eleiçao de modo que se possa ter como certa a determinaçao da vontade das partes no sentido de nao celebrarem a mesma eleiçao para o prosseguimento do processo e falencia se plenamente informadas estivessem elas daqueles principios,1
