ano,sentenca,cluster
1802,nao sei se foi por o meu titulo de marques porque havia entao poucos em lisboa se por a minha qualidade de criança que fiquei colocado a a direita de o presidente e fui um de os primeiros a assinar a representaçao que se dirigia a o imperador,0
1802,a a hora marcada estava a a porta a equipagem que ja descrevi mas so passado muito tempo descia meu tio de capa e volta acompanhado de certo numero de criados porque era rigido observador de a etiqueta e levando a a sua direita o principe miguel pronto a montar a cavalo ou a entrar em a carruagem conforme lhe ordenassem,0
1802,meu tio alorna sabendo que os seus proximos parentes e antigos camaradas estavam comandando forças de o outro lado de o tejo ordenou a o seu ajudante de campo jose manuel irmao de o marques de tancos que fosse a os postos avançados franceses que ocupavam a margem direita de o rio e procurasse falar para os nossos postos avançados a ver se algum de os seus parentes de ele marques de alorna se prestava a uma entrevista para assim ter o gosto de haver noticias de sua mulher e parentes de quem nada sabia havia muitos meses,0
1812,o homem com os olhos embebidos em seus caracteres sem pestanejar sem mover seus labios parecia absorto ou em profundos pensamentos ou nas ideias que lia sobre a pagina direita do livro e primeira coluna,0
1812,assim falando o homem da lei ajoelhouse a direita do mancebo e ambos alternando a sua suplica ora ram assim meu deus disse o juiz de paz por falta de fe eu nao serei repreendido como reprehendestes a pedro a que dissestes homem de fe mesquinha porque du vidastes,0
1812,qual escolhe a da mao direita ou a da esquerda,0
1812,tomarei a da mao direita disse ele,0
1812,o pachola com um pequeno bordao na mao direita e uma boa faca na esquerda posse a esperar,0
1812,mas o pachola que tambem era mestre no mesmo jogo levavalhe a melhor porque era ambidextro assim com a faca na mao esquerda e o bordao na direita nao so acometia como nao deixava o mandigueiro aproximarse pode pois dizerse que este serviase de uma so arma enquanto o seu adversario serviase de duas,0
1812,o mandigueiro que era mestre no jogo da faca tendo esta na mao direita e o bordao na esquerda batiase como um leao,1
1815,o marques e seu sequito saem indo a ala direita pela esquerda e a esquerda pela direita,0
1815,à direita num cravo e sobre este papeis de solfa e um machete,0
1815,beijalhe a mao character mariazinha pondose em pe e com a mao direita em açao de abençoar à parte rindose grupo de sao benedito recebendo a bençao da virgem,0
1815,à direita lugares para mulher a esquerda para homem,0
1815,forma a guarda com o tambor a direita,0
1815,retirase pela direita alta cena iii os precedentes e o alferes o alferes entra pela porta esquerda alta finge vir debaixo da rampa,0
1815,retira pela direita baixa cena v as mesmas na janela ensaiador e casaca povo e logo o alferes character mariazinha abre a adufa foise,0
1815,cena vi os precedentes e dom braz que vem pela direita alta character mariazinha fecha a adufa adeus,0
1815,o cortejo desce pela rampa atravessa a cena e desaparece pela direita,0
1815,maranhoa e casimira entrando pela direita,0
1815,depois de formado o circulo direita volver,0
1815,vao entrando espectadores homens para a galeria esquerda e mulheres para a direita,0
1815,faz continencia e da meia volta a direita,1
1815,character juiz logo que chegue sua excelencia mariazinha e honorata sentamse a direita,0
1815,à direita casa sendo o º andar com janela de adufa e porta praticaveis que figura fazer esquina para o largo da fundiçao e rua do jardim do tabaco,0
