ano,sentenca,cluster
1802,a sentença foi impressa e apregoada a a venda por os cegos segundo os nossos costumes e eles ou por acaso ou induzidos por alguem de coraçao duro apareciam a miudo por bemfica junqueira e boa morte onde residia a mulher de meu desgraçado tio gritando sentença de morte contra dom pedro de almeida exmarques de alorna,0
1802,tinha uma fisionomia de santo que ainda hoje me esta impressa em a memoria,1
1825,entregueime ao genero chamado reclame e comecei a chamar a atençao do pais para toda a coisa impressa poema ou tragedia romance ou farsa,1
1845,se casal deseja uma publicaçao em que de vez em quando publique um artigo e desabafe ca tem a nossa e vera ao menos a sua prosa impressa com um requinte um luxo um eclat como em portugal jamais se viu,1
1845,a sua beleza esta em nao ser quase um livro uma coisa impressa mas uma grande realidade viva em que nada e de papel e tudo de substancia viva,1
1996,pronto ele sera utilizado inicialmente na produçao impressa e eletronica de periodicos de varias areas o que devera acontecer dentro de aproximadamente um ano,1
1998,bastara ao estudioso localizar no cdrom os papeis de seu interesse para em poucos minutos ter uma copia impressa perfeita do documento original,1
1999,a avaliaçao nos permitira por exemplo decidir por cortes de assinaturas em versao impressa das revistas reduzindo custos diz rosaly favero,1
1999,a historia e as ideias de einstein a exemplo da frase a paz nao pode ser obtida pela força mas conquistada pelo entendimento impressa no cartaz sintetizam o espirito de trabalho da equipe segundo ela,1
2000,por essa razao e que na europa os convites para a celebraçao do dia dos namorados costumam trazer impressa a imagem de um escargot,1
2000,nao tinhamos nenhuma assinatura impressa e nem recursos para isso,1
2001,como ainda nao havia editoras de livros muitos autores e ate movimentos literarios ficaram conhecidos graças aos periodicosniteroi por exemplo a primeira revista brasileira de que se tem noticia impressa na frança foi espaço de veiculaçao dos escritores do romantismo,1
2001,embora seja muito conveniente para a fapesp a recepçao dos pareceres nesses formularios e em versao impressa os assessores devem se sentir a vontade para imprimir os formularios e utilizalos para uma versao manuscrita do parecer,1
2001,para a semiologa maria lucia santaella braga diretora do centro de investigaçao em midias digitais da pontificia universidade catolica de sao paulo cimidpucsp financiado pela fapesp que encerrou um estudo pratico e teorico sobre os usuarios da hipermidia a figura do internauta deu origem a um novo tipo de leitor do qual sao exigidas habilidades totalmente diferentes das solicitadas dos receptores da palavra impressa ou da imagem em movimento do cinema e da televisao,0
2001,as afirmaçoes sao da semiologa alema karin wenz da universidade de kassel que estuda as diferenças de percepçao proporcionadas pela palavra impressa e o cibertexto,1
2001,alem dos modulos dessas disciplinas o programa tambem tem uma seçao especifica dedicada ao desenvolvimento sensoriomotor e fornece uma avaliaçao impressa do desempenho das crianças nos exercicios,1
2002,neste mes o estudo do grupo que ja entrou nos estados unidos com o pedido de patente do novo gene e das proteinas que ele produz sai na ediçao impressa do american journal of human genetics,1
2003,feitos por grupos concorrentes ambos os artigos renderam a principal chamada de capa da ediçao impressa de outubro da nature genetics,1
2003,na ediçao impressa de de novembro passado o mesmo pnas estampou em suas paginas um artigo que faz um balanço do uso conjunto do orestes e da tecnica mais tradicional de geraçao de ests no estudo de genes ligados a uma das mais desafiadoras doenças humanas o cancer,1
2003,entre os tesouros estavam a biblia impressa em moguncia de e estudos de rafael michelangelo e rubens,0
2003,a velocidade impressa as inovaçoes tecnologicas nos paises centrais ja a partir dos anos por exemplo fez com que muitos deles deixassem de acompanhar o ritmo de atualizaçao dificultando e ate impedindo a manutençao dos respectivos processos de substituiçao de importaçoes,1
2004,todo esse complexo de divulgaçao em que a fapesp vem investindo resultou por exemplo no periodo de o de março a de maio deste ano em citaçoes do material produzido pela fundaçao na midia impressa nacional,0
2004,essa ideia tambem sera estendida para a midia impressa,1
2004,esse mecanismo exerce uma clara influencia sobre os antigenos cuja diversidade deve aumentar de modo significativo disse a ricardo zorzetto de pesquisa fapesp benoit van den eynde do instituto ludwig para pesquisa do cancer em bruxelas belgica coordenador do estudo publicado online pela science em de março e apresentado na versao impressa da revista em de abril,0
2004,antes de comentar o cardapio desta ediçao alias a meu ver saboroso e suculento o suficiente a ponto de satisfazer paladares exigentes gostaria de compartilhar com os leitores nossa alegria por mais uma vitoria de profissionais da equipe da revista pesquisa fapesp conquistou no mes de setembro os dois primeiros lugares do premio de reportagem sobre a biodiversidade da mata atlantica na categoria midia impressa concedido pela aliança para conservaçao da mata atlantica,0
2004,o impacto das imagens transmitidas pela televisao foi tao grande que provocou uma mudança radical na midia impressa,1
2004,num momento que era dos mais delicados pois o mundo presenciaria num pequeno intervalo de tempo conflitos na coreia e no vietna cujas imagens nas telas das televisoes e na midia impressa iriam marcar para sempre coraçoes e mentes norteamericanas,1
2004,a midia impressa foi mais incisiva principalmente nos editoriais,1
2004,os resultados desse trabalho coordenado por anamaria camargo do ludwig e por mari cleide sogayar do instituto de quimica da universidade de sao paulo usp foram publicados online no final do mes passado e sairam no dia º deste mes na versao impressa da revista genome research,0
2004,a primeira ediçao dos originais guardados pelo arquivo historico ultramarino foi impressa em,1
2004,pesquisa fapesp ediçao março politica de c t biossegurança novidade do oriente sulcoreanos extraem celulastronco de embriao humano e reabrem polemica marcos pivetta na era digital algumas publicaçoes cientificas costumam antecipar em suas paginas na internet uma parte do conteudo que em questao de dias aparecera em sua tradicional ediçao impressa,0
2006,esse atraso deve prejudicar a distribuiçao da versao impressa da tabela integral proibida durante o periodo eleitoral por trazer a logomarca do governo federal,1
2006,alem de poder consultar sem restriçao os textos publicados na versao impressa de pesquisa fapesp o internauta encontra no site seçoes especialmente produzidas para o meio virtual,0
2006,leopoldina para alem da clareza que demonstrava quanto a força politica da palavra impressa sabia que era uma peça importante como pivo da santa aliança no brasil na construçao de alternativas ao imperio portugues observa andrea,0
2006,rosilene ressalta que ele cooptou grande parte da impressa a começar pelo acordo que firmou com assis chateaubriand dos diarios associados,1
2007,o comparsa foi la numa bolsa preta e pegou la um plastico com uma folha mal impressa que trazia tropa de elite escrito com uma fonte meio linha direta e umas fotos nao identificaveis que deviam reproduzir cenas do filme,1
2007,para ficar so em alguns exemplos da midia impressa internacional jornais como o frances le monde o britanico financial times e o norteamericano the wall street journal noticiaram o estudo,1
2007,ou seja sua presença na publicidade o programa de tv divino maravilhoso e as fotografias e as reportagens sobre o movimento na impressa mundana seçoes de cultura de jornais e revistas,0
2008,talvez isso tenha a ver com a carga emocional e afetiva impressa em cada recordaçao responde o pesquisador,1
2008,foi a primeira vez que a equipe da revista atuou nessa frente de colocar renomados pesquisadores em contato direto com o publico sem a intermediaçao do texto escrito seja o das reportagens da publicaçao impressa ou o das noticias da versao online e sem o apoio das ondas radiofonicas do pesquisa brasil,0
2008,é claro que num segundo momento a partir de abril todo o rico material produzido pelos palestrantes que a revista mobilizou dos quais dez cientistas vindos do exterior passou a ser sistematicamente difundido em encartes especiais da revista impressa e tambem pela internet e pelo radio,1
2008,sabemos que muitas dessas composiçoes nao eram feitas especificamente para o carnaval mas a satira politica e a de costumes faziam muito sucesso pelas ruas da cidade principalmente nestes dias de festa em que a liberdade e os excessos possibilitavam e estimulavam a critica e o riso a documentaçao impressa foi utilizada por fabiana para mostrar como os caricaturistas e articulistas acabavam expressando nas revistas ilustradas tanto suas opinioes quanto aquilo que ja era um consenso na cidade,1
2009,mas como fica a situaçao se a versao impressa nao e igualmente a ultima perguntase brun,1
2009,muitos deles so agora depois de verem a descoberta impressa em artigo cientifico começaram a levar a serio relatos ouvidos ao longo dos anos sobre invasoes de galinheiros por bugios e responsabilizando os macacos pela escassez de aves como as caturritas em praças de cidades do interior,1
2010,pesquisa fapesp ediçao junho tecnologia engenharia da computaçao codigo vegetal um sistema para identificaçao automatica de frutas e legumes evanildo da silveira o tempo gasto pelo caixa de um supermercado de campinas para localizar numa lista impressa os codigos referentes a frutas e legumes chamou a atençao do professor de ciencia da computaçao anderson de rezende rocha da universidade estadual de campinas unicamp,0
2011,é um modo inteiramente novo de ler diferente daquela forma contemplativa da linguagem impressa,1
2011,o segundo estudo saiu em de novembro na versao impressa da revista proceedings of the national academy of sciences pnas,1
2011,entre esses o jogo do bicho o visitante recebia um tiquete com a figura de um animal impressa no final do dia abriase a caixa que ficava pendurada perto do portal de entrada do parque onde estava um quadro retratando o animal do dia escolhido previamente pelo barao de uma lista de bichos,1
2015,alem disso tambem serao contemplados com visibilidade nas midias online e impressa para apresentarem seus projetos sociais,1
2015,diferentemente do informado no texto de volta ao novo masp curador visita passado para pensar o futuro publicado na versao impressa e no site da folha ilustrissima h a doaçao de uma obra de agostinho batista de freitas ao museu foi feita pelo casal telmo e lais porto,0
2015,uma estatistica final que merece consideraçao especial pela wanifra e sua comunidade de todas as mortes registradas desde envolveram jornalistas a serviço da midia impressa,1
2015,diferentemente do informado no texto dem e ptb ensaiam uniao que juntaria herdeiros de getulio e lacerda poder h publicado tambem na ediçao impressa o deputado miro teixeira e filiado ao pros nao ao pdt,0
2015,mais uma vez a folha saiu na frente do restante da midia impressa nacional,1
2015,às terçasfeiras e aos sabados a coluna estara tambem na ediçao impressa do jornal,1
2015,a mudança no vaivem e parte da nova apresentaçao da folha aos leitores de sua ediçao impressa iniciada na segunda,1
2015,diferentemente do informado no texto leitores comentam carta de vereador do psdb sobre impeachment de dilma painel do leitor h publicado tambem na versao impressa o vereador mario covas neto psdbsp e filho nao neto do exgovernador mario covas,0
2015,na nota marquei um x no seu publicada na coluna chay suede diz que se ha rejeiçao a babilonia e por surpresa do publico ilustrada h publicada tambem na versao impressa o nome do diretor mariozinho vaz foi grafado incorretamente como mariozinho rocha,0
2015,diferentemente do publicado no texto leitora reclama de demora para resgatar apolice da mongeral cotidiano h publicado tambem na versao impressa a queixa seguro cancelado foi enviada pelo leitor jose eduardo ribeiro,0
2015,o titulo da reportagem nao cumprem penas fora da prisao cotidiano h publicada tambem na versao impressa nao deixa claro que parte dessas puniçoes pode ter sido parcialmente cumprida antes de ser extinta caso por exemplo dos indultos,0
2015,diferentemente do publicado na coluna brasil ciencia h publicada tambem na versao impressa o aumento de temperatura de c a c projetado no estudo de mesmo nome se refere a nao a,0
2015,diferentemente do publicado no texto guia de smartphones tem modelos topo de linha baratos e para selfies tec h publicado tambem na versao impressa o smartphone lumia nao possui funçao g o texto foi corrigido,0
2015,diferentemente do informado no texto reformado zorra perde o total e atualiza humor ilustrada h publicado tambem na versao impressa o programa estreia sua nova fase no sabado dia,0
2015,com mil assinantes nas ediçoes impressa e digital o jornal lançado em se tornou referencia em seu segmento ate entao dominado pela gazeta mercantil que deixou de circular em,1
2015,tambem recentemente um dos maiores nomes da publicidade mundial martin sorrell presidente da wpp poderosa multinacional do setor afirmou em grande evento de comunicaçao do reino unido que anunciantes e agencias deveriam investir mais na midia impressa em funçao da eficiencia que jornais e revistas tem na construçao de marcas e fixaçao de mensagens junto aos consumidores,1
2015,nada mais logico portanto do que anunciar nos jornais que somadas as plataformas impressa digital tem audiencia cada vez maior e uma audiencia altamente qualificada e formadora de opiniao em todos segmentos do mercado consumidor,1
2015,faltou informar na nota ate logo da coluna empreiteiro da lava jato deve retomar acordo de delaçao premiada publicada na versao impressa e no site da folha monica bergamo h que o presidente da biblioteca nacional e o cientista politico renato lessa,0
2015,apesar do avanço do jornal the new york times nas plataformas digitais as assinaturas e a publicidade do online sao responsaveis por apenas pouco mais de um quinto das vendas totais da ediçao impressa,1
2015,o infografico da reportagem policia abre investigaçao sobre joao santana marqueteiro do pt poder h publicado tambem na versao impressa do dia informou incorretamente que joao santana trabalhou em na campanha de marta suplicy ao senado,0
2015,o texto representantes das artes tentam explicar a rejeiçao de romero britto ilustrada h publicado tambem na versao impressa grafou incorretamente o sobrenome e a data de morte do artista andy warhol,0
2015,na entrevista intelectual brasileiro tem mentalidade de º mundo mercado h publicada tambem na versao impressa o sociologo italiano domenico de masi errou ao afirmar que a taxa de desemprego do brasil corresponde a metade da norteamericana,0
2015,cinco anos apos a inauguraçao do dinamica de bruto na internet maron publica a primeira versao impressa de seus quadrinhos,1
2015,o ebook sai por r menos da metade dos r da versao impressa,1
2015,autores como andre santanna carola saavedra e andrea del fuego tem livros pela serie todos com algo entre e paginas cada um custando r hiperespaço editada em papel no brasil em a obra do celebrado fisico michio kaku e um dos lançamentos digitais do mes pela rocco custando r pouco menos da metade que os r da ediçao impressa,0
2015,a internet as vezes parece uma parada entorpecente de corpos e a midia impressa oferece a oportunidade de fazer algo mais ponderado e voltar a deixar algo para a imaginaçao disse lanpher,1
2015,a folha revelou em sua ediçao impressa desta segundafeira que ajustes no abono salarial segurodesemprego pensao e outros beneficios foram decidos pelo governo eleitoral antes do processo eleitoral,0
2015,diferentemente do que informou a reportagem aqui nao e zoologico diz entidade de massarandupio em entre rios ba publicada na versao impressa e no site da folha turismo h cesar xisto e presidente da associaçao massarandupiana de naturismo e nao da associaçao baiana de naturismo,0
2015,diferentemente do informado no quadro regras para viajantes que acompanha a reportagem receita vai apertar o cerco contra encomendas em sites no exterior publicada na versao impressa e no site da folha mercado h em via terrestre o imposto de importaçao e de sobre o valor que exceder us,0
