ano,sentenca,cluster
1815,ai tendes em breve quadro o que sao hoje a industria e artes em portugal,0
1829,tais sao os caracteres irrefragaveis do progresso da industria e do comercio,0
1829,e nos lhe diremos entao para que a aplicaçao do vapor a industria se ele tem causado tantas desgraças,1
1829,neles estao encerrados os mais bem elaborados e escolhidos pedaços dos livros sobre qualquer assunto que eles versem neles se registram as novidades literarias os artigos diversos de seus redatores que promiscuamente com o escrito arido da ciencia colocam o agradavel da poesia e do romance o necessario da industria e da agricultura e o alegre das anedotas e variedades com ele preenchese por tanto aquele preceito tao geralmente conhecido e verdadeiro da necessidade de misturar com o util o agradavel,1
1829,certo nisto ele nao publicara outras materias que nao sejam relativas as ciencias literatura industria e costumes nao se ocupara jamais de questoes politicas,0
1829,neste estado feliz dormia o homem tranquilo a sombra da lei que o protegia e se aumentava sua industria e prosperidade pelos prontos socorros que encontrava na vigilante e incorrupta administraçao,0
1845,terceiro tornar o estado editor e livreiro e fazer portanto uma concorrencia a industria particular retirando os compendios as tipografias particulares para os darem a imprensa nacional,1
1845,dizes que o meu plano nao se tem de pe porque primeiro é impossivel estabelecer em pleno regime de livre concorrencia um monopolio segundo seria absurdo que o estado tivesse e impusesse uma ciencia ortodoxa e oficial terceiro seria insensato quando ha em portugal uma crise de trabalho arrancar a industria tipografica o movimento dos compendios,1
1845,veras que se trata exatamente da industria compendial como diria qualquer conselheiro,0
1845,e ainda quando por impossivel isso se conseguisse imaginas porventura que todos os editores portugueses que hoje exploram de braço dado com os professores a industria do compendio se deixariam bater sem gritar pelo editor delagrave de braço dado contigo,1
1845,mas nao basta a cultura e necessario a industria quimica da fabricaçao da massa,0
1845,portanto amigo fora da mancomunaçao com os professores que exploram a industria do compendio nao ha salvaçao,1
1876,quanto a utilizaçao dos portos jus utendi nao se encontra na constituiçao e leis subsequentes ou anteriores disposiçao alguma que confira aos estados e muito menos as municipalidades parecendo antes traduzirse dos artigos e da constituiçao que tal faculdade e privativa do governo federal nao ficou nisto o nobre ministro da industria cioso das prerrogativas e direitos da uniao do qual e preposto mandou que o procurador seccional da republica naquela circunscriçao propusesse perante a autoridade judiciaria federal a anulaçao do referido decreto,1
1876,tenho finalmente o procedimento mais que expressivo do ministro da industria dirigindose ao prefeito do distrito federal sobre um decreto concedendo ao engenheiro civil doutor jose martins da silva e outro a construçao uso e gozo de uma estrada de ferro de sapopemba a ilha do governador,1
1876,pois bem o ministro da industria disse o seguinte ao prefeito do distrito federal,0
1876,ha sido calculadamente de extrema moderaçao tendo eu ate mui de industria me abstido de aludir sequer a fatos daqueles que embora relacionados com a causa mas nao se prendendo diretamente a materia controversa e sujeita a julgamento do colendo tribunal superior hao oferecido ensejo para dar a questao sob o aspecto debaixo da qual a tem considerado o senhor lago a feiçao inteiramente pessoal e irritadissima que a tem caracterizado ate aqui com reparo e,1
1876,como outra qualquer a profissao do crime se desenvolve e se aperfeiçoa o ladrao do passado disposto a violencia nao e o cavalheiro de industria dos tempos modernos que consegue enganar aos mais ativos,0
1876,cabe a poderosa naçao que predomina pelo seu vasto comercio e industria em grande parte do mundo cabe a patria de washington e lincoln a primazia de ter sido a primeira que na america erigiu bibliotecas sobressaindo as de new york baltimore philadelphia nova orleans e richmond,0
1899,timbre na margem superior esquerda gabinete do ministro da industria,1
1899,a causa era a seguinte ha um processo de indenizaçao de burgos em santa catarina pelo qual muito se interessa o ministro da industria por estarem a ele ligados o general glicerio e l muller,1
1899,em setembro sai para a belgica onde o desejo de estudar o sistema penitenciario a curiosidade de ver a cultura dos campos elevada a tao grande perfeiçao e as maravilhas da industria me retiveram ate dias do mes de novembro tempo em que a abertura aqui das aulas e a aproximaçao do inverno me forçaram a volta,1
