ano,sentenca,cluster
1800,terceiro q principiada ameza de recebimento dos mensaes ou despacho afinal principiadas nove horas damanha efinda as doze horas sem remiçao ou licença de pessoa alguma,1
1802,minha avo a condessa doyenhausen unica irma de o falecido marques de alorna era a herdeira em os morgados que este administrava e com toda a justiça requeria licença para voltar a a patria a fazer valer os seus direitos e tirar de a administraçao de o fisco aqueles morgados,1
1802,enquanto minha avo e minha mae e tias estavam em londres sem que a primeira pudesse obter licença para voltar a a patria ainda que para isso tivesse feito as mais instantes representaçoes tanto para a corte de o rio de janeiro como para lisboa chegou aqui seu filho e meu tio o conde joao carlos doyenhausen o qual mais feliz de o que sua mae achando se em o brasil servindo em o exercito obteve licença de o principe regente para,1
1802,enquanto corria tao belo o tempo em lisboa e seus arredores minha avo em londres diligenciava e obtinha licença de a corte de o rio de janeiro para voltar a portugal,1
1802,as nossas idas a o teatro tornaram se impossiveis logo que partiu o abade apesar de a boa vontade de joao evangelista e de a licença de o nosso tutor porque nossa tia castello melhor era tao adversa a os teatros como o padre allen e joao evangelista julgou melhor deixarmos aquele divertimento para se evitarem cenas desagradaveis,1
1802,o conde de sabugal estava justo a casar com uma filha de a senhora marquesa de niza antes de partir para frança e desejoso de realizar este projeto obteve licença de a regencia para ir habitar por algum tempo em a sua bela residencia de palma onde os condes de obidos residiam uma parte de o ano como grandes senhores que eram,1
1802,o senhor de pancas e sebastiao de sampaio pouco tempo estiveram nos açores porque a instancias de o governo ingles obtiveram licença para passarem a londres onde foram muito bem recebidos e hospedados por alguns anos por o seu graomestre o principe augusto,0
1802,escolheu me para ir apresentar a o marques de borba e a o secretario de a regencia salter o decreto em que lhe era concedida a licença para voltar a o reino mandou me vestir uma casaquinha curta verde especie de niza com botoes amarelos pos me ela mesma a o pescoço um lenço branco engomado e uns enormes colarinhos que me nao deixavam voltar a cabeça deu me um chapeu fino que me trouxera de inglaterra mas com a copa muito alta emprestou me para levar em a mao uma,1
1802,tinha um costume celebre que era andar sempre de chapeu por casa chapeu redondo de abas largas so uma visita de cerimonia o obrigava a tirar o e ainda assim muitas vezespedia licença para se cobrir,1
1802,este casamento fez se sem a menor pompa porque o conde obteve uma licença de poucas semanas para abandonar a sua legaçao de cadiz e vir a lisboa efetuar o,0
1802,minha avo apresentou com grande importancia uma carta de o cardeal callepi nuncio em o rio de janeiro em que ele lhe dizia constar lhe que sua majestade dentro em pouco lhe mandaria licença para voltar a a patria,0
1802,em consequencia de estar cansada quis jantar em casa de o conde de a ribeira onde foram abraçar a todas as suas antigas amigas perguntando lhe com o maior interesse se tinha licença de elrei para residir em portugal a o que ela respondia o documento esta em o saco mas sem o mostrar,1
