ano,sentenca,cluster
1812,mas chamei deus e a virgem santissima em meu socorro e esperei o resultado,0
1812,dirse ia que este coraçao ainda tao virgem batia d encontro a alguma grande dor d aonde partiam sons melancholicos lugubres e tristes ou que esta cabe ça ainda tao joven luctava com o enorme peso de uma grande ideia com a qual nao podia ou que esta memo ria ainda tao nova achava em se algumas vagas lem branças de que se queria recordar desfilando assim uma serie de fu gitivas,0
1812,de noite e de manha ao deitarse e ao erguerse coitadinha fazia sempre a sua suplica a santa virgem dizendo mamae do ceu pedi a papai do ceu por mim,0
1812,esse mito e a natural devoçao do povo fluminense a santa virgem bem depressa tornaram tao extensa e tao celebre a devoçao de nossa senhora da penha que pouco tempo depois seu templo tornouse o centro de devotas romarias ao passo que seu altar gemia ao peso das mais piedosas oferendas,0
1812,por um declive unico ponto acessivel do alpestre rochedo o artista rasgou fundos vincos esquadrou regulares degraus e por meio deles ligou desta arte a fralda do penhasco a suas cumeadas em cujo plano brilhante como uma coroa de rei majestosos avultava o magnifico templo dedicado a virgem meditada na mente eterna ainda antes da criaçao,0
1812,ha mais de um seculo porque ja em estava edificada existe no alto dessa rocha uma capela dedicada a santa virgem sob a invocaçao de nossa senhora da penha balthazar de abreu cardoso a edificou,0
1812,esta picada ia pelo meio do mato virgem ate a estrada geral,0
1812,eram mais de tres horas da tarde quando maria entrou nessa capoeira ela exultou vendose livre do mato virgem,0
1815,beijalhe a mao character mariazinha pondose em pe e com a mao direita em açao de abençoar à parte rindose grupo de sao benedito recebendo a bençao da virgem,0
1815,santa barbara virgem,1
1829,a virgem suspirou guerreiro branco espera que cauby volte da caça,0
1829,o cristao adormeceu ouvindo suspirar entre os murmurios da floresta o canto mavioso da virgem indiana,0
1829,martim pousou brandos olhos na face da virgem nao filha de araken tua presença alegra como a luz da manha,0
1829,disse a virgem,1
1829,a virgem falou enfim a alegria voltara logo a alma do guerreiro branco porque iracema quer que ele veja antes da noite a noiva que o espera,0
1829,antes de penetrar o recondito sitio a virgem que conduzia o guerreiro pela mao hesitou inclinando o ouvido sutil aos suspiros da brisa,0
1829,q uando a virgem tornou trazia em uma folha gotas de verde extranho licor vasadas da igaçaba que acabava de tirar do seio da terra,0
1829,a virgem seguira o estrangeiro como a brisa sutil que resvala sem mumurejar por entre a ramagem,0
1829,segue o rastro ligeiro da virgem arisca soltando a brisa com o crebro suspiro o doce nome iracema,0
1829,ela nao e mais doce do que iracema a virgem dos labios de mel nem mais formosa,0
1829,guerreiro branco disse a virgem o praser embale a tua rede durante a noite e o sol traga luz aos teus olhos alegria a tua alma,0
1829,ergue a virgem os olhos que o sol nao deslumbra sua vista perturbase,0
1829,tranquilo esperou a virgem aponta para o estrangeiro e diz ele veio pai,0
1829,title iii o estrangeiro seguiu a virgem atraves da floresta,0
1829,porem a virgem lançou de si o arco e a uiraçaba e correu para o guerreiro sentida da magoa que causa ra,0
1829,as vezes sobe os ramos da arvore e de la chama a virgem pelo seu nome outras remexe o uru de palha matisada onde traz a selvagem seus perfumes os alvos fios do crauta as agulhas da jussara com que tece a renda e as tintas de que matisa o algodao,0
1829,mais rapida que a corsa selvagem a morena virgem corria o sertao e as matas do ipu onde campeava sua guerreira tribo da grande naçao tabajara,0
1829,title ii alem muito alem daquela serra que ainda azula no horisonte nasceu iracema iracema a virgem dos labios de mel que tinha os cabelos mais negros que a asa da grauna e mais longos que seu talhe de palmeira,0
1829,foi imaginado ai na limpidez desse ceu de cristalino azul e depois vasado no coraçao cheio das recordaçoes vivaces de uma imaginaçao virgem,0
1829,cedendo a meiga pressao a virgem reclinou ao peito do guerreiro e ficou ali tremula e palpitante como a timida perdiz quando o terno companheiro lhe arrufa com o bico a macia penugem,0
1829,depois a virgem entrou com a igaçaba que enchera na fonte proxima de agua fresca para lavar o rosto e as maos do estrangeiro,0
1829,subito a virgem tremeu soltandose rapida do braço que a cingia travou do arco,0
1829,a virgem estremeceu,1
1829,de salto a virgem estava em face dele tremula de susto e mais de colera,0
1829,de caete mato grande e virgem e suu caça mudado o s em t na composiçao pela eufonia da lingua,0
1829,caça do mato virgem,0
1829,à cintura da virgem,0
1829,a virgem desdobrou a alva rede de algodao franjada de penas de tucano e suspendeua aos ramos de arvore,0
1829,teu corpo esta aqui mas tua alma voa a terra de teus pais e busca a virgem branca que te espera,0
1829,a esposa meneou a cabeça quando tu passas no tabuleiro teus olhos fogem do fruto do genipapo e buscam a flor do espinheiro a fruta e saborosa mas tem a cor dos tabajaras a flor tem a alvura das faces da virgem branca,0
1829,cidade os sete dias da festa dos tabernaculos os sete olhos do senhor as sete colunas da sua casa os sete recintos do templo de salomao os sete anos empregados na construçao deste edificio o candelabro de sete braços que o ornava os sete anos da fuga de jesus para o egito suas sete chagas as sete palavras que pronunciou sobre a cruz a virgem das sete dores os sete sacramentos os sete peccados mortais os sete salmos da penitencia as sete igrejas e os sete candelabros do apocalipse as sete estrelas que o filho do homem tem na mao os sete anos as sete trombetas os trovoes as sete cabeças do dragao as sete pontas e os sete olhos do cordeiro o livro dos sete selos os sete,0
1829,a clinica na bahia esta sem contradiçao alguma entregue a lentes da escola e exceto lentes a algum abençoado de deus e da santa virgem,0
1829,a virgem caminhou para o vale o cristao a seguiu,0
1829,a luz brilhante do sol empalidece a virgem do ceu como o amor do guerreiro desmaia a face da esposa,0
1829,tupan ja nao tinha sua virgem na terra dos tabajaras,0
1829,sua mao cruel abafou os labios da virgem de tupan amargam o doem como o espinho de jurema,0
1829,martim vendo a virgem unida ao seu coraçao cuidou que o sonho continuava cerrou os olhos para tornalos a abrir,0
1829,assim a virgem do sertao aninhouse nos braços do guerreiro,0
1829,abriramse os braços do guerreiro e seus labios o nome da virgem ressoou docemente,0
1829,o gozo era vida pois o sentia mais vivo e intenso o mal era sonho e ilusao que da virgem ele nao possuia mais que a imagem,0
1829,podia amala e sugar desse amor o mel e o perfume sem deixar veneno no seio da virgem,0
1829,a virgem ficou imovel,0
1829,um triste sorriso pungiu os labios de iracema o estrangeiro vai viver para sempre a cintura da virgem branca nunca mais seus olhos verao a filha de araken e ele quer que o sono ja feche suas palpebras e o sonho o leve a terra de seus irmaos,0
1829,o cristao falou submisso para que nao o ouvisse o velho page a virgem de tupam guarda os sonhos da jurema que sao doces e saborosos,0
1829,descelhe do ceu ao atribulado pensamento uma inspiraçao virgem formosa do sertao esta a a ultima noite que teu hospede dorme na cabana de araken onde nunca viera para teu bem e seu,0
1829,fecha os olhos o cristao mas na sombra de seu pensamento surge a imagem da virgem talvez a mais bela,0
1829,a serenidade volta ao seio do guerreiro branco mas todas as vezes que seu olhar pousa sobre a virgem tabajara ele sente correrlhe pelas veias uma centelha de ardente chama,0
1829,o cristao repeliu do seio a virgem indiana,0
1829,o cristao sorri a virgem palpita como o sahy fascinado pela serpente vai declinando o lascivo talhe que se prostra sobre o peito do guerreiro,0
1829,la o espera a virgem loura dos castos afetos aqui lhe sorri a virgem morena dos ardentes amores,0
1829,a voz do cristao disse a poty o pensamento de iracema o chefe pytiguara prudente como o tamandua pensou e respondeu a sabedoria falou pela boca da virgem tabajara,0
1829,martim estreitou a virgem ao seio mas logo a repeliu,0
1829,que fara a virgem tabajara para salvar o estrangeiro e seu irmao,0
1829,os da virgem que duas vezes em um sol defendeu a vida de teu irmao,0
1829,é poty o amigo de teu hospede disse o cristao para a virgem,0
1829,a virgem seguiu adiante os dois guerreiros apos,0
1829,que guarda tu em teu seio virgem formosa do sertao,0
1829,martim seguiu silencioso a virgem que fugia entre as arvores como a selvagem acoty,0
1829,o coraçao da virgem como o do estrangeiro ficou surdo a voz da prudencia,0
1829,o guerreiro branco sonhava quando tupan abandonou sua virgem porque ela traiu o segredo da jurema,0
1829,a virgem pendeu a fronte velandose com as longas tranças negras que se esparsiam pelo colo cruzando ao gremio os lindos braços recolheu em seu pudor,0
1829,avançou para iracema e tirou do seio uma voz doce para acalentar a saudade da virgem mais afunda a raiz da planta na terra mais custa a arrancala,0
1829,martim ergueuse mas longe de seguir a virgem caminhou direito a irapuam,0
1829,se tu nao vens disse a virgem iracema morrera contigo,0
1829,a virgem estremecera ja fora da cabana voltouse para responder a pergunta do page é o grito de guerra do gurreiro cauby,0
1829,os roseos labios da virgem nao se abriram mais para que ela colhesse entre eles a polpa da fruta ou a papa do milho verde nem a doce mao a afaga uma so vez alisando a penugem dourada da cabeça,0
1829,a boca do guerreiro pousou na boca mimosa da virgem,0
1829,a virgem suspirou a tarde e a tristeza do sol,0
